"RCode","Orig","Dest","DepFix","Route String","DCNTR","ACNTR","TCNTRs","CoordReq","Play","NavEqp","Length","File","Action","Mods"
"HOUYVR6X","KHOU","CYVR","PSX","KHOU PTRON9 PSX CARTI HFMAN DLF FUSCO J15 BOI PDT PAE GRIZZ1 CYVR","ZHU","CZV","CZV ZAB ZDV ZFW ZHU ZLC ZSE","N","","2","1989","2","Modified","Route String"
"HOUYVR7X","KHOU","CYVR","JCT","KHOU RETYR8 JCT J15 BOI PDT PAE GRIZZ9 CYVR","ZHU","CZV","CZV ZAB ZDV ZFW ZHU ZLC ZSE","N","","2","1840","1","Modified","Route String"
"HOUYVR7X","KHOU","CYVR","JCT","KHOU RETYR8 JCT J15 BOI PDT PAE GRIZZ1 CYVR","ZHU","CZV","CZV ZAB ZDV ZFW ZHU ZLC ZSE","N","","2","1840","2","Modified","Route String"
"HOUYVR8X","KHOU","CYVR","JCT","KHOU RETYR8 JCT J15 BOI PDT PAE GRIZZ9 CYVR","ZHU","CZV","CZV ZAB ZDV ZFW ZHU ZLC ZSE","N","","2","1840","1","Modified","Route String"
"HOUYVR8X","KHOU","CYVR","JCT","KHOU RETYR8 JCT J15 BOI PDT PAE GRIZZ1 CYVR","ZHU","CZV","CZV ZAB ZDV ZFW ZHU ZLC ZSE","N","","2","1840","2","Modified","Route String"
"HOUYVR9X","KHOU","CYVR","DOLEY","KHOU STYCK8 DOLEY FUZ HUDAD PNH TBE DBL PIH J20 DNJ PAE GRIZZ9 CYVR","ZHU","CZV","CZV ZAB ZDV ZFW ZHU ZLC ZSE","N","","2","1768","1","Modified","Route String"
"HOUYVR9X","KHOU","CYVR","DOLEY","KHOU STYCK8 DOLEY FUZ HUDAD PNH TBE DBL PIH J20 DNJ PAE GRIZZ1 CYVR","ZHU","CZV","CZV ZAB ZDV ZFW ZHU ZLC ZSE","N","","2","1768","2","Modified","Route String"
"HPNALBPL","KHPN","KALB","CMK","KHPN CMK V39 SOARS V487 CANAN KALB","ZNY","ZBW","ZBW","N","","1","117","1","Modified","Route String"
"HPNALBPL","KHPN","KALB","CMK","KHPN CMK V39 SOARS T463 CANAN KALB","ZNY","ZBW","ZBW","N","","1","117","2","Modified","Route String"
"HPNBTVHA","KHPN","KBTV","HAAYS","KHPN HAAYS V273 HNK LAGGS BTV KBTV","ZNY","ZBW","ZBW ZNY","Y","","1","290","1","Modified","Route String Length"
"HPNBTVHA","KHPN","KBTV","HAAYS","KHPN HAAYS V273 HNK LAGGS KBTV","ZNY","ZBW","ZBW ZNY","Y","","1","287","2","Modified","Route String Length"
"HPNBTVPH","KHPN","KBTV","GREKI","KHPN GREKI JUDDS CAM GRNMT BTV KBTV","ZNY","ZBW","ZBW","N","","1","218","1","Modified","Route String"
"HPNBTVPH","KHPN","KBTV","GREKI","KHPN GREKI JUDDS CAM GRNMT KBTV","ZNY","ZBW","ZBW","N","","1","218","2","Modified","Route String"
"HPNBTVPL","KHPN","KBTV","CMK","KHPN CMK V39 SOARS V487 CAM GRNMT BTV KBTV","ZNY","ZBW","ZBW","N","","1","218","1","Modified","Route String Length"
"HPNBTVPL","KHPN","KBTV","CMK","KHPN CMK V39 SOARS V487 CAM GRNMT KBTV","ZNY","ZBW","ZBW","N","","1","217","2","Modified","Route String Length"
"HPNCLT48","KHPN","KCLT","LANNA","KHPN LANNA J48 MOL AIROW CHSLY6 KCLT","ZNY","ZTL","ZBW ZDC ZNY ZTL","Y","","1","509","1","Modified","Route String Length"
"HPNCLT48","KHPN","KCLT","LANNA","KHPN LANNA J48 MOL AIROW CHSLY7 KCLT","ZNY","ZTL","ZBW ZDC ZNY ZTL","Y","","1","504","2","Modified","Route String Length"
"HPNCLT60","KHPN","KCLT","NEWEL","KHPN NEWEL J60 DJB Q147 HVQ LNDIZ PARQR4 KCLT","ZNY","ZTL","ZBW ZID ZNY ZOB ZTL","Y","","1","773","1","Modified","Route String Length"
"HPNCLT60","KHPN","KCLT","NEWEL","KHPN NEWEL J60 DJB Q147 HVQ LNDIZ PARQR5 KCLT","ZNY","ZTL","ZBW ZID ZNY ZOB ZTL","Y","","1","765","2","Modified","Route String Length"
"HPNCLT80","KHPN","KCLT","ZIMMZ","KHPN ZIMMZ Q42 MIKYG Q480 AIR HVQ LNDIZ PARQR4 KCLT","ZNY","ZTL","ZBW ZID ZNY ZOB ZTL","Y","","1","651","1","Modified","Route String Length"
"HPNCLT80","KHPN","KCLT","ZIMMZ","KHPN ZIMMZ Q42 MIKYG Q480 AIR HVQ LNDIZ PARQR5 KCLT","ZNY","ZTL","ZBW ZID ZNY ZOB ZTL","Y","","1","643","2","Modified","Route String Length"
"HPNCLTJ6","KHPN","KCLT","PARKE","KHPN PARKE J6 HVQ LNDIZ PARQR4 KCLT","ZNY","ZTL","ZBW ZDC ZID ZNY ZTL","Y","","1","613","1","Modified","Route String Length"
"HPNCLTJ6","KHPN","KCLT","PARKE","KHPN PARKE J6 HVQ LNDIZ PARQR5 KCLT","ZNY","ZTL","ZBW ZDC ZID ZNY ZTL","Y","","1","605","2","Modified","Route String Length"
"HPNCLTKA","KHPN","KCLT","WHITE","KHPN WHITE Q409 OKNEE MLLET3 KCLT","ZNY","ZTL","ZBW ZDC ZJX ZNY ZTL","Y","","1","609","1","Modified","Route String Length"
"HPNCLTKA","KHPN","KCLT","WHITE","KHPN WHITE Q409 OKNEE MLLET4 KCLT","ZNY","ZTL","ZBW ZDC ZJX ZNY ZTL","Y","","1","597","2","Modified","Route String Length"
"HPNCLTNE","KHPN","KCLT","NEION","KHPN NEION Q232 DARBO J49 PSB J60 DJB ROD FLM TAFTT PARQR4 KCLT","ZNY","ZTL","ZBW ZID ZNY ZOB ZTL","Y","","1","881","1","Modified","Route String Length"
"HPNCLTNE","KHPN","KCLT","NEION","KHPN NEION Q232 DARBO J49 PSB J60 DJB ROD FLM TAFTT PARQR5 KCLT","ZNY","ZTL","ZBW ZID ZNY ZOB ZTL","Y","","1","877","2","Modified","Route String Length"
"HPNCLTPH","KHPN","KCLT","BIGGY","KHPN BIGGY Q75 GVE AIROW CHSLY6 KCLT","ZNY","ZTL","ZBW ZDC ZNY ZTL","N","","1","498","1","Modified","Route String Length"
"HPNCLTPH","KHPN","KCLT","BIGGY","KHPN BIGGY Q75 GVE AIROW CHSLY7 KCLT","ZNY","ZTL","ZBW ZDC ZNY ZTL","N","","1","493","2","Modified","Route String Length"
"HPNCLTPS","KHPN","KCLT","NEWEL","KHPN NEWEL J60 PSB HVQ LNDIZ PARQR4 KCLT","ZNY","ZTL","ZBW ZID ZNY ZOB ZTL","Y","","1","634","1","Modified","Route String Length"
"HPNCLTPS","KHPN","KCLT","NEWEL","KHPN NEWEL J60 PSB HVQ LNDIZ PARQR5 KCLT","ZNY","ZTL","ZBW ZID ZNY ZOB ZTL","Y","","1","626","2","Modified","Route String Length"
"HPNDTWG3","KHPN","KDTW","GREKI","KHPN GREKI JUDDS CAM Q822 GONZZ DONEO TPGUN2 KDTW","ZNY","ZOB","ZBW ZOB","Y","GREKI 3","1","579","1","Modified","Play"
"HPNDTWG3","KHPN","KDTW","GREKI","KHPN GREKI JUDDS CAM Q822 GONZZ DONEO TPGUN2 KDTW","ZNY","ZOB","ZBW ZOB","Y","ZOB DRAFT GREKI 3","1","579","2","Modified","Play"
"HPNFLL48","KHPN","KFLL","LANNA","KHPN LANNA J48 MOL FLASK GOWBE BURGG ENEME TEEKY4 KFLL","ZNY","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","N","","2","1103","1","Modified","Length"
"HPNFLL48","KHPN","KFLL","LANNA","KHPN LANNA J48 MOL FLASK GOWBE BURGG ENEME TEEKY4 KFLL","ZNY","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","N","","2","1150","2","Modified","Length"
"HPNFLL4A","KHPN","KFLL","LANNA","KHPN LANNA J48 CSN FANPO Q40 ALEAN VXV THRSR ZPLEN TEEKY4 KFLL","ZNY","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","N","","1","1222","1","Modified","Length"
"HPNFLL4A","KHPN","KFLL","LANNA","KHPN LANNA J48 CSN FANPO Q40 ALEAN VXV THRSR ZPLEN TEEKY4 KFLL","ZNY","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","N","","1","1259","2","Modified","Length"
"HPNFLL60","KHPN","KFLL","NEWEL","KHPN NEWEL J60 DJB Q147 BURGG ENEME TEEKY4 KFLL","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","1","1334","1","Modified","Length"
"HPNFLL60","KHPN","KFLL","NEWEL","KHPN NEWEL J60 DJB Q147 BURGG ENEME TEEKY4 KFLL","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","1","1381","2","Modified","Length"
"HPNFLL64","KHPN","KFLL","NEWEL","KHPN NEWEL J60 DANNR RAV J64 BURNI TYROO QUARM AIR HVQ SPAYD VXV THRSR ZPLEN TEEKY4 KFLL","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","2","1283","1","Modified","Length"
"HPNFLL64","KHPN","KFLL","NEWEL","KHPN NEWEL J60 DANNR RAV J64 BURNI TYROO QUARM AIR HVQ SPAYD VXV THRSR ZPLEN TEEKY4 KFLL","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","2","1320","2","Modified","Length"
"HPNFLL6A","KHPN","KFLL","PARKE","KHPN PARKE J6 HVQ SPAYD VXV THRSR ZPLEN TEEKY4 KFLL","ZNY","ZMA","ZBW ZDC ZID ZJX ZMA ZNY ZTL","N","","1","1241","1","Modified","Length"
"HPNFLL6A","KHPN","KFLL","PARKE","KHPN PARKE J6 HVQ SPAYD VXV THRSR ZPLEN TEEKY4 KFLL","ZNY","ZMA","ZBW ZDC ZID ZJX ZMA ZNY ZTL","N","","1","1278","2","Modified","Length"
"HPNFLL80","KHPN","KFLL","ZIMMZ","KHPN ZIMMZ Q42 MIKYG Q480 AIR HVQ Q147 BURGG ENEME TEEKY4 KFLL","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","1","1212","1","Modified","Length"
"HPNFLL80","KHPN","KFLL","ZIMMZ","KHPN ZIMMZ Q42 MIKYG Q480 AIR HVQ Q147 BURGG ENEME TEEKY4 KFLL","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","1","1259","2","Modified","Length"
"HPNFLL85","KHPN","KFLL","NEWEL","KHPN NEWEL J60 DANNR RAV J64 BURNI TYROO QUARM AIR HVQ Q147 BURGG ENEME TEEKY4 KFLL","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","3","1215","1","Modified","Length"
"HPNFLL85","KHPN","KFLL","NEWEL","KHPN NEWEL J60 DANNR RAV J64 BURNI TYROO QUARM AIR HVQ Q147 BURGG ENEME TEEKY4 KFLL","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","3","1263","2","Modified","Length"
"HPNFLL8T","KHPN","KFLL","ZIMMZ","KHPN ZIMMZ Q42 MIKYG Q480 AIR HVQ SPAYD VXV THRSR ZPLEN TEEKY4 KFLL","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","1","1279","1","Modified","Length"
"HPNFLL8T","KHPN","KFLL","ZIMMZ","KHPN ZIMMZ Q42 MIKYG Q480 AIR HVQ SPAYD VXV THRSR ZPLEN TEEKY4 KFLL","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","1","1316","2","Modified","Length"
"HPNFLLJ1","KHPN","KFLL","WHITE","KHPN WHITE Q409 ENEME TEEKY4 KFLL","ZNY","ZMA","ZBW ZDC ZJX ZMA ZNY","N","","1","1065","1","Modified","Length"
"HPNFLLJ1","KHPN","KFLL","WHITE","KHPN WHITE Q409 ENEME TEEKY4 KFLL","ZNY","ZMA","ZBW ZDC ZJX ZMA ZNY","N","","1","1113","2","Modified","Length"
"HPNFLLJ6","KHPN","KFLL","PARKE","KHPN PARKE J6 HVQ Q147 BURGG ENEME TEEKY4 KFLL","ZNY","ZMA","ZBW ZDC ZID ZJX ZMA ZNY ZTL","N","","1","1174","1","Modified","Length"
"HPNFLLJ6","KHPN","KFLL","PARKE","KHPN PARKE J6 HVQ Q147 BURGG ENEME TEEKY4 KFLL","ZNY","ZMA","ZBW ZDC ZID ZJX ZMA ZNY ZTL","N","","1","1221","2","Modified","Length"
"HPNFLLTA","KHPN","KFLL","BIGGY","KHPN BIGGY Q75 ENEME TEEKY4 KFLL","ZNY","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","N","","1","1071","1","Modified","Length"
"HPNFLLTA","KHPN","KFLL","BIGGY","KHPN BIGGY Q75 ENEME TEEKY4 KFLL","ZNY","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","N","","1","1119","2","Modified","Length"
"HPNGRRG3","KHPN","KGRR","GREKI","KHPN GREKI JUDDS CAM Q822 GONZZ FARGN Q438 BERYS FNT KGRR","ZNY","ZAU","ZAU ZBW ZOB","Y","GREKI 3","1","682","1","Modified","Route String Play"
"HPNGRRG3","KHPN","KGRR","GREKI","KHPN GREKI JUDDS CAM Q822 GONZZ FARGN Q438 RUBYY KGRR","ZNY","ZAU","ZAU ZBW ZOB","Y","ZOB DRAFT GREKI 3","1","682","2","Modified","Route String Play"
"HPNHOUBU","KHPN","KHOU","ZIMMZ","KHPN ZIMMZ Q42 MIKYG Q480 AIR J110 BUM J87 CVE ELLVR NNEAL KIDDZ5 KHOU","ZNY","ZHU","ZBW ZFW ZHU ZID ZKC ZNY ZOB","Y","","2","1573","1","Modified","Route String"
"HPNHOUBU","KHPN","KHOU","ZIMMZ","KHPN ZIMMZ Q42 MIKYG Q480 AIR J110 BUM J87 CVE ELLVR KIDDZ5 KHOU","ZNY","ZHU","ZBW ZFW ZHU ZID ZKC ZNY ZOB","Y","","2","1573","2","Modified","Route String"
"HPNHOUCV","KHPN","KHOU","PARKE","KHPN PARKE J6 HVQ Q68 RAMRD ARG FSM OKRAY URH CVE ELLVR NNEAL KIDDZ5 KHOU","ZNY","ZHU","ZBW ZDC ZFW ZHU ZID ZME ZNY","N","","1","1488","1","Modified","Route String"
"HPNHOUCV","KHPN","KHOU","PARKE","KHPN PARKE J6 HVQ Q68 RAMRD ARG FSM OKRAY URH CVE ELLVR KIDDZ5 KHOU","ZNY","ZHU","ZBW ZDC ZFW ZHU ZID ZME ZNY","N","","1","1488","2","Modified","Route String"
"HPNLAS3S","KHPN","KLAS","GREKI","KHPN GREKI JUDDS CAM NOVON BURWA SSM APUNY OGSIQ SWTHN DNW FFU J9 MLF STEWW CHOWW4 KLAS","ZNY","ZLA","CZY ZBW ZLA ZLC ZMP","Y","","2","2322","1","Modified","Route String"
"HPNLAS3S","KHPN","KLAS","GREKI","KHPN GREKI JUDDS CAM NOVON BURWA SSM APUNY OGSIQ STORZ DNW FFU J9 MLF STEWW CHOWW4 KLAS","ZNY","ZLA","CZY ZBW ZLA ZLC ZMP","Y","","2","2322","2","Modified","Route String"
"HPNLAS4S","KHPN","KLAS","GREKI","KHPN GREKI JUDDS CAM BUGSY POLTY SSM APUNY OGSIQ SWTHN DNW FFU J9 MLF STEWW CHOWW4 KLAS","ZNY","ZLA","CZU CZY ZBW ZLA ZLC ZMP","Y","","2","2361","1","Modified","Route String"
"HPNLAS4S","KHPN","KLAS","GREKI","KHPN GREKI JUDDS CAM BUGSY POLTY SSM APUNY OGSIQ STORZ DNW FFU J9 MLF STEWW CHOWW4 KLAS","ZNY","ZLA","CZU CZY ZBW ZLA ZLC ZMP","Y","","2","2361","2","Modified","Route String"
"HPNMIA48","KHPN","KMIA","LANNA","KHPN LANNA J48 MOL FLASK COREX THRSR HONID FROGZ5 KMIA","ZNY","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","Y","","2","1213","1","Modified","Length"
"HPNMIA48","KHPN","KMIA","LANNA","KHPN LANNA J48 MOL FLASK COREX THRSR HONID FROGZ5 KMIA","ZNY","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","Y","","2","1245","2","Modified","Length"
"HPNMIA4A","KHPN","KMIA","LANNA","KHPN LANNA J48 CSN FANPO Q40 ALEAN VXV THRSR HONID FROGZ5 KMIA","ZNY","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","N","","1","1246","1","Modified","Length"
"HPNMIA4A","KHPN","KMIA","LANNA","KHPN LANNA J48 CSN FANPO Q40 ALEAN VXV THRSR HONID FROGZ5 KMIA","ZNY","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","N","","1","1279","2","Modified","Length"
"HPNMIA60","KHPN","KMIA","NEWEL","KHPN NEWEL J60 DJB Q147 BURGG ALLMA BULZI Q81 ENDEW BROMO FROGZ5 KMIA","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","1","1433","1","Modified","Length"
"HPNMIA60","KHPN","KMIA","NEWEL","KHPN NEWEL J60 DJB Q147 BURGG ALLMA BULZI Q81 ENDEW BROMO FROGZ5 KMIA","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","1","1455","2","Modified","Length"
"HPNMIA64","KHPN","KMIA","NEWEL","KHPN NEWEL J60 DANNR RAV J64 BURNI TYROO QUARM AIR HVQ SPAYD VXV THRSR HONID FROGZ5 KMIA","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","2","1307","1","Modified","Length"
"HPNMIA64","KHPN","KMIA","NEWEL","KHPN NEWEL J60 DANNR RAV J64 BURNI TYROO QUARM AIR HVQ SPAYD VXV THRSR HONID FROGZ5 KMIA","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","2","1339","2","Modified","Length"
"HPNMIA6A","KHPN","KMIA","PARKE","KHPN PARKE J6 HVQ SPAYD VXV THRSR HONID FROGZ5 KMIA","ZNY","ZMA","ZBW ZDC ZID ZJX ZMA ZNY ZTL","N","","1","1265","1","Modified","Length"
"HPNMIA6A","KHPN","KMIA","PARKE","KHPN PARKE J6 HVQ SPAYD VXV THRSR HONID FROGZ5 KMIA","ZNY","ZMA","ZBW ZDC ZID ZJX ZMA ZNY ZTL","N","","1","1298","2","Modified","Length"
"HPNMIA80","KHPN","KMIA","ZIMMZ","KHPN ZIMMZ Q42 MIKYG Q480 AIR HVQ Q147 BURGG ALLMA BULZI Q81 ENDEW BROMO FROGZ5 KMIA","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","1","1311","1","Modified","Length"
"HPNMIA80","KHPN","KMIA","ZIMMZ","KHPN ZIMMZ Q42 MIKYG Q480 AIR HVQ Q147 BURGG ALLMA BULZI Q81 ENDEW BROMO FROGZ5 KMIA","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","1","1333","2","Modified","Length"
"HPNMIA85","KHPN","KMIA","NEWEL","KHPN NEWEL J60 DANNR RAV J64 BURNI TYROO QUARM AIR HVQ Q147 BURGG ALLMA BULZI Q81 ENDEW BROMO FROGZ5 KMIA","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","2","1315","1","Modified","Length"
"HPNMIA85","KHPN","KMIA","NEWEL","KHPN NEWEL J60 DANNR RAV J64 BURNI TYROO QUARM AIR HVQ Q147 BURGG ALLMA BULZI Q81 ENDEW BROMO FROGZ5 KMIA","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","2","1337","2","Modified","Length"
"HPNMIA8T","KHPN","KMIA","ZIMMZ","KHPN ZIMMZ Q42 MIKYG Q480 AIR HVQ SPAYD VXV THRSR HONID FROGZ5 KMIA","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","1","1303","1","Modified","Length"
"HPNMIA8T","KHPN","KMIA","ZIMMZ","KHPN ZIMMZ Q42 MIKYG Q480 AIR HVQ SPAYD VXV THRSR HONID FROGZ5 KMIA","ZNY","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","","1","1336","2","Modified","Length"
"HPNMIAJ1","KHPN","KMIA","WHITE","KHPN WHITE Q409 ISUZO BULZI Q81 ENDEW BROMO FROGZ5 KMIA","ZNY","ZMA","ZBW ZDC ZJX ZMA ZNY","N","","1","1184","1","Modified","Length"
"HPNMIAJ1","KHPN","KMIA","WHITE","KHPN WHITE Q409 ISUZO BULZI Q81 ENDEW BROMO FROGZ5 KMIA","ZNY","ZMA","ZBW ZDC ZJX ZMA ZNY","N","","1","1206","2","Modified","Length"
"HPNMIAJ6","KHPN","KMIA","PARKE","KHPN PARKE J6 HVQ Q147 BURGG ALLMA BULZI Q81 ENDEW BROMO FROGZ5 KMIA","ZNY","ZMA","ZBW ZDC ZID ZJX ZMA ZNY ZTL","N","","3","1273","1","Modified","Length"
"HPNMIAJ6","KHPN","KMIA","PARKE","KHPN PARKE J6 HVQ Q147 BURGG ALLMA BULZI Q81 ENDEW BROMO FROGZ5 KMIA","ZNY","ZMA","ZBW ZDC ZID ZJX ZMA ZNY ZTL","N","","3","1295","2","Modified","Length"
"HPNMIATA","KHPN","KMIA","BIGGY","KHPN BIGGY Q75 TEEEM BULZI Q81 ENDEW BROMO FROGZ5 KMIA","ZNY","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","N","","1","1177","1","Modified","Length"
"HPNMIATA","KHPN","KMIA","BIGGY","KHPN BIGGY Q75 TEEEM BULZI Q81 ENDEW BROMO FROGZ5 KMIA","ZNY","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","N","","1","1199","2","Modified","Length"
"HPNMSP36","KHPN","KMSP","COATE","KHPN COATE Q436 RAAKK Q440 SLLAP IDIOM MUSCL4 KMSP","ZNY","ZMP","ZAU ZBW ZMP ZNY ZOB","Y","","1","893","1","Modified","Length"
"HPNMSP36","KHPN","KMSP","COATE","KHPN COATE Q436 RAAKK Q440 SLLAP IDIOM MUSCL4 KMSP","ZNY","ZMP","ZAU ZBW ZMP ZNY ZOB","Y","","1","901","2","Modified","Length"
"HPNMSP60","KHPN","KMSP","NEWEL","KHPN NEWEL J60 DJB J34 VIO KAMMA KKILR4 KMSP","ZNY","ZMP","ZAU ZBW ZMP ZNY ZOB","N","","1","923","1","Modified","Length"
"HPNMSP60","KHPN","KMSP","NEWEL","KHPN NEWEL J60 DJB J34 VIO KAMMA KKILR4 KMSP","ZNY","ZMP","ZAU ZBW ZMP ZNY ZOB","N","","1","934","2","Modified","Length"
"HPNMSP64","KHPN","KMSP","NEWEL","KHPN NEWEL J60 DANNR RAV J64 EWC DJB J34 VIO KAMMA KKILR4 KMSP","ZNY","ZMP","ZAU ZBW ZMP ZNY ZOB","Y","","1","928","1","Modified","Length"
"HPNMSP64","KHPN","KMSP","NEWEL","KHPN NEWEL J60 DANNR RAV J64 EWC DJB J34 VIO KAMMA KKILR4 KMSP","ZNY","ZMP","ZAU ZBW ZMP ZNY ZOB","Y","","1","940","2","Modified","Length"
"HPNMSP80","KHPN","KMSP","ZIMMZ","KHPN ZIMMZ Q42 MIKYG Q480 LEJOY Q178 DJB J34 VIO KAMMA KKILR4 KMSP","ZNY","ZMP","ZAU ZBW ZMP ZNY ZOB","N","","1","958","1","Modified","Length"
"HPNMSP80","KHPN","KMSP","ZIMMZ","KHPN ZIMMZ Q42 MIKYG Q480 LEJOY Q178 DJB J34 VIO KAMMA KKILR4 KMSP","ZNY","ZMP","ZAU ZBW ZMP ZNY ZOB","N","","1","969","2","Modified","Length"
"HPNMSPAR","KHPN","KMSP","GREKI","KHPN GREKI JUDDS CAM NOVON YEE TVC CEWDA MUSCL4 KMSP","ZNY","ZMP","CZY ZBW ZMP","Y","","1","994","1","Modified","Length"
"HPNMSPAR","KHPN","KMSP","GREKI","KHPN GREKI JUDDS CAM NOVON YEE TVC CEWDA MUSCL4 KMSP","ZNY","ZMP","CZY ZBW ZMP","Y","","1","1000","2","Modified","Length"
"HPNMSPCA","KHPN","KMSP","GREKI","KHPN GREKI JUDDS CAM HANAA Q816 HOCKE IDIOM MUSCL4 KMSP","ZNY","ZMP","CZY ZBW ZMP ZOB","Y","","1","1005","1","Modified","Length"
"HPNMSPCA","KHPN","KMSP","GREKI","KHPN GREKI JUDDS CAM HANAA Q816 HOCKE IDIOM MUSCL4 KMSP","ZNY","ZMP","CZY ZBW ZMP ZOB","Y","","1","1012","2","Modified","Length"
"HPNMSPG3","KHPN","KMSP","GREKI","KHPN GREKI JUDDS CAM Q822 GONZZ FARGN Q438 BERYS Q440 IDIOM MUSCL4 KMSP","ZNY","ZMP","ZAU ZBW ZMP ZOB","Y","GREKI 3","1","1032","1","Modified","Play Length"
"HPNMSPG3","KHPN","KMSP","GREKI","KHPN GREKI JUDDS CAM Q822 GONZZ FARGN Q438 BERYS Q440 IDIOM MUSCL4 KMSP","ZNY","ZMP","ZAU ZBW ZMP ZOB","Y","ZOB DRAFT GREKI 3","1","1039","2","Modified","Play Length"
"HPNMSPG5","KHPN","KMSP","GAYEL","KHPN GAYEL Q812 AHPAH Q140 CESNA GGULL BAINY4 KMSP","ZNY","ZMP","CZY ZBW ZMP ZNY ZOB","Y","","1","1079","1","Modified","Length"
"HPNMSPG5","KHPN","KMSP","GAYEL","KHPN GAYEL Q812 AHPAH Q140 CESNA GGULL BAINY4 KMSP","ZNY","ZMP","CZY ZBW ZMP ZNY ZOB","Y","","1","1085","2","Modified","Length"
"HPNMSPG6","KHPN","KMSP","NEWEL","KHPN NEWEL J60 DJB HOCKE SAW DLH GGULL BAINY4 KMSP","ZNY","ZMP","ZBW ZMP ZNY ZOB","N","","1","1166","1","Modified","Length"
"HPNMSPG6","KHPN","KMSP","NEWEL","KHPN NEWEL J60 DJB HOCKE SAW DLH GGULL BAINY4 KMSP","ZNY","ZMP","ZBW ZMP ZNY ZOB","N","","1","1172","2","Modified","Length"
"HPNMSPG7","KHPN","KMSP","GREKI","KHPN GREKI JUDDS CAM NOVON SSM COLDD BAINY4 KMSP","ZNY","ZMP","CZY ZBW ZMP","Y","","1","1085","1","Modified","Length"
"HPNMSPG7","KHPN","KMSP","GREKI","KHPN GREKI JUDDS CAM NOVON SSM COLDD BAINY4 KMSP","ZNY","ZMP","CZY ZBW ZMP","Y","","1","1112","2","Modified","Length"
"HPNMSPG8","KHPN","KMSP","COATE","KHPN COATE Q436 RAAKK Q440 SLLAP GRB HHOGS BAINY4 KMSP","ZNY","ZMP","ZAU ZBW ZMP ZNY ZOB","N","","1","961","1","Modified","Length"
"HPNMSPG8","KHPN","KMSP","COATE","KHPN COATE Q436 RAAKK Q440 SLLAP GRB HHOGS BAINY4 KMSP","ZNY","ZMP","ZAU ZBW ZMP ZNY ZOB","N","","1","1006","2","Modified","Length"
"HPNMSPPH","KHPN","KMSP","GAYEL","KHPN GAYEL Q818 WOZEE NOSIK Q812 ZOHAN CEWDA MUSCL4 KMSP","ZNY","ZMP","CZY ZBW ZMP ZNY ZOB","N","","1","894","1","Modified","Length"
"HPNMSPPH","KHPN","KMSP","GAYEL","KHPN GAYEL Q818 WOZEE NOSIK Q812 ZOHAN CEWDA MUSCL4 KMSP","ZNY","ZMP","CZY ZBW ZMP ZNY ZOB","N","","1","900","2","Modified","Length"
"HPNMSY36","KHPN","KMSY","COATE","KHPN COATE Q436 HERBA JHW Q29 KLYNE RINTE Q139 VLKNN MERDN TRSSH1 KMSY","ZNY","ZHU","ZBW ZHU ZID ZME ZNY ZOB ZTL","Y","","1","1228","1","Modified","Route String Length"
