"RCode","Orig","Dest","DepFix","Route String","DCNTR","ACNTR","TCNTRs","CoordReq","Play","NavEqp","Length","File","Action","Mods"
"ALBCLT29","KALB","KCLT","PAYGE","KALB PAYGE Q822 GONZZ Q29 JHW FOXEE Q145 HVQ LNDIZ PARQR4 KCLT","ZBW","ZTL","ZBW ZID ZOB ZTL","Y","","1","721","1","Modified","Route String Length"
"ALBCLT29","KALB","KCLT","PAYGE","KALB PAYGE Q822 GONZZ Q29 JHW FOXEE Q145 HVQ LNDIZ PARQR5 KCLT","ZBW","ZTL","ZBW ZID ZOB ZTL","Y","","1","713","2","Modified","Route String Length"
"ALBCLTA4","KALB","KCLT","ACOVE","KALB ALB ACOVE DBABE Q448 PTW J48 CSN GVE AIROW CHSLY6 KCLT","ZBW","ZTL","ZBW ZDC ZNY ZTL","Y","","3","591","1","Modified","Route String Length"
"ALBCLTA4","KALB","KCLT","ACOVE","KALB ALB ACOVE DBABE Q448 PTW J48 CSN GVE AIROW CHSLY7 KCLT","ZBW","ZTL","ZBW ZDC ZNY ZTL","Y","","3","586","2","Modified","Route String Length"
"ALBCLTG2","KALB","KCLT","PAYGE","KALB PAYGE Q822 GONZZ Q29 KLYNE ROD J43 FLM SKYWA FILPZ4 KCLT","ZBW","ZTL","ZBW ZID ZOB ZTL","Y","CLT NO PARQR","3","933","1","Modified","Route String Length"
"ALBCLTG2","KALB","KCLT","PAYGE","KALB PAYGE Q822 GONZZ Q29 KLYNE ROD J43 FLM SKYWA FILPZ5 KCLT","ZBW","ZTL","ZBW ZID ZOB ZTL","Y","CLT NO PARQR","3","914","2","Modified","Route String Length"
"ALBCLTN4","KALB","KCLT","HNK","KALB HNK J49 PSB HACKS HVQ LNDIZ PARQR4 KCLT","ZBW","ZTL","ZBW ZID ZNY ZOB ZTL","Y","NE TO ATL CLT","2","655","1","Modified","Route String Length"
"ALBCLTN4","KALB","KCLT","HNK","KALB HNK J49 PSB HACKS HVQ LNDIZ PARQR5 KCLT","ZBW","ZTL","ZBW ZID ZNY ZOB ZTL","Y","NE TO ATL CLT","2","647","2","Modified","Route String Length"
"ALBCLTPJ","KALB","KCLT","PWL","KALB PWL BIZEX Q75 GVE AIROW CHSLY6 KCLT","ZBW","ZTL","ZBW ZDC ZNY ZTL","N","","3","599","1","Modified","Route String Length"
"ALBCLTPJ","KALB","KCLT","PWL","KALB PWL BIZEX Q75 GVE AIROW CHSLY7 KCLT","ZBW","ZTL","ZBW ZDC ZNY ZTL","N","","3","594","2","Modified","Route String Length"
"ALBCLTT7","KALB","KCLT","NELIE","KALB NELIE ORCHA HEADI Q97 SAWED GUILD Q409 OKNEE MLLET3 KCLT","ZBW","ZTL","ZBW ZDC ZJX ZNY ZTL","Y","ZBW VIA HTO ESCAPE","3","769","1","Modified","Route String Length"
"ALBCLTT7","KALB","KCLT","NELIE","KALB NELIE ORCHA HEADI Q97 SAWED GUILD Q409 OKNEE MLLET4 KCLT","ZBW","ZTL","ZBW ZDC ZJX ZNY ZTL","Y","ZBW VIA HTO ESCAPE","3","756","2","Modified","Route String Length"
"ALBDCA29","KALB","KDCA","PAYGE","KALB PAYGE Q822 GONZZ Q29 SPYDY AIR J34 BUCKO FRDMM6 KDCA","ZBW","ZDC","ZBW ZDC ZOB","Y","DC NORTH","3","707","1","Modified","Length"
"ALBDCA29","KALB","KDCA","PAYGE","KALB PAYGE Q822 GONZZ Q29 SPYDY AIR J34 BUCKO FRDMM6 KDCA","ZBW","ZDC","ZBW ZDC ZOB","Y","DC NORTH","3","674","2","Modified","Length"
"ALBFLL42","KALB","KFLL","ACOVE","KALB ALB ACOVE DBABE Q448 PTW J48 MOL FLASK GOWBE BURGG ENEME TEEKY4 KFLL","ZBW","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","Y","NE TO FLORIDA VIA J48 2","3","1188","1","Modified","Length"
"ALBFLL42","KALB","KFLL","ACOVE","KALB ALB ACOVE DBABE Q448 PTW J48 MOL FLASK GOWBE BURGG ENEME TEEKY4 KFLL","ZBW","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","Y","NE TO FLORIDA VIA J48 2","3","1236","2","Modified","Length"
"ALBFLL43","KALB","KFLL","ACOVE","KALB ALB ACOVE DBABE Q448 PTW J48 CSN FANPO Q40 ALEAN VXV THRSR Q79 ZPLEN TEEKY4 KFLL","ZBW","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","Y","NE TO FLORIDA VIA J48 3","3","1308","1","Modified","Length"
"ALBFLL43","KALB","KFLL","ACOVE","KALB ALB ACOVE DBABE Q448 PTW J48 CSN FANPO Q40 ALEAN VXV THRSR Q79 ZPLEN TEEKY4 KFLL","ZBW","ZMA","ZBW ZDC ZJX ZMA ZNY ZTL","Y","NE TO FLORIDA VIA J48 3","3","1345","2","Modified","Length"
"ALBFLL82","KALB","KFLL","ALB","KALB ALB J6 JEFFF Q480 AIR HVQ Q147 BURGG ENEME TEEKY4 KFLL","ZBW","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","NE TO FLORIDA VIA Q480 2","3","1279","1","Modified","Length"
"ALBFLL82","KALB","KFLL","ALB","KALB ALB J6 JEFFF Q480 AIR HVQ Q147 BURGG ENEME TEEKY4 KFLL","ZBW","ZMA","ZBW ZID ZJX ZMA ZNY ZOB ZTL","Y","NE TO FLORIDA VIA Q480 2","3","1327","2","Modified","Length"
"ALBFLLF2","KALB","KFLL","NELIE","KALB NELIE ORCHA HEADI Q97 SAWED GUILD Q409 ENEME TEEKY4 KFLL","ZBW","ZMA","ZBW ZDC ZJX ZMA ZNY","Y","NE TO FLORIDA VIA Q409","3","1225","1","Modified","Length"
"ALBFLLF2","KALB","KFLL","NELIE","KALB NELIE ORCHA HEADI Q97 SAWED GUILD Q409 ENEME TEEKY4 KFLL","ZBW","ZMA","ZBW ZDC ZJX ZMA ZNY","Y","NE TO FLORIDA VIA Q409","3","1272","2","Modified","Length"
"ALBIAD29","KALB","KIAD","PAYGE","KALB PAYGE Q822 GONZZ Q29 SPYDY AIR J162 MGW GIBBZ5 KIAD","ZBW","ZDC","ZBW ZDC ZOB","Y","DC NORTH","3","691","1","Modified","Length"
"ALBIAD29","KALB","KIAD","PAYGE","KALB PAYGE Q822 GONZZ Q29 SPYDY AIR J162 MGW GIBBZ5 KIAD","ZBW","ZDC","ZBW ZDC ZOB","Y","DC NORTH","3","658","2","Modified","Length"
