"EFF_DATE","FIX_ID","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","NAV_ID","NAV_TYPE","BEARING","DISTANCE","File","Action","Mods"
"2026/04/16","CILSO","K3","MN","US","AEL","VOR/DME","162","2.1","2","Deleted",""
"2026/04/16","CINEN","K4","TX","US","UKW","VORTAC","174.95","6","2","Deleted",""
"2026/04/16","CIPET","K4","LA","US","LFT","VORTAC","197.08","27.98","2","Deleted",""
"2026/04/16","CIVEG","K4","TX","US","FZT","VOR/DME","121.2","9","2","Deleted",""
"2026/04/16","CLANG","K5","IN","US","MIE","VOR/DME","243.86","26.9","2","Deleted",""
"2026/04/16","CLAPS","K3","MN","US","BDH","VOR/DME","243.38","9.04","2","Deleted",""
"2026/04/16","CLAPS","K3","MN","US","RWF","VOR/DME","339.87","36.5","2","Deleted",""
"2026/04/16","CLOAK","K3","IA","US","OVR","VORTAC","105","19","2","Deleted",""
"2026/04/16","COALA","K5","MI","US","GIJ","VORTAC","268","8","2","Deleted",""
"2026/04/16","COBOS","K3","MN","US","AEL","VOR/DME","162","0.48","2","Deleted",""
"2026/04/16","COCDO","K4","LA","US","AEX","VORTAC","139.5","17.8","2","Deleted",""
"2026/04/16","COLEN","K5","OH","US","ACO","VOR/DME","277.5","","2","Deleted",""
"2026/04/16","COLEN","K5","OH","US","BSV","VOR/DME","0.17","","2","Deleted",""
"2026/04/16","CORKS","K5","MI","US","GIJ","VORTAC","89","8","2","Deleted",""
"2026/04/16","CRETE","K5","IN","US","MIE","VOR/DME","3","","2","Deleted",""
"2026/04/16","CROOZ","K6","MD","US","ASO","LOC","329","17","2","Deleted",""
"2026/04/16","CUCOO","K3","MO","US","FAM","VORTAC","209.99","11","2","Deleted",""
"2026/04/16","CURPI","K3","SD","US","RCA","LOC","130.08","","1","Modified","BEARING"
"2026/05/14","CURPI","K3","SD","US","RCA","LOC","130.05","","2","Modified","BEARING"
"2026/04/16","CURPI","K3","SD","US","RCA","TACAN","","6.25","1","Modified","BEARING DISTANCE"
"2026/05/14","CURPI","K3","SD","US","RCA","TACAN","128.43","6.34","2","Modified","BEARING DISTANCE"
"2026/04/16","CUTUP","K5","MI","US","PLN","VORTAC","82.17","3.5","2","Deleted",""
"2026/04/16","DACUG","K5","MI","US","MBS","VOR/DME","102","23","2","Deleted",""
"2026/04/16","DANIL","K4","AR","US","RZC","VORTAC","150.17","","1","Modified","DISTANCE"
"2026/05/14","DANIL","K4","AR","US","RZC","VORTAC","150.17","75.03","2","Modified","DISTANCE"
"2026/04/16","DAPAC","K5","WI","US","RHI","VOR/DME","101","10","2","Deleted",""
"2026/04/16","DARIA","K5","WI","US","BAE","VOR/DME","179.99","14","2","Deleted",""
"2026/04/16","DASHL","K3","SD","US","ABR","VOR/DME","305.23","8","2","Deleted",""
"2026/04/16","DEBAR","K5","IN","US","MIE","VOR/DME","89.77","19.06","2","Deleted",""
"2026/04/16","DELYE","K3","KS","US","EMP","VORTAC","187.49","12","2","Deleted",""
"2026/04/16","DIBLE","K2","CA","US","RBL","VORTAC","321.93","","1","Modified","DISTANCE"
"2026/05/14","DIBLE","K2","CA","US","RBL","VORTAC","321.93","7.91","2","Modified","DISTANCE"
"2026/04/16","DILLI","K4","TX","US","CNM","VORTAC","208","37","1","Modified","DISTANCE"
"2026/05/14","DILLI","K4","TX","US","CNM","VORTAC","208","37.4","2","Modified","DISTANCE"
"2026/04/16","DILLI","K4","TX","US","SFL","VORTAC","73","20","1","Modified","BEARING DISTANCE"
"2026/05/14","DILLI","K4","TX","US","SFL","VORTAC","72.91","20.06","2","Modified","BEARING DISTANCE"
"2026/04/16","DIMNI","K5","MI","US","IWD","VOR/DME","259","0.8","2","Deleted",""
"2026/04/16","DIVCE","K5","WI","US","DLL","VORTAC","117.13","","1","Modified","BEARING"
"2026/05/14","DIVCE","K5","WI","US","DLL","VORTAC","117.12","","2","Modified","BEARING"
"2026/04/16","DIVCE","K5","WI","US","MSN","VORTAC","29.5","11.69","2","Deleted",""
"2026/04/16","DIXBO","K5","MI","US","SVM","VORTAC","213","8","2","Deleted",""
"2026/04/16","DMGEZ","K3","MN","US","RWF","VOR/DME","195.57","7","2","Deleted",""
"2026/04/16","DOBYE","K4","LA","US","MLU","VORTAC","26","6","2","Deleted",""
"2026/04/16","DOTTS","K6","VA","US","CCV","VORTAC","222","24","2","Deleted",""
"2026/04/16","DRAPE","K2","UT","US","BNT","LOC","","9.6","2","Deleted",""
"2026/04/16","DRAPE","K2","UT","US","UTJ","LOC","163.95","","1","Modified","DISTANCE"
"2026/05/14","DRAPE","K2","UT","US","UTJ","LOC","163.95","9.6","2","Modified","DISTANCE"
"2026/04/16","DROBB","K3","MN","US","AXN","VOR/DME","223.75","6","2","Deleted",""
"2026/04/16","DRUGG","K4","TX","US","DHT","VORTAC","169.03","9","2","Deleted",""
"2026/04/16","DUCKA","K1","OR","US","UBG","VOR/DME","317.82","29","2","Deleted",""
"2026/04/16","DUMON","K5","KY","US","EWO","VOR/DME","132","10","2","Deleted",""
"2026/04/16","DUNKI","K5","IN","US","MIE","VOR/DME","21.05","3","2","Deleted",""
"2026/04/16","DUNKI","K5","IN","US","MZZ","VOR/DME","134.65","","2","Deleted",""
"2026/04/16","DUNME","K4","LA","US","MLU","VORTAC","266.7","16","2","Deleted",""
"2026/04/16","DURHE","K3","MO","US","IRK","VORTAC","314","7","2","Deleted",""
"2026/04/16","DUVEC","K5","OH","US","ROD","VORTAC","68.89","16.87","2","Deleted",""
"2026/04/16","DYKEE","K2","CA","US","PYE","VOR/DME","76.27","","2","Deleted",""
"2026/04/16","DYKEE","K2","CA","US","SAU","VOR/DME","3","13","2","Deleted",""
"2026/04/16","EBNOW","K3","MN","US","BDH","VOR/DME","135.98","2.26","2","Deleted",""
