"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_ID","RWY_LEN","RWY_WIDTH","SURFACE_TYPE_CODE","COND","TREATMENT_CODE","PCN","PAVEMENT_TYPE_CODE","SUBGRADE_STRENGTH_CODE","TIRE_PRES_CODE","DTRM_METHOD_CODE","RWY_LGT_CODE","RWY_LEN_SOURCE","LENGTH_SOURCE_DATE","GROSS_WT_SW","GROSS_WT_DW","GROSS_WT_DTW","GROSS_WT_DDTW","File","Action","Mods"
"2026/04/16","10375.","A","MI","4MI6","THREE OAKS","US","09/27","2300","50","TURF","","NONE","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","10448.65","A","MI","53W","WINN","US","09/27","3700","105","TURF","GOOD","NONE","","","","","","LOW","","","","","","","1","Modified","RWY_LGT_CODE"
"2026/05/14","10448.65","A","MI","53W","WINN","US","09/27","3700","105","TURF","GOOD","NONE","","","","","","","","","","","","","2","Modified","RWY_LGT_CODE"
"2026/04/16","10534.52","A","MN","94MN","BARNESVILLE","US","17/35","3000","50","TURF","","NONE","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","10635.12","C","MN","01MN","COOK","US","E/W","10000","600","WATER","","NONE","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","10635.12","C","MN","01MN","COOK","US","NW/SE","10000","600","WATER","","NONE","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","10779.03","C","MN","21MN","LEONARD","US","15W/33W","4970","300","WATER","","NONE","","","","","","","STATE","2017/10/27","","","","","2","Deleted",""
"2026/04/16","11718.","A","MO","61MU","FAUCETT","US","16/34","2100","20","ASPH","POOR","NONE","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","12056.13","A","MO","36MO","ROLLA","US","09/27","2750","150","TURF","","NONE","","","","","","","","","","","","","1","Modified","RWY_LEN COND RWY_LEN_SOURCE LENGTH_SOURCE_DATE"
"2026/05/14","12056.13","A","MO","36MO","ROLLA","US","09/27","3000","150","TURF","FAIR","NONE","","","","","","","OWNER","2026/04/07","","","","","2","Modified","RWY_LEN COND RWY_LEN_SOURCE LENGTH_SOURCE_DATE"
"2026/04/16","12537.","A","MT","RVF","TWIN BRIDGES","US","17/35","6000","60","ASPH","GOOD","NONE","24","F","D","Y","U","MED","ADO","2013/09/17","60","78","99.9","","1","Modified","RWY_WIDTH RWY_LEN_SOURCE LENGTH_SOURCE_DATE"
"2026/05/14","12537.","A","MT","RVF","TWIN BRIDGES","US","17/35","6000","75","ASPH","GOOD","NONE","24","F","D","Y","U","MED","FAA OE/AAA","2026/01/14","60","78","99.9","","2","Modified","RWY_WIDTH RWY_LEN_SOURCE LENGTH_SOURCE_DATE"
"2026/04/16","13020.1","A","NV","BTY","BEATTY","US","16/34","5615","60","ASPH","GOOD","NONE","","","","","","MED","3RD PARTY SURVEY","2023/04/22","15","30","","","2","Deleted",""
"2026/04/16","13042.01","A","NV","25NV","CARSON CITY","US","06/24","815","40","GRAVEL","FAIR","NONE","","","","","","","FAA","2010/11/08","","","","","2","Deleted",""
"2026/04/16","13044.2","A","NV","U74","CRESCENT VALLEY","US","14/32","4650","75","DIRT","POOR","NONE","","","","","","","3RD PARTY SURVEY","2002/07/06","","","","","2","Deleted",""
"2026/04/16","13478.1","A","NJ","12N","ANDOVER","US","H1","20","15","ASPH","","NONE","","","","","","","FAA","2024/05/16","","","","","1","Modified","COND"
"2026/05/14","13478.1","A","NJ","12N","ANDOVER","US","H1","20","15","ASPH","GOOD","NONE","","","","","","","FAA","2024/05/16","","","","","2","Modified","COND"
"2026/04/16","13478.1","A","NJ","12N","ANDOVER","US","H2","20","15","ASPH","","NONE","","","","","","","FAA","2024/05/16","","","","","1","Modified","COND"
"2026/05/14","13478.1","A","NJ","12N","ANDOVER","US","H2","20","15","ASPH","GOOD","NONE","","","","","","","FAA","2024/05/16","","","","","2","Modified","COND"
"2026/04/16","13918.01","H","NJ","08NJ","LIVINGSTON","US","H1","90","90","ASPH","","NONE","","","","","","","","","","","","","1","Modified","COND"
"2026/05/14","13918.01","H","NJ","08NJ","LIVINGSTON","US","H1","90","90","ASPH","GOOD","NONE","","","","","","","","","","","","","2","Modified","COND"
"2026/04/16","14542.","A","NM","ATS","ARTESIA","US","04/22","6800","150","ASPH","GOOD","PFC","17","F","C","Y","T","MED","NGS","2007/05/04","40","57","","","1","Modified","COND"
"2026/05/14","14542.","A","NM","ATS","ARTESIA","US","04/22","6800","150","ASPH","FAIR","PFC","17","F","C","Y","T","MED","NGS","2007/05/04","40","57","","","2","Modified","COND"
"2026/04/16","14542.","A","NM","ATS","ARTESIA","US","13/31","6132","100","ASPH","GOOD","PFC","17","F","C","Y","T","MED","NGS","2007/05/04","40","57","","","1","Modified","TREATMENT_CODE"
"2026/05/14","14542.","A","NM","ATS","ARTESIA","US","13/31","6132","100","ASPH","GOOD","GRVD","17","F","C","Y","T","MED","NGS","2007/05/04","40","57","","","2","Modified","TREATMENT_CODE"
"2026/04/16","14577.","A","NM","CVS","CLOVIS","US","04/22","10003","150","CONC","","NONE","54","R","C","W","T","HIGH","MILITARY","2012/06/06","","","","","1","Modified","PCN SUBGRADE_STRENGTH_CODE"
"2026/05/14","14577.","A","NM","CVS","CLOVIS","US","04/22","10003","150","CONC","","NONE","50","R","B","W","T","HIGH","MILITARY","2012/06/06","","","","","2","Modified","PCN SUBGRADE_STRENGTH_CODE"
"2026/04/16","14577.","A","NM","CVS","CLOVIS","US","13/31","8196","150","PEM","","NONE","50","R","B","W","T","HIGH","MILITARY","2012/06/06","","","","","1","Modified","PCN"
"2026/05/14","14577.","A","NM","CVS","CLOVIS","US","13/31","8196","150","PEM","","NONE","55","R","B","W","T","HIGH","MILITARY","2012/06/06","","","","","2","Modified","PCN"
"2026/04/16","14741.6","A","NM","18T","TATUM","US","12/30","2920","60","ASPH","FAIR","NONE","3","F","C","Y","T","","","","10","","","","1","Modified","COND"
"2026/05/14","14741.6","A","NM","18T","TATUM","US","12/30","2920","60","ASPH","POOR","NONE","3","F","C","Y","T","","","","10","","","","2","Modified","COND"
"2026/04/16","15647.02","H","NY","36NY","MASSENA","US","H1","50","50","ASPH","","NONE","","","","","","","OWNER","2023/09/12","","","","","2","Deleted",""
"2026/04/16","15836.","A","NY","OIC","NORWICH","US","01/19","4727","75","ASPH","GOOD","GRVD","14","F","A","X","T","HIGH","3RD PARTY SURVEY","2012/08/02","48.5","68","","","1","Modified","LENGTH_SOURCE_DATE"
"2026/05/14","15836.","A","NY","OIC","NORWICH","US","01/19","4727","75","ASPH","GOOD","GRVD","14","F","A","X","T","HIGH","3RD PARTY SURVEY","2024/10/16","48.5","68","","","2","Modified","LENGTH_SOURCE_DATE"
"2026/04/16","16608.","A","NC","CLT","CHARLOTTE","US","18R/36L","9000","150","CONC","EXCELLENT","GRVD","","","","","","HIGH","3RD PARTY SURVEY","2023/08/10","93","200","350","650","2","Deleted",""
"2026/04/16","16701.","A","NC","76NC","ENFIELD","US","03/21","3000","70","TURF","","NONE","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","16770.51","A","NC","62NC","HAVELOCK","US","04/22","2200","100","ASPH-TURF","","NONE","","","","","","","","","","","","","2","Deleted",""
