"EFF_DATE","COUNTRY_CODE","LOC_ID","REGION_CODE","STATE","CITY","LID_GROUP","FAC_TYPE","FAC_NAME","RESP_ARTCC_ID","ARTCC_COMPUTER_ID","FSS_ID","File","Action","Mods"
"2026/04/16","US","SIK","ACE","MO","SIKESTON","WEATHER SENSOR","AWOS-3","","","","","2","Deleted",""
"2026/04/16","US","SLP","ASO","NC","SHELBY","NAVIGATION AID","NDB","FIRST RIVER","ZTL","ZCT","RDU","2","Deleted",""
"2026/04/16","US","TA12","ASW","TX","WALLER","LANDING FACILITY","A","FLYING B RANCH","ZHU","ZCH","CXO","2","Deleted",""
"2026/04/16","US","TN12","ASO","TN","LEWISBURG","LANDING FACILITY","A","HUDGIN AIR","ZME","ZCM","MKL","1","Modified","FAC_NAME"
"2026/05/14","US","TN12","ASO","TN","LEWISBURG","LANDING FACILITY","A","FULLER FLD","ZME","ZCM","MKL","2","Modified","FAC_NAME"
"2026/04/16","US","TN65","ASO","TN","MURFREESBURG","LANDING FACILITY","A","LONG MEADOW AIRSTRIP","ZME","ZCM","BNA","2","Deleted",""
"2026/04/16","US","TN74","ASO","TN","LENOIR CITY","LANDING FACILITY","A","WILL A HILDRETH FARM","ZTL","ZCT","BNA","2","Deleted",""
"2026/04/16","US","WN37","ANM","WA","PORT ANGELES","LANDING FACILITY","H","MCLAUGHLIN","ZSE","ZCS","SEA","2","Deleted",""
"2026/04/16","US","WY36","ANM","WY","POWELL","LANDING FACILITY","A","BAKERS FLD","ZLC","ZCU","CPR","2","Deleted",""
"2026/04/16","US","WY39","ANM","WY","THAYNE","LANDING FACILITY","A","STAR VALLEY RANCH","ZLC","ZCU","CPR","2","Deleted",""
"2026/04/16","US","WY41","ANM","WY","LOVELL","LANDING FACILITY","A","5 SPRINGS","ZLC","ZCU","CPR","2","Deleted",""
"2026/04/16","US","WY42","ANM","WY","MEETEETSE","LANDING FACILITY","A","YU RANCH","ZLC","ZCU","CPR","2","Deleted",""
"2026/04/16","US","XUU","ASO","NC","CHARLOTTE","INSTRUMENT LANDING SYSTEM","LD","CHARLOTTE/DOUGLAS INTL(CLT) ILS RWY 36L","ZTL","ZCT","","1","Modified","FAC_NAME"
"2026/05/14","US","XUU","ASO","NC","CHARLOTTE","INSTRUMENT LANDING SYSTEM","LD","CHARLOTTE/DOUGLAS INTL(CLT) ILS RWY 01L","ZTL","ZCT","","2","Modified","FAC_NAME"
"2026/05/14","US","03WY","ANM","WY","SUNDANCE","LANDING FACILITY","A","PERALA FLD","ZDV","ZCD","CPR","2","Added",""
"2026/05/14","US","18FL","ASO","FL","INVERNESS","LANDING FACILITY","C","LAKE HENDERSON TSALA APOPKA CHAIN OF LAKES","ZJX","ZCJ","PIE","2","Added",""
"2026/05/14","US","1NA","ASO","NC","ASHEVILLE","WEATHER SENSOR","AWOS-3P","","","","","2","Added",""
"2026/05/14","US","1NA","ASO","NC","ASHEVILLE","WEATHER REPORTING STATION","WXL","","","","","2","Added",""
"2026/05/14","US","1TN6","ASO","TN","ROCKWOOD","LANDING FACILITY","H","MED TRANS","ZTL","ZCT","BNA","2","Added",""
"2026/05/14","US","1XA0","ASW","TX","GUSTINE","LANDING FACILITY","A","DW","ZFW","ZCF","FTW","2","Added",""
"2026/05/14","US","20NV","AWP","NV","GERLACH","LANDING FACILITY","A","IVESON RANCH","ZOA","ZCO","RNO","2","Added",""
"2026/05/14","US","24TT","ASW","TX","MERTZON","LANDING FACILITY","A","MCCUTCHEN LANDINGS","ZFW","ZCF","SJT","2","Added",""
"2026/05/14","US","30NV","AWP","NV","MINDEN","LANDING FACILITY","H","LZ-52","ZOA","ZCO","RNO","2","Added",""
"2026/05/14","US","35W","AGL","WI","PORT WASHINGTON","LANDING FACILITY","A","PORT WASHINGTON/DIDIER FLD","ZAU","ZCG","GRB","2","Added",""
"2026/05/14","US","37GA","ASO","GA","CUMMING","LANDING FACILITY","H","RUFFWATER","ZTL","ZCT","MCN","2","Added",""
"2026/05/14","US","3ID9","ANM","ID","CASCADE","LANDING FACILITY","A","WEST MOUNTAIN","ZLC","ZCU","BOI","2","Added",""
"2026/05/14","US","41MI","AGL","MI","STURGIS","LANDING FACILITY","H","STURGIS HOSPITAL","ZAU","ZCG","LAN","2","Added",""
"2026/05/14","US","52NV","AWP","NV","BOULDER CITY","LANDING FACILITY","H","BOULDER CITY","ZLA","ZCL","RNO","2","Added",""
"2026/05/14","US","53TX","ASW","TX","GREENVILLE","LANDING FACILITY","H","INNOVATION FIRST","ZFW","ZCF","FTW","2","Added",""
"2026/05/14","US","65KS","ACE","KS","SAINT GEORGE","LANDING FACILITY","H","TY","ZKC","ZCK","ICT","2","Added",""
"2026/05/14","US","68S","ANM","WA","DAVENPORT","WEATHER SENSOR","AWOS-3PT","","","","","2","Added",""
