"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","SPEED_RANGE","ALTITUDE","File","Action","Mods"
"2026/04/16","MAYFY INT*TX*K4","1","TX","US","265","145/175","2","Deleted",""
"2026/04/16","MELLL INT*MN*K3","1","MN","US","200/230","30/120","2","Deleted",""
"2026/04/16","MIKLE INT*LA*K4","1","LA","US","200","30/140","2","Deleted",""
"2026/04/16","MINOT VOR/DME*ND","3","ND","US","200","35/175","2","Deleted",""
"2026/04/16","MINOT VOR/DME*ND","4","ND","US","200","35/175","2","Deleted",""
"2026/04/16","MITCHELL VOR/DME*SD","2","SD","US","200","30/60","2","Deleted",""
"2026/04/16","MIZOU INT*MN*K3","1","MN","US","230/265","38/60","2","Deleted",""
"2026/04/16","MONROE VORTAC*LA","2","LA","US","200","20/140","2","Deleted",""
"2026/04/16","MUNCIE VOR/DME*IN","1","IN","US","200","26/100","2","Deleted",""
"2026/04/16","MUNCIE VOR/DME*IN","2","IN","US","200","26/100","2","Deleted",""
"2026/04/16","NEEBO WP*UT*K2","2","UT","US","265","150/300","2","Deleted",""
"2026/04/16","NEW CASTLE NDB*IN","1","IN","US","200","27/60","2","Deleted",""
"2026/04/16","NEW HOPE VOR/DME*KY","1","KY","US","200","25/140","2","Deleted",""
"2026/04/16","NEW HOPE VOR/DME*KY","2","KY","US","200","25/175","2","Deleted",""
"2026/04/16","NEW HOPE VOR/DME*KY","3","KY","US","200","25/140","2","Deleted",""
"2026/04/16","NEWTON VOR/DME*IA","3","IA","US","200","30/100","2","Deleted",""
"2026/04/16","NEWTON VOR/DME*IA","4","IA","US","200","40/60","2","Deleted",""
"2026/04/16","NILOE INT*LA*K4","1","LA","US","310","20/60","2","Deleted",""
"2026/04/16","NOFSU WP*IL*K5","1","IL","US","200","22/60","2","Deleted",""
"2026/04/16","NORWICH VOR/DME*CT","1","CT","US","200","26/60","2","Deleted",""
"2026/04/16","NORWICH VOR/DME*CT","2","CT","US","200","25/175","2","Deleted",""
"2026/04/16","NORWICH VOR/DME*CT","3","CT","US","200","26/60","2","Deleted",""
"2026/04/16","NOTTA INT*LA*K4","1","LA","US","200","20/175","2","Deleted",""
"2026/04/16","NVRTL INT*OH*K5","1","OH","US","200","31/60","2","Deleted",""
"2026/04/16","NVRTL INT*OH*K5","1","OH","US","310","31/60","2","Deleted",""
"2026/04/16","OJPOT WP*SD*K3","1","SD","US","200/230","41/60","2","Deleted",""
"2026/04/16","OLNEY NDB*IL","1","IL","US","200","24/60","2","Deleted",""
"2026/04/16","OLNEY NDB*IL","1","IL","US","310","24/60","2","Deleted",""
"2026/04/16","OMAHA VORTAC*IA","1","IA","US","200","30/60","2","Deleted",""
"2026/04/16","OMAHA VORTAC*IA","2","IA","US","200","29/60","2","Deleted",""
"2026/04/16","OMAHA VORTAC*IA","3","IA","US","200","30/60","2","Deleted",""
"2026/04/16","ONIDA LOM*OH","2","OH","US","200","30/60","2","Deleted",""
"2026/04/16","OPIPE WP*ME*K6","1","ME","US","230","60/80","2","Deleted",""
"2026/04/16","ORD NDB*NE","1","NE","US","200","42/60","2","Deleted",""
"2026/04/16","OSIXE WP*IN*K5","1","IN","US","100","25/60","2","Deleted",""
"2026/04/16","OXONN INT*MD*K6","2","MD","US","200","18/60","2","Deleted",""
"2026/04/16","OXONN NDB*DC","1","DC","US","200","18/60","2","Deleted",""
"2026/04/16","OZORA INT*MO*K3","1","MO","US","200","24/100","2","Deleted",""
"2026/04/16","PANDA INT*FL*K7","1","FL","US","230","16/180","2","Deleted",""
"2026/04/16","PANDA INT*FL*K7","5","FL","US","230","16/40","2","Deleted",""
"2026/04/16","PEGTE INT*NC*K7","2","NC","US","200","34/54","2","Deleted",""
"2026/04/16","PERLE INT*IN*K5","1","IN","US","200","25/60","2","Deleted",""
"2026/04/16","PERLE INT*IN*K5","1","IN","US","310","25/60","2","Deleted",""
"2026/04/16","PERRYTON NDB*TX","1","TX","US","200","50/60","2","Deleted",""
"2026/04/16","PERSN INT*TX*K4","1","TX","US","200","30/60","2","Deleted",""
"2026/04/16","PERSN WP*TX*K4","3","TX","US","200","30/60","2","Deleted",""
"2026/04/16","PHURN LOM*MI","2","MI","US","200","40/60","2","Deleted",""
"2026/04/16","PHURN LOM*MI","2","MI","US","310","40/60","2","Deleted",""
"2026/04/16","PIONEER VORTAC*OK","2","OK","US","200","28/140","2","Deleted",""
"2026/04/16","PIONEER VORTAC*OK","3","OK","US","200","30/140","2","Deleted",""
"2026/04/16","PLADD INT*MO*K3","1","MO","US","265","30/60","2","Deleted",""
"2026/04/16","PLATTSMOUTH NDB*NE","2","NE","US","200","28/60","2","Deleted",""
"2026/04/16","PLATTSMOUTH NDB*NE","3","NE","US","200","28/60","2","Deleted",""
"2026/04/16","PUUMA WP*FL*K7","1","FL","US","200","27/60","2","Deleted",""
"2026/04/16","QUINCY LOM*IL","1","IL","US","230","23/140","2","Deleted",""
"2026/04/16","QUOTA INT*IL*K5","1","IL","US","200","24/60","2","Deleted",""
"2026/04/16","RAGUE INT*KY*K5","1","KY","US","200","31/80","2","Deleted",""
"2026/04/16","REBUT INT*OH*K5","1","OH","US","200","24/140","2","Deleted",""
"2026/04/16","RENLY WP*ND*K3","1","ND","US","200/230","45/100","2","Deleted",""
"2026/04/16","RHINELANDER VOR/DME*WI","2","WI","US","200","39/60","2","Deleted",""
"2026/04/16","RHINELANDER VOR/DME*WI","4","WI","US","200","35/60","2","Deleted",""
"2026/04/16","ROBERTS VOR/DME*IL","1","IL","US","200","25/60","2","Deleted",""
"2026/04/16","ROBINSON NDB*TX","1","TX","US","200","27/60","2","Deleted",""
"2026/04/16","ROCHESTER VOR/DME*MN","3","MN","US","200","30/60","2","Deleted",""
"2026/04/16","ROCK RIVER NDB*WI","1","WI","US","200","28/60","2","Deleted",""
"2026/04/16","ROCK RIVER NDB*WI","2","WI","US","200","25/60","2","Deleted",""
"2026/04/16","ROSKY INT*WI*K5","1","WI","US","200","27/100","2","Deleted",""
"2026/04/16","RRICH WP*UT*K2","1","UT","US","265","240/350","2","Deleted",""
"2026/04/16","RUUSH INT*SD*K3","1","SD","US","310","60/140","2","Deleted",""
"2026/04/16","RUUSH INT*SD*K3","2","SD","US","310","140/160","2","Deleted",""
"2026/04/16","SALEM VORTAC*MI","4","MI","US","200","30/60","2","Deleted",""
"2026/04/16","SALEM VORTAC*MI","5","MI","US","200","26/60","2","Deleted",""
"2026/04/16","SALEM VORTAC*MI","6","MI","US","200","30/60","2","Deleted",""
"2026/04/16","SALEM VORTAC*MI","7","MI","US","200","30/60","2","Deleted",""
"2026/04/16","SAXNN INT*FL*K7","1","FL","US","265","16/180","2","Deleted",""
"2026/04/16","SCOLD INT*SD*K3","1","SD","US","310","180/180","2","Deleted",""
"2026/04/16","SCOLD INT*SD*K3","2","SD","US","310","180/200","2","Deleted",""
"2026/04/16","SEZER INT*KS*K3","1","KS","US","200","30/60","2","Deleted",""
"2026/04/16","SHELBYVILLE NDB*IL","1","IL","US","200","24/60","2","Deleted",""
"2026/04/16","SHELBYVILLE NDB*IL","1","IL","US","310","24/60","2","Deleted",""
