"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","FIX_ID","ICAO_REGION_CODE","NAV_ID","NAV_TYPE","HOLD_DIRECTION","HOLD_DEG_OR_CRS","AZIMUTH","COURSE_INBOUND_DEG","TURN_DIRECTION","LEG_LENGTH_DIST","File","Action","Mods"
"2026/05/14","CULAT WP*NC*K7","1","NC","US","CULAT","K7","","","NW","323","RNAV","143","R","5","2","Modified","LEG_LENGTH_DIST"
"2026/04/16","DASHL INT*SD*K3","1","SD","US","DASHL","K3","ABR","VOR/DME","NW","305","RAD","125","R","","2","Deleted",""
"2026/04/16","DODGE CITY VORTAC*KS","1","KS","US","","","DDC","VORTAC","NW","332","RAD","152","L","","1","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS COURSE_INBOUND_DEG TURN_DIRECTION"
"2026/05/14","DODGE CITY VORTAC*KS","1","KS","US","","","DDC","VORTAC","S","176","RAD","356","R","","2","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS COURSE_INBOUND_DEG TURN_DIRECTION"
"2026/04/16","DODGE CITY VORTAC*KS","2","KS","US","","","DDC","VORTAC","S","176","RAD","356","R","","2","Deleted",""
"2026/04/16","DODGE CITY VORTAC*KS","3","KS","US","","","DDC","VORTAC","NW","333","RAD","153","L","","2","Deleted",""
"2026/04/16","DYKEE INT*CA*K2","1","CA","US","DYKEE","K2","SAU","VOR/DME","S","3","RAD","3","R","","2","Deleted",""
"2026/04/16","ELYSE INT*IN*K5","1","IN","US","ELYSE","K5","MQJ","LS","E","72","CRS","252","R","","2","Deleted",""
"2026/04/16","EMPOR INT*PA*K6","1","PA","US","EMPOR","K6","SLT","VORTAC","E","264","RAD","264","R","4","2","Deleted",""
"2026/04/16","ENTUR INT*TX*K4","1","TX","US","ENTUR","K4","UKW","VORTAC","NW","137","RAD","137","R","2","2","Deleted",""
"2026/04/16","ETHER INT*CA*K2","3","CA","US","ETHER","K2","VCV","VOR/DME","E","269","RAD","269","L","","2","Deleted",""
"2026/04/16","EUREK INT*KS*K3","1","KS","US","EUREK","K3","EMP","VORTAC","N","7","RAD","187","R","","2","Deleted",""
"2026/04/16","EWABE LOM*HI","1","HI","US","","","HN","LO","W","270","BRG","90","R","","2","Deleted",""
"2026/04/16","FAMEX WP*VA*K6","1","VA","US","FAMEX","K6","","","SE","137","RNAV","317","R","4","2","Deleted",""
"2026/04/16","FARGO VOR/DME*ND","3","ND","US","","","FAR","VOR/DME","E","103","RAD","283","L","","1","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS COURSE_INBOUND_DEG TURN_DIRECTION"
"2026/05/14","FARGO VOR/DME*ND","3","ND","US","","","FAR","VOR/DME","SW","228","RAD","48","R","","2","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS COURSE_INBOUND_DEG TURN_DIRECTION"
"2026/04/16","FARGO VOR/DME*ND","4","ND","US","","","FAR","VOR/DME","SW","228","RAD","48","R","","1","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/05/14","FARGO VOR/DME*ND","4","ND","US","","","FAR","VOR/DME","NE","30","RAD","210","R","","2","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/04/16","FARGO VOR/DME*ND","5","ND","US","","","FAR","VOR/DME","NE","30","RAD","210","R","","1","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS AZIMUTH COURSE_INBOUND_DEG LEG_LENGTH_DIST"
"2026/05/14","FARGO VOR/DME*ND","5","ND","US","","","FAR","VOR/DME","SW","240","RNAV","60","R","4","2","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS AZIMUTH COURSE_INBOUND_DEG LEG_LENGTH_DIST"
"2026/04/16","FARGO VOR/DME*ND","6","ND","US","","","FAR","VOR/DME","SW","240","RNAV","60","R","4","2","Deleted",""
"2026/04/16","FARMINGTON VORTAC*MO","1","MO","US","","","FAM","VORTAC","SE","119","RAD","299","R","","2","Deleted",""
"2026/04/16","FARMINGTON VORTAC*MO","2","MO","US","","","FAM","VORTAC","NE","32","RAD","212","R","","2","Deleted",""
"2026/04/16","FIDAR WP*VA*K6","1","VA","US","FIDAR","K6","","","NW","317","RNAV","137","R","4","2","Deleted",""
"2026/04/16","FILKO INT*MI*K5","1","MI","US","FILKO","K5","MOP","VOR/DME","N","178","RAD","178","R","","2","Deleted",""
"2026/04/16","FISIX WP*IL*K5","1","IL","US","FISIX","K5","","","NW","294","RNAV","114","R","4","2","Deleted",""
"2026/04/16","FLAG CITY VORTAC*OH","3","OH","US","","","FBC","VORTAC","NE","53","RAD","233","R","","1","Modified","HOLD_DEG_OR_CRS AZIMUTH COURSE_INBOUND_DEG LEG_LENGTH_DIST"
"2026/05/14","FLAG CITY VORTAC*OH","3","OH","US","","","FBC","VORTAC","NE","56","RNAV","236","R","4","2","Modified","HOLD_DEG_OR_CRS AZIMUTH COURSE_INBOUND_DEG LEG_LENGTH_DIST"
"2026/04/16","FLAG CITY VORTAC*OH","4","OH","US","","","FBC","VORTAC","SE","118","RAD","298","R","","2","Deleted",""
"2026/04/16","FLAG CITY VORTAC*OH","5","OH","US","","","FBC","VORTAC","NE","56","RNAV","236","R","4","2","Deleted",""
"2026/04/16","FOOTE INT*IN*K5","1","IN","US","FOOTE","K5","MIE","VOR/DME","SE","143","RAD","323","R","","2","Deleted",""
"2026/04/16","FRANKSTON VOR/DME*TX","1","TX","US","","","FZT","VOR/DME","N","22","RAD","202","R","","2","Deleted",""
"2026/04/16","FRANKSTON VOR/DME*TX","2","TX","US","","","FZT","VOR/DME","NW","301","RAD","121","R","","2","Deleted",""
"2026/04/16","FRNZY WP*UT*K2","2","UT","US","FRNZY","K2","","","S","194","RNAV","14","L","10","2","Deleted",""
"2026/04/16","GALLUP VORTAC*NM","2","NM","US","","","GUP","VORTAC","SE","125","RAD","305","L","","1","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/05/14","GALLUP VORTAC*NM","2","NM","US","","","GUP","VORTAC","NE","38","RAD","218","L","","2","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/04/16","GALLUP VORTAC*NM","3","NM","US","","","GUP","VORTAC","NE","38","RAD","218","L","","1","Modified","AZIMUTH LEG_LENGTH_DIST"
"2026/05/14","GALLUP VORTAC*NM","3","NM","US","","","GUP","VORTAC","NE","38","RNAV","218","L","10","2","Modified","AZIMUTH LEG_LENGTH_DIST"
"2026/04/16","GALLUP VORTAC*NM","4","NM","US","","","GUP","VORTAC","NE","38","RNAV","218","L","10","2","Deleted",""
"2026/04/16","GARYS LOM*TX","1","TX","US","","","RU","LO","NW","305","BRG","125","L","","1","Modified","HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/05/14","GARYS LOM*TX","1","TX","US","","","RU","LO","NW","306","BRG","126","L","","2","Modified","HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
