"EFF_DATE","NAV_ID","NAV_TYPE","STATE_CODE","CITY","COUNTRY_CODE","NAV_STATUS","NAME","STATE_NAME","REGION_CODE","COUNTRY_NAME","FAN_MARKER","OWNER","OPERATOR","NAS_USE_FLAG","PUBLIC_USE_FLAG","NDB_CLASS_CODE","OPER_HOURS","HIGH_ALT_ARTCC_ID","HIGH_ARTCC_NAME","LOW_ALT_ARTCC_ID","LOW_ARTCC_NAME","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","SURVEY_ACCURACY_CODE","TACAN_DME_STATUS","TACAN_DME_LAT_DEG","TACAN_DME_LAT_MIN","TACAN_DME_LAT_SEC","TACAN_DME_LAT_HEMIS","TACAN_DME_LAT_DECIMAL","TACAN_DME_LONG_DEG","TACAN_DME_LONG_MIN","TACAN_DME_LONG_SEC","TACAN_DME_LONG_HEMIS","TACAN_DME_LONG_DECIMAL","ELEV","MAG_VARN","MAG_VARN_HEMIS","MAG_VARN_YEAR","SIMUL_VOICE_FLAG","PWR_OUTPUT","AUTO_VOICE_ID_FLAG","MNT_CAT_CODE","VOICE_CALL","CHAN","FREQ","MKR_IDENT","MKR_SHAPE","MKR_BRG","ALT_CODE","DME_SSV","LOW_NAV_ON_HIGH_CHART_FLAG","Z_MKR_FLAG","FSS_ID","FSS_NAME","FSS_HOURS","NOTAM_ID","QUAD_IDENT","PITCH_FLAG","CATCH_FLAG","SUA_ATCAA_FLAG","RESTRICTION_FLAG","HIWAS_FLAG","File","Action","Mods"
"2026/04/16","GLR","VOR/DME","MI","GAYLORD","US","OPERATIONAL RESTRICTED","GAYLORD","MICHIGAN","AGL","UNITED STATES","","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.","Y","Y","","24","ZMP","MINNEAPOLIS","ZMP","MINNEAPOLIS","45","0","44.949","N","45.01248583","84","42","15.4034","W","-84.70427872","","OPERATIONAL RESTRICTED","45","0","44.949","N","45.01248583","84","42","15.4034","W","-84.70427872","1317.7","6","W","2000","N","","N","1","NONE","29X","109.2","","","","L","L","","","LAN","LANSING","24","GLR","","N","N","N","","","2","Deleted",""
"2026/04/16","GNV","VORTAC","FL","GAINESVILLE","US","OPERATIONAL RESTRICTED","GATORS","FLORIDA","ASO","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZJX","JACKSONVILLE","ZJX","JACKSONVILLE","29","41","31.6129","N","29.69211469","82","16","22.7008","W","-82.27297244","6","","29","41","31.6129","N","29.69211469","82","16","22.7008","W","-82.27297244","127.5","4","W","2000","N","","Y","1","NONE","112Y","116.55","","","","L","L","Y","","GNV","GAINESVILLE","24","GNV","","N","N","N","","","1","Modified","ALT_CODE DME_SSV"
"2026/05/14","GNV","VORTAC","FL","GAINESVILLE","US","OPERATIONAL RESTRICTED","GATORS","FLORIDA","ASO","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZJX","JACKSONVILLE","ZJX","JACKSONVILLE","29","41","31.6129","N","29.69211469","82","16","22.7008","W","-82.27297244","6","","29","41","31.6129","N","29.69211469","82","16","22.7008","W","-82.27297244","127.5","4","W","2000","N","","Y","1","NONE","112Y","116.55","","","","VL","H","Y","","GNV","GAINESVILLE","24","GNV","","N","N","N","","","2","Modified","ALT_CODE DME_SSV"
"2026/04/16","LIT","VORTAC","AR","LITTLE ROCK","US","OPERATIONAL IFR","LITTLE ROCK","ARKANSAS","ASW","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZME","MEMPHIS","ZME","MEMPHIS","34","48","36.36","N","34.8101","92","9","7.44","W","-92.15206666","6","","34","48","33.83","N","34.80939722","92","9","7.4","W","-92.15205555","276","0","W","2025","N","","N","1","NONE","98X","115.1","","","","H","H","","","JBR","JONESBORO","24","LIT","","Y","Y","N","","","1","Modified","NAV_STATUS ALT_CODE"
"2026/05/14","LIT","VORTAC","AR","LITTLE ROCK","US","OPERATIONAL RESTRICTED","LITTLE ROCK","ARKANSAS","ASW","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZME","MEMPHIS","ZME","MEMPHIS","34","48","36.36","N","34.8101","92","9","7.44","W","-92.15206666","6","","34","48","33.83","N","34.80939722","92","9","7.4","W","-92.15205555","276","0","W","2025","N","","N","1","NONE","98X","115.1","","","","VH","H","","","JBR","JONESBORO","24","LIT","","Y","Y","N","","","2","Modified","NAV_STATUS ALT_CODE"
"2026/04/16","MAI","VORTAC","FL","MARIANNA","US","OPERATIONAL RESTRICTED","MARIANNA","FLORIDA","ASO","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZJX","JACKSONVILLE","ZJX","JACKSONVILLE","30","47","10.3047","N","30.78619575","85","7","28.0808","W","-85.12446688","7","","30","47","10.3047","N","30.78619575","85","7","28.0808","W","-85.12446688","127.9","0","E","1980","N","","N","1","NONE","87X","114","","","","L","L","","","GNV","GAINESVILLE","24","MAI","","N","N","N","","","1","Modified","ALT_CODE"
"2026/05/14","MAI","VORTAC","FL","MARIANNA","US","OPERATIONAL RESTRICTED","MARIANNA","FLORIDA","ASO","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZJX","JACKSONVILLE","ZJX","JACKSONVILLE","30","47","10.3047","N","30.78619575","85","7","28.0808","W","-85.12446688","7","","30","47","10.3047","N","30.78619575","85","7","28.0808","W","-85.12446688","127.9","0","E","1980","N","","N","1","NONE","87X","114","","","","VL","L","","","GNV","GAINESVILLE","24","MAI","","N","N","N","","","2","Modified","ALT_CODE"
"2026/04/16","MIE","VOR/DME","IN","MUNCIE","US","OPERATIONAL RESTRICTED","MUNCIE","INDIANA","AGL","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZID","INDIANAPOLIS","ZID","INDIANAPOLIS","40","14","14.2533","N","40.23729258","85","23","38.5315","W","-85.39403652","6","OPERATIONAL RESTRICTED","40","14","14.2533","N","40.23729258","85","23","38.5315","W","-85.39403652","934.3","3","W","1985","N","","Y","1","NONE","91X","114.4","","","","L","L","Y","","HUF","TERRE HAUTE","24","MIE","","Y","N","N","","","2","Deleted",""
"2026/04/16","MKL","VOR/DME","TN","JACKSON","US","OPERATIONAL RESTRICTED","MC KELLAR","TENNESSEE","ASO","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZME","MEMPHIS","ZME","MEMPHIS","35","36","28.9948","N","35.60356538","88","54","35.5972","W","-88.91042936","6","OPERATIONAL RESTRICTED","35","36","28.9948","N","35.60805411","88","54","35.5972","W","-88.90988811","417.4","1","W","2010","N","","N","1","NONE","95Y","114.85","","","","VL","DH","","","MKL","JACKSON","24","MKL","","N","N","N","","","1","Modified","LAT_SEC LONG_SEC TACAN_DME_LAT_SEC TACAN_DME_LAT_DECIMAL TACAN_DME_LONG_SEC TACAN_DME_LONG_DECIMAL ELEV"
"2026/05/14","MKL","VOR/DME","TN","JACKSON","US","OPERATIONAL RESTRICTED","MC KELLAR","TENNESSEE","ASO","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZME","MEMPHIS","ZME","MEMPHIS","35","36","12.8354","N","35.60356538","88","54","37.5457","W","-88.91042936","6","OPERATIONAL RESTRICTED","35","36","12.8354","N","35.60356538","88","54","37.5457","W","-88.91042936","410.3","1","W","2010","N","","N","1","NONE","95Y","114.85","","","","VL","DH","","","MKL","JACKSON","24","MKL","","N","N","N","","","2","Modified","LAT_SEC LONG_SEC TACAN_DME_LAT_SEC TACAN_DME_LAT_DECIMAL TACAN_DME_LONG_SEC TACAN_DME_LONG_DECIMAL ELEV"
"2026/04/16","MQI","NDB","NC","MANTEO","US","SHUTDOWN","MANTEO","NORTH CAROLINA","ASO","UNITED STATES","","O-DARE COUNTY ARPT AUTH","O-DARE COUNTY ARPT AUTH","Y","Y","MHW","24","ZDC","WASHINGTON","ZDC","WASHINGTON","35","54","55.1497","N","35.91531936","75","41","42.1884","W","-75.69505233","0","","","","","","","","","","","","7.4","9","W","1985","N","","N","1","NONE","","370","","","","","","","N","RDU","RALEIGH","24","MQI","","N","N","N","","","2","Deleted",""
"2026/04/16","MVC","VORTAC","AL","MONROEVILLE","US","OPERATIONAL IFR","MONROEVILLE","ALABAMA","ASO","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZTL","ATLANTA","ZTL","ATLANTA","31","27","33.5718","N","31.4593255","87","21","9.1374","W","-87.35253816","5","","31","27","33.5718","N","31.4593255","87","21","9.1374","W","-87.35253816","419.8","4","E","1965","N","","N","1","NONE","115X","116.8","","","","L","L","","","ANB","ANNISTON","24","ANB","","N","N","N","","","1","Modified","NAV_STATUS ALT_CODE"
"2026/05/14","MVC","VORTAC","AL","MONROEVILLE","US","OPERATIONAL RESTRICTED","MONROEVILLE","ALABAMA","ASO","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZTL","ATLANTA","ZTL","ATLANTA","31","27","33.5718","N","31.4593255","87","21","9.1374","W","-87.35253816","5","","31","27","33.5718","N","31.4593255","87","21","9.1374","W","-87.35253816","419.8","4","E","1965","N","","N","1","NONE","115X","116.8","","","","VL","L","","","ANB","ANNISTON","24","ANB","","N","N","N","","","2","Modified","NAV_STATUS ALT_CODE"
"2026/04/16","PYX","NDB","TX","PERRYTON","US","OPERATIONAL IFR","PERRYTON","TEXAS","ASW","UNITED STATES","","O-CITY OF PERRYTON","O-CITY OF PERRYTON","Y","Y","MHW","24","ZKC","KANSAS CITY","ZKC","KANSAS CITY","36","24","44.4368","N","36.41234355","100","44","51.8787","W","-100.74774408","5","","","","","","","","","","","","2917","7","E","2010","N","25","N","1","NONE","","266","","","","","","","N","FTW","FORT WORTH","24","PYX","","N","N","N","","","2","Deleted",""
"2026/04/16","RBX","VOR/DME","NC","MANTEO","US","OPERATIONAL RESTRICTED","WRIGHT BROTHERS","NORTH CAROLINA","ASO","UNITED STATES","","O-THE DARE COUNTY AIRPORT AUTHORITY","O-THE DARE COUNTY AIRPORT AUTHORITY","Y","Y","","24","ZDC","WASHINGTON","ZDC","WASHINGTON","35","55","13.8182","N","35.92050505","75","41","48.9672","W","-75.69693533","0","OPERATIONAL IFR","35","55","13.8182","N","35.92050505","75","41","48.9672","W","-75.69693533","10","8","W","1980","N","","N","1","NONE","53X","111.6","","","","T","T","","","RDU","RALEIGH","24","MQI","","N","N","N","","","1","Modified","NAV_STATUS TACAN_DME_STATUS RESTRICTION_FLAG"
