"EFF_DATE","FIX_ID","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","FIX_ID_OLD","CHARTING_REMARK","FIX_USE_CODE","ARTCC_ID_HIGH","ARTCC_ID_LOW","PITCH_FLAG","CATCH_FLAG","SUA_ATCAA_FLAG","MIN_RECEP_ALT","COMPULSORY","CHARTS","File","Action","Mods"
"2026/04/16","BDOCK","K5","OH","US","39","56","6","N","39.935","84","14","1.2","W","-84.23366666","","RNAV","RP   ","ZID","ZID","N","N","N","","","SID","1","Modified","CHARTING_REMARK FIX_USE_CODE CHARTS"
"2026/05/14","BDOCK","K5","OH","US","39","56","6","N","39.935","84","14","1.2","W","-84.23366666","","","WP   ","ZID","ZID","N","N","N","","","CONTROLLER LOW,ENROUTE LOW,SID","2","Modified","CHARTING_REMARK FIX_USE_CODE CHARTS"
"2026/04/16","BEDAY","K5","WI","US","46","30","50.14","N","46.51392777","90","16","32.04","W","-90.27556666","","","RP   ","ZMP","ZMP","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","BEFNO","K3","SD","US","44","13","49.79","N","44.23049722","103","12","37.52","W","-103.21042222","","","MR   ","ZDV","ZDV","N","N","N","","","MILITARY IAP","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/05/14","BEFNO","K3","SD","US","44","13","54.29","N","44.23174722","103","12","42.71","W","-103.21186388","","","MR   ","ZDV","ZDV","N","N","N","","","MILITARY IAP","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/04/16","BETAY","K5","MI","US","45","40","23.39","N","45.67316388","84","50","39.16","W","-84.84421111","LOXAZ","","RP   ","ZMP","ZMP","N","N","N","","","CONTROLLER LOW,ENROUTE LOW,IAP","2","Deleted",""
"2026/04/16","BLOON","K3","NE","US","40","15","32.2","N","40.25894444","97","8","34.95","W","-97.14304166","","","RP   ","ZMP","ZMP","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","BOAGY","K2","UT","US","40","14","33.05","N","40.24251388","111","51","7.75","W","-111.85215277","","RNAV","RP   ","ZLC","ZLC","N","N","N","","","CONTROLLER LOW,IAP,SPECIAL IAP,STAR","1","Modified","CHARTS"
"2026/05/14","BOAGY","K2","UT","US","40","14","33.05","N","40.24251388","111","51","7.75","W","-111.85215277","","RNAV","RP   ","ZLC","ZLC","N","N","N","","","CONTROLLER LOW,SPECIAL IAP,STAR","2","Modified","CHARTS"
"2026/04/16","BOART","K1","WY","US","44","35","25.49","N","44.59041388","108","54","37.68","W","-108.91046666","","","WP   ","ZLC","ZLC","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","BOHUW","K5","IN","US","40","16","27.62","N","40.27433888","85","26","4.66","W","-85.43462777","","","RP   ","ZID","ZID","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","BONVL","K1","OR","US","45","30","48.02","N","45.51333888","121","54","14.32","W","-121.90397777","","RNAV","RP   ","ZSE","ZSE","N","N","N","","","CONTROLLER,ENROUTE LOW,IAP","1","Modified","CHARTING_REMARK FIX_USE_CODE CHARTS"
"2026/05/14","BONVL","K1","OR","US","45","30","48.02","N","45.51333888","121","54","14.32","W","-121.90397777","","","WP   ","ZSE","ZSE","N","N","N","","","IAP","2","Modified","CHARTING_REMARK FIX_USE_CODE CHARTS"
"2026/04/16","BOUSE","K6","ME","US","45","37","19.29","N","45.622025","70","4","19.55","W","-70.07209722","","","WP   ","ZBW","ZBW","N","N","N","","","IAP","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/05/14","BOUSE","K6","ME","US","45","37","33.21","N","45.62589166","70","4","18.82","W","-70.07189444","","","WP   ","ZBW","ZBW","N","N","N","","","IAP","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/04/16","BRIMM","K5","IN","US","40","28","18.53","N","40.47181388","86","8","1.03","W","-86.13361944","","","WP   ","ZAU","ZAU","N","N","N","","","IAP","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/05/14","BRIMM","K5","IN","US","40","28","18.52","N","40.47181111","86","8","1.05","W","-86.133625","","","WP   ","ZAU","ZAU","N","N","N","","","IAP","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/04/16","BRUGO","K4","TX","US","31","26","30.95","N","31.44193055","97","19","2.23","W","-97.31728611","","","WP   ","ZFW","ZFW","N","N","N","","","IAP","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/05/14","BRUGO","K4","TX","US","31","26","25.68","N","31.44046666","97","19","2.12","W","-97.31725555","","","WP   ","ZFW","ZFW","N","N","N","","","IAP","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/04/16","BUCRA","K5","IN","US","40","31","53.99","N","40.53166388","85","43","17.06","W","-85.72140555","","","RP   ","ZAU","ZAU","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","BUDKE","K7","NC","US","35","20","35.48","N","35.34318888","81","13","7.56","W","-81.21876666","","RNAV","RP   ","ZTL","ZTL","N","N","N","","","IAP","1","Modified","LAT_MIN LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/05/14","BUDKE","K7","NC","US","35","25","35.78","N","35.42660555","81","13","19.92","W","-81.2222","","RNAV","RP   ","ZTL","ZTL","N","N","N","","","IAP","2","Modified","LAT_MIN LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/04/16","BUDPY","K2","NM","US","34","28","0.58","N","34.46682777","106","33","46.29","W","-106.56285833","","","CN   ","ZAB","ZAB","N","N","N","","","ENROUTE LOW","2","Deleted",""
"2026/04/16","BUNTS","K6","PA","US","40","4","56.01","N","40.082225","75","44","54.95","W","-75.74859722","","RNAV","RP   ","ZNY","ZNY","N","N","N","","","CONTROLLER,ENROUTE LOW,IAP,STAR","1","Modified","CHARTS"
