"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","SOP_SEQ_NO","SOP_TEXT","File","Action","Mods"
"2026/03/19","VR","1087","ZMA","120","        MSL TOWER LOCATED AT N26-38.6 W80-55.2; 250' MSL WATER","1","Modified","SOP_TEXT"
"2026/05/14","VR","1087","ZMA","120","MSL TOWER LOCATED AT N26-38.6 W80-55.2; 250' MSL WATER","2","Modified","SOP_TEXT"
"2026/03/19","VR","1087","ZMA","125","        TOWER LOCATED AT N27-04.8 W81-04.2; 300' MSL TOWER","1","Modified","SOP_TEXT"
"2026/05/14","VR","1087","ZMA","125","TOWER LOCATED AT N27-04.8 W81-04.2; 300' MSL TOWER","2","Modified","SOP_TEXT"
"2026/03/19","VR","1087","ZMA","130","        LOCATED AT N27-07.0 W81-05.0. ","1","Modified","SOP_TEXT"
"2026/05/14","VR","1087","ZMA","130","LOCATED AT N27-07.0 W81-05.0. ","2","Modified","SOP_TEXT"
"2026/03/19","VR","1087","ZMA","135","(10) AVOID FISHING RESORT/TRAILER PARK AT INTERSECTION OF ROUTE 70 ","1","Modified","SOP_TEXT"
"2026/05/14","VR","1087","ZMA","135","(11) AVOID FISHING RESORT/TRAILER PARK AT INTERSECTION OF ROUTE 70 ","2","Modified","SOP_TEXT"
"2026/03/19","VR","1087","ZMA","140","        AND THE KISSIMMEE RIVER, 7 NM WEST OF OKEECHOBEE. ","1","Modified","SOP_TEXT"
"2026/05/14","VR","1087","ZMA","140","AND THE KISSIMMEE RIVER, 7 NM WEST OF OKEECHOBEE. ","2","Modified","SOP_TEXT"
"2026/03/19","VR","1088","ZMA","5","(1) ALTERNATE ENTRY: B.","1","Modified","SOP_TEXT"
"2026/05/14","VR","1088","ZMA","5","(2) ALTERNATE ENTRY: B.","2","Modified","SOP_TEXT"
"2026/03/19","VR","1088","ZMA","10","(2) AVOID IMMOKALEE, LABELLE, HENDRY ISLES AND GRAHAM-MOORE","1","Modified","SOP_TEXT"
"2026/05/14","VR","1088","ZMA","10","(3) AVOID IMMOKALEE, LABELLE, HENDRY ISLES AND GRAHAM-MOORE","2","Modified","SOP_TEXT"
