"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","CHARTING_TYPE_DESC","File","Action","Mods"
"2026/04/16","HUDDS INT*MN*K3","1","MN","US","IAP","2","Deleted",""
"2026/04/16","INDOO INT*TX*K4","1","TX","US","IAP","2","Deleted",""
"2026/04/16","IRONS INT*MD*K6","1","MD","US","ENROUTE LOW","2","Deleted",""
"2026/04/16","ITMOR WP*CA*K2","2","CA","US","IAP","2","Deleted",""
"2026/04/16","IZANO INT*AR*K4","1","AR","US","IAP","2","Deleted",""
"2026/04/16","JAMESTOWN VOR/DME*NY","1","NY","US","IAP","2","Deleted",""
"2026/04/16","JIMMY INT*VA*K6","1","VA","US","IAP","2","Deleted",""
"2026/04/16","JIMMY WP*VA*K6","2","VA","US","IAP","2","Deleted",""
"2026/04/16","JOGPU WP*MO*K3","1","MO","US","IAP","2","Deleted",""
"2026/04/16","JOLIET VOR/DME*IL","6","","","IAP","1","Modified","STATE_CODE COUNTRY_CODE"
"2026/05/14","JOLIET VOR/DME*IL","6","IL","US","IAP","2","Modified","STATE_CODE COUNTRY_CODE"
"2026/04/16","JOTED INT*AZ*K2","1","AZ","US","IAP","2","Deleted",""
"2026/04/16","KATTO INT*MN*K3","1","MN","US","IAP","2","Deleted",""
"2026/04/16","KEGLY INT*WV*K6","1","WV","US","IAP","2","Deleted",""
"2026/04/16","KIRKSVILLE VORTAC*MO","1","MO","US","IAP","2","Deleted",""
"2026/04/16","KIRKSVILLE VORTAC*MO","2","MO","US","ENROUTE HIGH","2","Deleted",""
"2026/04/16","KIRKSVILLE VORTAC*MO","3","MO","US","STAR","2","Deleted",""
"2026/04/16","LAANG NDB*KY","2","KY","US","IAP","2","Deleted",""
"2026/04/16","LAFAYETTE VORTAC*LA","1","LA","US","IAP","2","Deleted",""
"2026/04/16","LISSI INT*WI*K5","1","WI","US","IAP","2","Deleted",""
"2026/04/16","LIVINGSTON VOR/DME*TN","1","TN","US","IAP","2","Deleted",""
"2026/04/16","LONDON VOR/DME*KY","4","KY","US","IAP","2","Deleted",""
"2026/04/16","MACHE INT*PR*TJ","1","PR","US","MILITARY IAP","2","Deleted",""
"2026/04/16","MANNING NDB*SC","1","SC","US","IAP","2","Deleted",""
"2026/04/16","MAYFY INT*TX*K4","1","TX","US","NOT REQUIRED","2","Deleted",""
"2026/04/16","MELLL INT*MN*K3","1","MN","US","IAP","2","Deleted",""
"2026/04/16","MIKLE INT*LA*K4","1","LA","US","IAP","2","Deleted",""
"2026/04/16","MINOT VOR/DME*ND","3","ND","US","IAP","2","Deleted",""
"2026/04/16","MINOT VOR/DME*ND","4","ND","US","IAP","2","Deleted",""
"2026/04/16","MITCHELL VOR/DME*SD","2","SD","US","IAP","2","Deleted",""
"2026/04/16","MONROE VORTAC*LA","2","LA","US","IAP","2","Deleted",""
"2026/04/16","MORGANTOWN VOR/DME*WV","2","WV","US","IAP","2","Deleted",""
"2026/04/16","MORRIS VOR/DME*MN","1","MN","US","IAP","2","Deleted",""
"2026/04/16","MORRIS VOR/DME*MN","2","MN","US","IAP","2","Deleted",""
"2026/04/16","MUNCIE VOR/DME*IN","1","IN","US","IAP","2","Deleted",""
"2026/04/16","MUNCIE VOR/DME*IN","2","IN","US","IAP","2","Deleted",""
"2026/04/16","NEEBO WP*UT*K2","2","UT","US","STAR","2","Deleted",""
"2026/04/16","NEW CASTLE NDB*IN","1","IN","US","IAP","2","Deleted",""
"2026/04/16","NEW HOPE VOR/DME*KY","1","KY","US","IAP","2","Deleted",""
"2026/04/16","NEW HOPE VOR/DME*KY","2","KY","US","NOT REQUIRED","2","Deleted",""
"2026/04/16","NEW HOPE VOR/DME*KY","3","KY","US","IAP","2","Deleted",""
"2026/04/16","NEWTON VOR/DME*IA","4","IA","US","IAP","2","Deleted",""
"2026/04/16","NOFSU WP*IL*K5","1","IL","US","IAP","2","Deleted",""
"2026/04/16","NORWICH VOR/DME*CT","2","CT","US","STAR","2","Deleted",""
"2026/04/16","NORWICH VOR/DME*CT","3","CT","US","IAP","2","Deleted",""
"2026/04/16","NOTTA INT*LA*K4","1","LA","US","IAP","2","Deleted",""
"2026/04/16","NVRTL INT*OH*K5","1","OH","US","IAP","2","Deleted",""
"2026/04/16","OLNEY NDB*IL","1","IL","US","IAP","2","Deleted",""
"2026/04/16","OMAHA VORTAC*IA","1","IA","US","IAP","2","Deleted",""
"2026/04/16","OMAHA VORTAC*IA","2","IA","US","IAP","2","Deleted",""
