"Orig","Route String","Dest","Hours1","Type","Area","Altitude","Aircraft","Direction","Seq","DCNTR","ACNTR","File","Action","Mods"
"AUS","AUS ILEXY4 ILEXY KIDDZ5 HOU","HOU","","H","TO KHOU,  KEFD, KGLS, KLBX","","JETS ONLY - RNAV 1 - DME/DME/IRU OR GPS","","1","ZHU","ZHU","2","Modified","Area Aircraft"
"BDL","BDL THUMB1 CCC TOPRR Q167 ZIZZI KNUKK ATR LAFLN MIIDY3 BWI","BWI","","H","FROM BAF,BDL,CEF,HFD TO BWI,MTN","","RNAV 1 - DME/DME/IRU OR GPS REQUIRED","","1","ZBW","ZDC","1","Modified","Route String Aircraft"
"BDL","BDL THUMB1 CCC TOPRR Q167 ZIZZI KNUKK ATR LAFLN MIIDY4 BWI","BWI","","H","FROM BAF,BDL,CEF,HFD TO BWI,MTN","","JETS ONLY: RNAV 1 - DME/DME/IRU OR GPS REQUIRED","","1","ZBW","ZDC","2","Modified","Route String Aircraft"
"BDL","BDL VEERS PWL BIZEX Q75 GVE AIROW CHSLY6 CLT","CLT","1100-0300","H","","","","","1","ZBW","ZTL","1","Modified","Route String"
"BDL","BDL VEERS PWL BIZEX Q75 GVE AIROW CHSLY7 CLT","CLT","1100-0300","H","","","","","1","ZBW","ZTL","2","Modified","Route String"
"BDL","BDL CTR CAM Q822 GONZZ COLTS GIGGY2 DET","DET","1100-0300","H","TO DETROIT SATS(DET,CYQG ONLY)","","DME/DME/IRU OR GNSS REQUIRED","","1","ZBW","ZOB","1","Modified","Hours1 Area Aircraft"
"BDL","BDL CTR CAM Q822 GONZZ COLTS GIGGY2 DET","DET","","H","TO DET, ONZ, TTF","","RNAV 1 - DME/DME/IRU OR GPS","","1","ZBW","ZOB","2","Modified","Hours1 Area Aircraft"
"BDR","BDR BEADS EMJAY Q167 ZIZZI KNUKK ATR LAFLN MIIDY3 BWI","BWI","1100-0300","H","","","","","1","ZNY","ZDC","1","Modified","Route String Hours1 Area Aircraft"
"BDR","BDR BEADS EMJAY Q167 ZIZZI KNUKK ATR LAFLN MIIDY4 BWI","BWI","","H","TO BWI, MTN","","JETS ONLY: RNAV 1 - DME/DME/IRU OR GPS REQUIRED","","1","ZNY","ZDC","2","Modified","Route String Hours1 Area Aircraft"
"BED","BED PUT CCC TOPRR Q167 ZIZZI KNUKK ATR LAFLN MIIDY3 BWI","BWI","1100-0300","H","TO BWI,MTN","","","","1","ZBW","ZDC","1","Modified","Route String Hours1 Aircraft"
