navId,navType,sourceRowId,name,city,stateCode,countryCode,regionCode,lat,lon,freq,chan,navStatus,nasUseFlag,publicUseFlag,highAltArtccId,lowAltArtccId,legacyNavIdTypeKey,currentPointKey
AIR,VOR/DME,37,BELLAIRE,BELLAIRE,OH,US,AGL,40.01702408,-80.81722894,117.1,118X,OPERATIONAL IFR,Y,Y,ZOB,ZOB,POINT:NAVAID:AIR:VOR/DME,POINT:NAVAID:AIR:VOR/DME:US:OH:BELLAIRE
AJA,NDB,38,MT MACAJNA,MT MACAJNA,GU,US,AWP,13.45350525,144.73693305,385,,OPERATIONAL IFR,Y,Y,,ZHN,POINT:NAVAID:AJA:NDB,POINT:NAVAID:AJA:NDB:US:GU:MT_MACAJNA
AK,NDB,39,AKRON,AKRON,OH,US,AGL,41.06973336,-81.38736763,362,,OPERATIONAL IFR,Y,Y,ZOB,ZOB,POINT:NAVAID:AK:NDB,POINT:NAVAID:AK:NDB:US:OH:AKRON
AKN,VORTAC,40,KING SALMON,KING SALMON,AK,US,AAL,58.72471258,-156.75234675,112.8,75X,OPERATIONAL IFR,Y,Y,ZAN,ZAN,POINT:NAVAID:AKN:VORTAC,POINT:NAVAID:AKN:VORTAC:US:AK:KING_SALMON
AKO,VOR/DME,41,AKRON,AKRON,CO,US,ANM,40.15555508,-103.17971469,114.4,91X,OPERATIONAL RESTRICTED,Y,Y,ZDV,ZDV,POINT:NAVAID:AKO:VOR/DME,POINT:NAVAID:AKO:VOR/DME:US:CO:AKRON
AKQ,NDB,42,WAKEFIELD,WAKEFIELD,VA,US,AEA,36.98281877,-77.00097261,274,,OPERATIONAL RESTRICTED,Y,Y,ZDC,ZDC,POINT:NAVAID:AKQ:NDB,POINT:NAVAID:AKQ:NDB:US:VA:WAKEFIELD
AKW,DME,43,KLAWOCK,KLAWOCK,AK,US,AAL,55.56862102,-133.08139586,115.8,105X,OPERATIONAL IFR,Y,Y,ZAN,ZAN,POINT:NAVAID:AKW:DME,POINT:NAVAID:AKW:DME:US:AK:KLAWOCK
AL,NDB,44,TRINA,WALLA WALLA,WA,US,ANM,46.17556583,-118.19635925,353,,OPERATIONAL IFR,Y,Y,,,POINT:NAVAID:AL:NDB,POINT:NAVAID:AL:NDB:US:WA:WALLA_WALLA
ALB,VORTAC,45,ALBANY,ALBANY,NY,US,AEA,42.74728047,-73.80318397,115.3,100X,OPERATIONAL RESTRICTED,Y,Y,ZBW,ZBW,POINT:NAVAID:ALB:VORTAC,POINT:NAVAID:ALB:VORTAC:US:NY:ALBANY
ALB,VOT,46,ALBANY,ALBANY,NY,US,AEA,42.74230002,-73.82206588,108.2,,OPERATIONAL RESTRICTED,N,Y,,,POINT:NAVAID:ALB:VOT,POINT:NAVAID:ALB:VOT:US:NY:ALBANY
ALD,VOR,47,ALLENDALE,ALLENDALE,SC,US,ASO,33.01249422,-81.29223222,116.7,,OPERATIONAL RESTRICTED,Y,Y,ZJX,ZJX,POINT:NAVAID:ALD:VOR,POINT:NAVAID:ALD:VOR:US:SC:ALLENDALE
ALI,VOR,48,ALICE,ALICE,TX,US,ASW,27.7397995,-98.02134288,114.5,,OPERATIONAL RESTRICTED,Y,Y,ZHU,ZHU,POINT:NAVAID:ALI:VOR,POINT:NAVAID:ALI:VOR:US:TX:ALICE
ALJ,NDB,49,ORCA BAY,HINCHINBROOK,AK,US,AAL,60.47982222,-146.58743055,233,,OPERATIONAL RESTRICTED,Y,Y,ZAN,ZAN,POINT:NAVAID:ALJ:NDB,POINT:NAVAID:ALJ:NDB:US:AK:HINCHINBROOK
ALO,VOR/DME,50,WATERLOO,WATERLOO,IA,US,ACE,42.55649655,-92.39892391,112.2,59X,OPERATIONAL RESTRICTED,Y,Y,ZAU,ZAU,POINT:NAVAID:ALO:VOR/DME,POINT:NAVAID:ALO:VOR/DME:US:IA:WATERLOO
ALP,NDB,51,ALPINE,ELMIRA,NY,US,AEA,42.23870361,-76.76397125,245,,OPERATIONAL IFR,Y,Y,ZNY,ZNY,POINT:NAVAID:ALP:NDB,POINT:NAVAID:ALP:NDB:US:NY:ELMIRA
ALS,VORTAC,52,ALAMOSA,ALAMOSA,CO,US,ANM,37.34915894,-105.81553269,113.9,86X,OPERATIONAL RESTRICTED,Y,Y,ZDV,ZDV,POINT:NAVAID:ALS:VORTAC,POINT:NAVAID:ALS:VORTAC:US:CO:ALAMOSA
ALW,VOR/DME,53,WALLA WALLA,WALLA WALLA,WA,US,ANM,46.08697675,-118.29253527,116.4,111X,OPERATIONAL RESTRICTED,Y,Y,ZSE,ZSE,POINT:NAVAID:ALW:VOR/DME,POINT:NAVAID:ALW:VOR/DME:US:WA:WALLA_WALLA
AM,NDB,54,PANDE,AMARILLO,TX,US,ASW,35.14646494,-101.80554686,251,,OPERATIONAL IFR,Y,Y,ZAB,ZAB,POINT:NAVAID:AM:NDB,POINT:NAVAID:AM:NDB:US:TX:AMARILLO
AMG,TACAN,55,ALMA,ALMA,GA,US,ASO,31.536555,-82.5080888,115.1,98X,OPERATIONAL RESTRICTED,Y,Y,ZJX,ZJX,POINT:NAVAID:AMG:TACAN,POINT:NAVAID:AMG:TACAN:US:GA:ALMA
AML,VOR/DME,56,ARMEL,HERNDON,VA,US,AEA,38.93459247,-77.46670175,113.5,82X,OPERATIONAL RESTRICTED,Y,Y,ZDC,ZDC,POINT:NAVAID:AML:VOR/DME,POINT:NAVAID:AML:VOR/DME:US:VA:HERNDON
AN,NDB,57,BOGGA,ANNISTON,AL,US,ASO,33.53433844,-85.93127041,211,,OPERATIONAL IFR,Y,Y,,,POINT:NAVAID:AN:NDB,POINT:NAVAID:AN:NDB:US:AL:ANNISTON
ANC,VOT,58,ANCHORAGE,ANCHORAGE,AK,US,AAL,61.16666855,-149.99453897,108.4,,OPERATIONAL IFR,Y,Y,,,POINT:NAVAID:ANC:VOT,POINT:NAVAID:ANC:VOT:US:AK:ANCHORAGE
ANI,NDB,59,ANIAK,ANIAK,AK,US,AAL,61.59015666,-159.59789272,359,,OPERATIONAL IFR,Y,Y,ZAN,ZAN,POINT:NAVAID:ANI:NDB,POINT:NAVAID:ANI:NDB:US:AK:ANIAK
ANN,VOR/DME,60,ANNETTE ISLAND,ANNETTE,AK,US,AAL,55.06040861,-131.57839944,117.1,118X,OPERATIONAL RESTRICTED,Y,Y,ZAN,ZAN,POINT:NAVAID:ANN:VOR/DME,POINT:NAVAID:ANN:VOR/DME:US:AK:ANNETTE
ANU,VOR/DME,61,V. C. BIRD,ST JOHNS,,AG,,17.12588055,-61.80016666,114.5,92X,OPERATIONAL RESTRICTED,Y,Y,,,POINT:NAVAID:ANU:VOR/DME,POINT:NAVAID:ANU:VOR/DME:AG::ST_JOHNS
ANW,VOR/DME,62,AINSWORTH,AINSWORTH,NE,US,ACE,42.56911388,-99.98966111,112.7,74X,OPERATIONAL RESTRICTED,Y,Y,ZDV,ZDV,POINT:NAVAID:ANW:VOR/DME,POINT:NAVAID:ANW:VOR/DME:US:NE:AINSWORTH
ANX,VORTAC,63,NAPOLEON,NAPOLEON,MO,US,ACE,39.09542388,-94.12883472,115.15,98Y,OPERATIONAL RESTRICTED,Y,Y,ZKC,ZKC,POINT:NAVAID:ANX:VORTAC,POINT:NAVAID:ANX:VORTAC:US:MO:NAPOLEON
ANY,TACAN,64,ANTHONY,ANTHONY,KS,US,ACE,37.15898202,-98.17077363,112.9,76X,OPERATIONAL RESTRICTED,Y,Y,ZKC,ZKC,POINT:NAVAID:ANY:TACAN,POINT:NAVAID:ANY:TACAN:US:KS:ANTHONY
AP,NDB,65,FELPS,ALPENA,MI,US,AGL,44.96079108,-83.55993533,206,,OPERATIONAL IFR,Y,Y,,,POINT:NAVAID:AP:NDB,POINT:NAVAID:AP:NDB:US:MI:ALPENA
APA,VOT,66,CENTENNIAL,DENVER,CO,US,ANM,39.57514111,-104.84517533,108.2,,OPERATIONAL IFR,Y,Y,,,POINT:NAVAID:APA:VOT,POINT:NAVAID:APA:VOT:US:CO:DENVER
APE,VORTAC,67,APPLETON,APPLETON,OH,US,AGL,40.15106272,-82.58830136,116.7,114X,OPERATIONAL RESTRICTED,Y,Y,ZID,ZID,POINT:NAVAID:APE:VORTAC,POINT:NAVAID:APE:VORTAC:US:OH:APPLETON
APN,VORTAC,68,ALPENA,ALPENA,MI,US,AGL,45.08277863,-83.5570035,116.5,112X,OPERATIONAL RESTRICTED,Y,Y,ZMP,ZMP,POINT:NAVAID:APN:VORTAC,POINT:NAVAID:APN:VORTAC:US:MI:ALPENA
