procedureKey,procedureType,procedurePathKey,routeName,routeNameFirstToken,routeNameLastToken,operationalStartRawPoint,operationalEndRawPoint,directionNameStatus
PROCEDURE:STAR:SERFR.SERFR4,STAR,PROC_PATH:PROCEDURE:STAR:SERFR.SERFR4:BODY:SERFR-EDDYY:1:,SERFR-EDDYY,SERFR,EDDYY,SERFR,EDDYY,matches_operational_endpoints
PROCEDURE:STAR:SERFR.WWAVS2,STAR,PROC_PATH:PROCEDURE:STAR:SERFR.WWAVS2:BODY:SERFR-MVRKK:1:,SERFR-MVRKK,SERFR,MVRKK,SERFR,MVRKK,matches_operational_endpoints
PROCEDURE:STAR:SERFR.WWAVS2,STAR,PROC_PATH:PROCEDURE:STAR:SERFR.WWAVS2:BODY:SERFR-PLLAR:1:,SERFR-PLLAR,SERFR,PLLAR,SERFR,PLLAR,matches_operational_endpoints
PROCEDURE:STAR:SETER.SETER5,STAR,PROC_PATH:PROCEDURE:STAR:SETER.SETER5:BODY:SETER-PDZ:1:,SETER-PDZ,SETER,PDZ,SETER,PDZ,matches_operational_endpoints
PROCEDURE:STAR:SETER.SETER5,STAR,PROC_PATH:PROCEDURE:STAR:SETER.SETER5:BODY:SETER-SB:1:,SETER-SB,SETER,SB,SETER,SB,endpoint_unresolved
PROCEDURE:STAR:SHAFF.SHAFF7,STAR,PROC_PATH:PROCEDURE:STAR:SHAFF.SHAFF7:BODY:FLOSI-SAX:1:,FLOSI-SAX,FLOSI,SAX,FLOSI,SAX,matches_operational_endpoints
PROCEDURE:STAR:SHAIN.SHAIN2,STAR,PROC_PATH:PROCEDURE:STAR:SHAIN.SHAIN2:BODY:SHAIN-NUNWS:1:,SHAIN-NUNWS,SHAIN,NUNWS,SHAIN,NUNWS,matches_operational_endpoints
PROCEDURE:STAR:SHAMU.SHAMU1,STAR,PROC_PATH:PROCEDURE:STAR:SHAMU.SHAMU1:BODY:SHAMU-SARGS:1:,SHAMU-SARGS,SHAMU,SARGS,SHAMU,SARGS,matches_operational_endpoints
PROCEDURE:STAR:SHFTY.SHFTY6,STAR,PROC_PATH:PROCEDURE:STAR:SHFTY.SHFTY6:BODY:SHFTY-KLAWS:1:,SHFTY-KLAWS,SHFTY,KLAWS,SHFTY,KLAWS,matches_operational_endpoints
PROCEDURE:STAR:SHFTY.SHFTY6,STAR,PROC_PATH:PROCEDURE:STAR:SHFTY.SHFTY6:BODY:SHFTY-PONTY:1:,SHFTY-PONTY,SHFTY,PONTY,SHFTY,PONTY,matches_operational_endpoints
