airwayKey,airwayPathKey,fromOccurrenceKey,toOccurrenceKey,fromPointKey,toPointKey,fromPointSeq,toPointSeq,magCourse,oppositeMagCourse,minEnrouteAltFt,minEnrouteAltOppositeFt,gpsMinEnrouteAltFt,gapFlag,signalGapFlag,dogleg,forwardEndpointResolved,reverseDirectionEvidence,reverseEvidenceStatus,sourceTable,sourceRowId
AIRWAY:A315,AIRWAY_PATH:A315:C,AWY_OCC:A315:C:30,AWY_OCC:A315:C:40,POINT:FIX:TINKY:K,POINT:FIX:PEKRE:MY,30,40,135.69,315.81,12500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,35
AIRWAY:A315,AIRWAY_PATH:A315:C,AWY_OCC:A315:C:40,AWY_OCC:A315:C:50,POINT:FIX:PEKRE:MY,POINT:FIX:JAYEE:MY,40,50,135.82,315.97,14000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,36
AIRWAY:A315,AIRWAY_PATH:A315:C,AWY_OCC:A315:C:50,AWY_OCC:A315:C:60,POINT:FIX:JAYEE:MY,POINT:FIX:HODGY:MY,50,60,135.97,316.11,7000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,37
AIRWAY:A315,AIRWAY_PATH:A315:C,AWY_OCC:A315:C:60,AWY_OCC:A315:C:70,POINT:FIX:HODGY:MY,POINT:FIX:AMBIS:MY,60,70,136.1,316.31,7000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,38
AIRWAY:A315,AIRWAY_PATH:A315:C,AWY_OCC:A315:C:70,AWY_OCC:A315:C:80,POINT:FIX:AMBIS:MY,POINT:FIX:DUNNO:K7,70,80,141.32,322.13,7000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,39
AIRWAY:A315,AIRWAY_PATH:A315:C,AWY_OCC:A315:C:80,AWY_OCC:A315:C:90,POINT:FIX:DUNNO:K7,POINT:FIX:ACMEE:K,80,90,142.12,322.84,7000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,40
AIRWAY:A315,AIRWAY_PATH:A315:C,AWY_OCC:A315:C:90,AWY_OCC:A315:C:100,POINT:FIX:ACMEE:K,POINT:FIX:KNSLY:K,90,100,142.8,323.93,7000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,41
AIRWAY:A331,AIRWAY_PATH:A331:C,AWY_OCC:A331:C:10,AWY_OCC:A331:C:20,POINT:FIX:ZIGIE:P,POINT:FIX:ZOULU:P,10,20,32.07,212.3,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,44
AIRWAY:A331,AIRWAY_PATH:A331:C,AWY_OCC:A331:C:20,AWY_OCC:A331:C:30,POINT:FIX:ZOULU:P,POINT:FIX:ZEMOM:P,20,30,32.34,213.66,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,45
AIRWAY:A331,AIRWAY_PATH:A331:C,AWY_OCC:A331:C:30,AWY_OCC:A331:C:40,POINT:FIX:ZEMOM:P,POINT:FIX:ZINNO:P,30,40,33.7,215.41,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,46
AIRWAY:A331,AIRWAY_PATH:A331:C,AWY_OCC:A331:C:40,AWY_OCC:A331:C:50,POINT:FIX:ZINNO:P,POINT:FIX:ZAGER:P,40,50,35.4,218.15,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,47
AIRWAY:A331,AIRWAY_PATH:A331:C,AWY_OCC:A331:C:50,AWY_OCC:A331:C:60,POINT:FIX:ZAGER:P,POINT:FIX:ZANNG:P,50,60,38.16,222.56,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,48
AIRWAY:A331,AIRWAY_PATH:A331:C,AWY_OCC:A331:C:60,AWY_OCC:A331:C:70,POINT:FIX:ZANNG:P,POINT:FIX:SEDAR:P,60,70,42.57,224.75,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,49
AIRWAY:A332,AIRWAY_PATH:A332:C,AWY_OCC:A332:C:10,AWY_OCC:A332:C:20,POINT:FIX:AUNTI:P,POINT:FIX:HALLI:P,10,20,34.8,216.34,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,51
AIRWAY:A332,AIRWAY_PATH:A332:C,AWY_OCC:A332:C:20,AWY_OCC:A332:C:30,POINT:FIX:HALLI:P,POINT:FIX:HELOP:P,20,30,36.28,218.35,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,52
