"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","CHARTING_TYPE_DESC"
"2026/05/14","AIROW WP*VA*K6",1,"VA","US","STAR"
"2026/05/14","AJADI WP*NE*K3",1,"NE","US","IAP"
"2026/05/14","AJBUF WP*NE*K3",1,"NE","US","IAP"
"2026/05/14","AJCIZ WP*NE*K3",1,"NE","US","IAP"
"2026/05/14","AJDIF WP*MI*K5",1,"MI","US","IAP"
"2026/05/14","AJDUX WP*GA*K7",1,"GA","US","IAP"
"2026/05/14","AJEPO WP*WI*K5",1,"WI","US","IAP"
"2026/05/14","AJETU WP*NM*K2",1,"NM","US","IAP"
"2026/05/14","AJFEF WP*OH*K5",1,"OH","US","IAP"
"2026/05/14","AJIPO WP*IL*K5",1,"IL","US","SPECIAL IAP"
"2026/05/14","AJJAY WP*ME*K6",1,"ME","US","STAR"
"2026/05/14","AJJIT WP*KY*K5",1,"KY","US","SPECIAL IAP"
"2026/05/14","AJKAV WP*NC*K7",1,"NC","US","SPECIAL IAP"
"2026/05/14","AJLIP WP*FL*K7",1,"FL","US","IAP"
"2026/05/14","AJOFY WP*AK*PA",1,"AK","US","NOT REQUIRED"
"2026/05/14","AJPAY WP*AZ*K2",1,"AZ","US","IAP"
"2026/05/14","AJQUR WP*MO*K3",1,"MO","US","IAP"
"2026/05/14","AJUBA WP*IL*K5",1,"IL","US","IAP"
"2026/05/14","AKAKE WP*WI*K5",1,"WI","US","IAP"
"2026/05/14","AKDMY INT*CA*K2",1,"CA","US","MILITARY IAP"
"2026/05/14","AKEKE WP*MT*K1",1,"MT","US","IAP"
"2026/05/14","AKEKY WP*TX*K4",1,"TX","US","IAP"
"2026/05/14","AKELT WP*AK*PA",1,"AK","US","IAP"
"2026/05/14","AKEPE WP*OH*K5",1,"OH","US","IAP"
"2026/05/14","AKESE WP*OK*K4",1,"OK","US","IAP"
"2026/05/14","AKGEF WP*OH*K5",1,"OH","US","SPECIAL IAP"
"2026/05/14","AKICA WP*IN*K5",1,"IN","US","IAP"
"2026/05/14","AKICE WP*WY*K1",1,"WY","US","IAP"
"2026/05/14","AKIGE WP*NE*K3",1,"NE","US","IAP"
"2026/05/14","AKIRE WP*MN*K3",1,"MN","US","IAP"
"2026/05/14","AKORD INT*CA*K2",1,"CA","US","MILITARY IAP"
"2026/05/14","AKOYU WP*TN*K7",1,"TN","US","NOT REQUIRED"
"2026/05/14","AKPUC WP*OH*K5",1,"OH","US","IAP"
"2026/05/14","AKQON INT*VA*K6",1,"VA","US","IAP"
"2026/05/14","AKQON WP*VA*K6",2,"VA","US","IAP"
"2026/05/14","AKRMN WP*MS*K7",1,"MS","US","IAP"
"2026/05/14","AKRON LOM*OH",1,"OH","US","IAP"
"2026/05/14","AKRON VOR/DME*CO",1,"CO","US","IAP"
"2026/05/14","AKRON VOR/DME*OH",1,"OH","US","IAP"
"2026/05/14","AKRON VOR/DME*OH",2,"OH","US","IAP"
"2026/05/14","AKRON VOR/DME*OH",3,"OH","US","IAP"
"2026/05/14","AKRON VOR/DME*OH",4,"OH","US","NOT REQUIRED"
"2026/05/14","AKRON VOR/DME*OH",5,"OH","US","IAP"
"2026/05/14","AKRON VOR/DME*OH",6,"OH","US","IAP"
"2026/05/14","AKRON VOR/DME*OH",6,"OH","US","SPECIAL IAP"
"2026/05/14","AKRON VOR/DME*OH",7,"OH","US","IAP"
"2026/05/14","AKUMY WP*AK*PA",1,"AK","US","IAP"
"2026/05/14","AKUMY WP*AK*PA",1,"AK","US","SID"
"2026/05/14","AKUYA WP*IN*K5",1,"IN","US","IAP"
"2026/05/14","AKVOC WP*TX*K4",1,"TX","US","SPECIAL IAP"
"2026/05/14","AKYAK WP*ME*K6",1,"ME","US","IAP"
"2026/05/14","ALADE WP*IL*K5",1,"IL","US","IAP"
"2026/05/14","ALAGE INT*MN*K3",1,"MN","US","IAP"
"2026/05/14","ALAKE INT*IL*K5",1,"IL","US","IAP"
"2026/05/14","ALAMM NDB*NC",1,"NC","US","IAP"
"2026/05/14","ALAMOSA VORTAC*CO",1,"CO","US","IAP"
"2026/05/14","ALAMOSA VORTAC*CO",2,"CO","US","IAP"
"2026/05/14","ALAMOSA VORTAC*CO",2,"CO","US","SID"
"2026/05/14","ALAMOSA VORTAC*CO",3,"CO","US","IAP"
"2026/05/14","ALAMOSA VORTAC*CO",3,"CO","US","SPECIAL DP"
"2026/05/14","ALAMOSA VORTAC*CO",4,"CO","US","IAP"
"2026/05/14","ALANA INT*HI*PH",1,"HI","US","IAP"
"2026/05/14","ALANA INT*HI*PH",1,"HI","US","MILITARY IAP"
"2026/05/14","ALANA INT*HI*PH",3,"HI","US","IAP"
"2026/05/14","ALANA WP*HI*PH",2,"HI","US","IAP"
"2026/05/14","ALANE WP*AL*K7",1,"AL","US","IAP"
"2026/05/14","ALBANY VORTAC*NY",1,"NY","US","IAP"
"2026/05/14","ALBAS INT*CA*K2",1,"CA","US","MILITARY IAP"
"2026/05/14","ALBAS WP*CA*K2",2,"CA","US","MILITARY IAP"
"2026/05/14","ALBAS WP*CA*K2",3,"CA","US","IAP"
"2026/05/14","ALBUQUERQUE VORTAC*NM",1,"NM","US","IAP"
"2026/05/14","ALBUQUERQUE VORTAC*NM",1,"NM","US","SID"
"2026/05/14","ALBUQUERQUE VORTAC*NM",2,"NM","US","IAP"
"2026/05/14","ALCIE WP*ME*K6",1,"ME","US","SPECIAL IAP"
"2026/05/14","ALCOS INT*WY*K1",1,"WY","US","SID"
"2026/05/14","ALDAN INT*NC*K7",1,"NC","US","IAP"
"2026/05/14","ALDAN INT*NC*K7",3,"NC","US","IAP"
"2026/05/14","ALDAN WP*NC*K7",2,"NC","US","STAR"
"2026/05/14","ALDER INT*WA*K1",1,"WA","US","SID"
"2026/05/14","ALEUT WP*AK*PA",1,"AK","US","IAP"
"2026/05/14","ALEUT WP*AK*PA",1,"AK","US","SPECIAL IAP"
"2026/05/14","ALEXA INT*NC*K7",1,"NC","US","IAP"
"2026/05/14","ALEXANDRIA VOR/DME*MN",1,"MN","US","IAP"
"2026/05/14","ALEXANDRIA VORTAC*LA",1,"LA","US","IAP"
"2026/05/14","ALEYU WP*MN*K3",1,"MN","US","IAP"
"2026/05/14","ALFER WP*TX*K4",1,"TX","US","SPECIAL IAP"
"2026/05/14","ALFOR WP*OR*K1",1,"OR","US","IAP"
"2026/05/14","ALFRD WP*IN*K5",1,"IN","US","IAP"
"2026/05/14","ALGER WP*LA*K4",1,"LA","US","IAP"
"2026/05/14","ALGOA LOM*MO",1,"MO","US","IAP"
"2026/05/14","ALGOE WP*SC*K7",1,"SC","US","IAP"
"2026/05/14","ALGTR WP*NC*K7",1,"NC","US","IAP"
"2026/05/14","ALGUM INT*KS*K3",1,"KS","US","MILITARY IAP"
"2026/05/14","ALGUY INT*NC*K7",1,"NC","US","MILITARY IAP"
"2026/05/14","ALIAS WP*OH*K5",1,"OH","US","IAP"
"2026/05/14","ALIBI LOM*TX",1,"TX","US","IAP"
"2026/05/14","ALICE VOR*TX",1,"TX","US","IAP"
"2026/05/14","ALICE VOR*TX",2,"TX","US","IAP"
"2026/05/14","ALICS WP*FL*K7",1,"FL","US","IAP"
"2026/05/14","ALIEF INT*TX*K4",1,"TX","US","STAR"
"2026/05/14","ALIEF WP*TX*K4",2,"TX","US","STAR"
"2026/05/14","ALINN WP*NC*K7",1,"NC","US","ENROUTE HIGH"
"2026/05/14","ALIXE INT*CA*K2",1,"CA","US","MILITARY IAP"
"2026/05/14","ALIXX INT*CT*K6",1,"CT","US","STAR"
"2026/05/14","ALIXX WP*CT*K6",2,"CT","US","STAR"
"2026/05/14","ALIYO WP*OH*K5",1,"OH","US","SPECIAL IAP"
"2026/05/14","ALKAL WP*ID*K1",1,"ID","US","IAP"
"2026/05/14","ALLAH WP*PA*K6",1,"PA","US","IAP"
"2026/05/14","ALLEE INT*MS*K7",1,"MS","US","MILITARY IAP"
"2026/05/14","ALLEGHENY VOR/DME*PA",1,"PA","US","IAP"
"2026/05/14","ALLEGHENY VOR/DME*PA",2,"PA","US","IAP"
"2026/05/14","ALLEGHENY VOR/DME*PA",3,"PA","US","IAP"
"2026/05/14","ALLEGHENY VOR/DME*PA",4,"PA","US","IAP"
"2026/05/14","ALLEGHENY VOR/DME*PA",5,"PA","US","IAP"
"2026/05/14","ALLEGHENY VOR/DME*PA",6,"PA","US","IAP"
"2026/05/14","ALLENDALE VOR*SC",1,"SC","US","IAP"
"2026/05/14","ALLENTOWN VORTAC*PA",1,"PA","US","MILITARY IAP"
"2026/05/14","ALLENTOWN VORTAC*PA",2,"PA","US","IAP"
"2026/05/14","ALLER LOM*NC",1,"NC","US","IAP"
"2026/05/14","ALLER LOM*NC",2,"NC","US","IAP"
"2026/05/14","ALLIANCE VOR/DME*NE",1,"NE","US","IAP"
"2026/05/14","ALLIANCE VOR/DME*NE",2,"NE","US","IAP"
"2026/05/14","ALLIANCE VOR/DME*NE",3,"NE","US","IAP"
"2026/05/14","ALLIS INT*AZ*K2",1,"AZ","US","NOT REQUIRED"
"2026/05/14","ALMAA WP*VA*K6",1,"VA","US","IAP"
"2026/05/14","ALMAS INT*KS*K3",1,"KS","US","IAP"
"2026/05/14","ALMON WP*AZ*K2",1,"AZ","US","IAP"
"2026/05/14","ALMON WP*AZ*K2",2,"AZ","US","SID"
"2026/05/14","ALMOW WP*AR*K4",1,"AR","US","IAP"
"2026/05/14","ALMST WP*CA*K2",1,"CA","US","STAR"
"2026/05/14","ALNUT WP*TX*K4",1,"TX","US","IAP"
"2026/05/14","ALPENA VORTAC*MI",1,"MI","US","IAP"
"2026/05/14","ALPOE INT*CO*K2",1,"CO","US","STAR"
"2026/05/14","ALQAZ WP*IN*K5",1,"IN","US","IAP"
"2026/05/14","ALSKA WP*AK*PA",1,"AK","US","IAP"
"2026/05/14","ALTAM INT*CA*K2",1,"CA","US","AREA"
"2026/05/14","ALTAM INT*CA*K2",1,"CA","US","ENROUTE LOW"
"2026/05/14","ALTAM INT*CA*K2",2,"CA","US","IAP"
"2026/05/14","ALTUS VORTAC*OK",1,"OK","US","MILITARY IAP"
"2026/05/14","ALVIN INT*FL*K7",1,"FL","US","ENROUTE LOW"
"2026/05/14","ALVUS WP*MI*K5",1,"MI","US","IAP"
