"EFF_DATE","FACILITY_ID","FACILITY_TYPE","STATE_CODE","COUNTRY_CODE","RADAR_TYPE","RADAR_NO","RADAR_HRS","REMARK"
"2026/05/14","FRI","AIRPORT","KS","US","ASR",1,"OPR 1400- 0700Z++ MON-FRI ; 1400-2200Z++FRI EXC HOL.",""
"2026/05/14","FSD","AIRPORT","SD","US","ASR",2,"0500-2300",""
"2026/05/14","FSI","AIRPORT","OK","US","ASR",1,"24",""
"2026/05/14","FSM","AIRPORT","AR","US","ASR",1,"24",""
"2026/05/14","FWA","AIRPORT","IN","US","ASR",1,"24",""
"2026/05/14","FYV","AIRPORT","AR","US","ASR",1,"0600-2200",""
"2026/05/14","GEG","AIRPORT","WA","US","ASR",1,"24",""
"2026/05/14","GGG","AIRPORT","TX","US","ASR",1,"0600-2200",""
"2026/05/14","GPT","AIRPORT","MS","US","ASR",1,"0600-2300",""
"2026/05/14","GRB","AIRPORT","WI","US","ASR",1,"0530-1130",""
"2026/05/14","GRF","AIRPORT","WA","US","ASR",1,"0600-2200",""
"2026/05/14","GRK","AIRPORT","TX","US","ASR",2,"24",""
"2026/05/14","GRK","AIRPORT","TX","US","PAR",3,"24",""
"2026/05/14","GRR","AIRPORT","MI","US","ASR",1,"0530-0000",""
"2026/05/14","GSB","AIRPORT","NC","US","ASR",1,"1200-0400Z++.  DIGITAL ASR NO-NOTAM MP 0500-1030Z++ MON-FRI.",""
"2026/05/14","GSO","AIRPORT","NC","US","ASR",1,"24",""
"2026/05/14","GSP","AIRPORT","SC","US","ASR",2,"0600-2345",""
"2026/05/14","GTB","AIRPORT","NY","US","PAR",1,"24",""
"2026/05/14","GTB","AIRPORT","NY","US","ASR",2,"24",""
"2026/05/14","GTF","AIRPORT","MT","US","ASR",1,"24",""
"2026/05/14","GUM","AIRPORT","GU","US","ASR",1,"UNK",""
"2026/05/14","GUS","AIRPORT","IN","US","ASR",2,"NO-NOTAM MP 1200-1400Z++ MON.  ASR APCH SVC 1200-0400Z++ DLY.",""
"2026/05/14","GVT","AIRPORT","TX","US","ASR",1,"0730-1600",""
"2026/05/14","GXY","AIRPORT","CO","US","ASR",1,"24",""
"2026/05/14","HEY","AIRPORT","AL","US","PAR",1,"OPR 1130-0545Z++ OR TIL MISSION CMPLT, MON-FRI EXC HOL, OT CTC CAIRNS TWR.",""
"2026/05/14","HMN","AIRPORT","NM","US","ASR",1,"0800-2200",""
"2026/05/14","HNL","AIRPORT","HI","US","ASR",1,"24",""
"2026/05/14","HOP","AIRPORT","KY","US","PAR",2,"PAR UNAVBL 0400-1400Z++.",""
"2026/05/14","HOP","AIRPORT","KY","US","ASR",3,"0600-2200.  ILS RADAR SEE TERMINAL FLIP FOR RADAR MINIMA.",""
"2026/05/14","HOU","AIRPORT","TX","US","ASR",1,"24",""
"2026/05/14","HPN","AIRPORT","NY","US","ASR",1,"0600-2300",""
"2026/05/14","HRL","AIRPORT","TX","US","ASR",1,"0600-0000",""
"2026/05/14","HST","AIRPORT","FL","US","ASR",1,"0700-2300","(RADAR_HRS) NO-NOTAM MP: 1000-1400Z++ WED (1500/3+1)."
"2026/05/14","HSV","AIRPORT","AL","US","ASR",1,"0600-0000",""
"2026/05/14","HTS","AIRPORT","WV","US","ASR",1,"24",""
"2026/05/14","HUA","AIRPORT","AL","US","PAR",1,"0600-1900 MON-FRI EXCP HOLS; OTR TIMES PPR.",""
"2026/05/14","HUF","AIRPORT","IN","US","ASR",1,"24",""
"2026/05/14","I90","TRACON","TX","US","ASR",1,"24",""
"2026/05/14","I90","TRACON","TX","US","ASR",2,"24",""
"2026/05/14","I90","TRACON","TX","US","ASR",3,"24",""
"2026/05/14","I90","TRACON","TX","US","ASR",4,"24",""
"2026/05/14","IAD","AIRPORT","DC","US","ASR",1,"24",""
"2026/05/14","IAH","AIRPORT","TX","US","ASR",1,"24",""
"2026/05/14","ICT","AIRPORT","KS","US","ASR",1,"24",""
"2026/05/14","ILM","AIRPORT","NC","US","ASR",1,"24",""
"2026/05/14","ILN","AIRPORT","OH","US","ASR",1,"24",""
"2026/05/14","IND","AIRPORT","IN","US","ASR",1,"24",""
"2026/05/14","ISP","AIRPORT","NY","US","ASR",1,"0600-0000",""
"2026/05/14","ITO","AIRPORT","HI","US","ASR",1,"0600-2200",""
"2026/05/14","IWA","AIRPORT","AZ","US","ASR",1,"0600-2200",""
"2026/05/14","JAN","AIRPORT","MS","US","ASR",1,"0600-2300",""
"2026/05/14","JAX","AIRPORT","FL","US","ASR",1,"24",""
"2026/05/14","JFK","AIRPORT","NY","US","ASR",1,"24",""
"2026/05/14","JRF","AIRPORT","HI","US","ASR",1,"1000-1800.","(RADAR_TYPE) GCA OTS INDEFLY."
"2026/05/14","JRF","AIRPORT","HI","US","PAR",2,"1000-1800.","(RADAR_TYPE) GCA OTS INDEFLY."
"2026/05/14","KWA","AIRPORT","","MH","BCN",1,"MON 1200-2000, TUE-SAT 0545-2130",""
"2026/05/14","LAN","AIRPORT","MI","US","ASR",1,"24",""
"2026/05/14","LAS","AIRPORT","NV","US","ASR",1,"24",""
"2026/05/14","LAX","AIRPORT","CA","US","ASR",2,"24",""
"2026/05/14","LCH","AIRPORT","LA","US","ASR",1,"0600-2200",""
"2026/05/14","LEX","AIRPORT","KY","US","ASR",1,"24",""
"2026/05/14","LFI","AIRPORT","VA","US","ASR",1,"24",""
"2026/05/14","LFT","AIRPORT","LA","US","ASR",1,"0530-2230",""
"2026/05/14","LGB","AIRPORT","CA","US","ASR",1,"24",""
"2026/05/14","LIH","AIRPORT","HI","US","ASR",1,"24",""
"2026/05/14","LIT","AIRPORT","AR","US","ASR",1,"24",""
"2026/05/14","LMT","AIRPORT","OR","US","ASR",1,"24",""
"2026/05/14","LNK","AIRPORT","NE","US","ASR",1,"0530-0000",""
"2026/05/14","LRF","AIRPORT","AR","US","ASR",1,"1400-2200Z++ MON-FRI, CLSD WKENDS & HOLS.",""
"2026/05/14","LSV","AIRPORT","NV","US","ASR",1,"24","(RADAR_TYPE) ILS/RADAR: TOLICHA PEAK RADAR - NO-NOTAM MP: ASR FIRST FULL WEEK OF EVERY MONTH.  "
"2026/05/14","LSV","AIRPORT","NV","US","ASR",3,"NELLIS ASR NO-NOTAM MP 0700-1100Z++ MON-FRI.","(RADAR_TYPE) ILS/RADAR: TOLICHA PEAK RADAR - NO-NOTAM MP: ASR FIRST FULL WEEK OF EVERY MONTH.  "
"2026/05/14","LTS","AIRPORT","OK","US","ASR",1,"ASR OPRS 0730-0130 MON-FRI EXCP HOL.",""
"2026/05/14","LTS","AIRPORT","OK","US","PAR",2,"PAR OPRS 1000-0000 MON-FRI EXCP HOL.",""
"2026/05/14","LUF","AIRPORT","AZ","US","ASR",1,"OPR MON-THU 1330Z-0530Z, FRI 1330Z-0130Z, CLSD WEEKENDS, HOL, AND AETC FAMILY DAYS.  NO NOTAM MP: ASR (DIGITAL) 0600-1330Z WEEKDAY.",""
"2026/05/14","LUF","AIRPORT","AZ","US","PAR",2,"OPR MON-THU 1330Z-0530Z, FRI 1330Z-0130Z, CLSD WEEKENDS, HOL, AND AETC FAMILY DAYS.",""
"2026/05/14","LYH","AIRPORT","VA","US","ASR",1,"24",""
"2026/05/14","MAF","AIRPORT","TX","US","ASR",1,"0600-0000",""
"2026/05/14","MBS","AIRPORT","MI","US","ASR",1,"0600-2300",""
"2026/05/14","MCC","AIRPORT","CA","US","ASR",1,"24",""
"2026/05/14","MCI","AIRPORT","MO","US","ASR",1,"24",""
"2026/05/14","MCO","AIRPORT","FL","US","ASR",1,"24",""
"2026/05/14","MDT","AIRPORT","PA","US","ASR",1,"24",""
"2026/05/14","MEI","AIRPORT","MS","US","ASR",1,"0900-1700 MON-FRI EXCP HOLS.",""
"2026/05/14","MEI","AIRPORT","MS","US","PAR",2,"0900-1700 MON-FRI EXCP HOLS.",""
"2026/05/14","MEM","AIRPORT","TN","US","ASR",1,"24",""
"2026/05/14","MFD","AIRPORT","OH","US","ASR",1,"0600-2300",""
"2026/05/14","MFR","AIRPORT","OR","US","ASR",1,"0600-2300",""
"2026/05/14","MGE","AIRPORT","GA","US","ASR",1,"0700-2300.",""
"2026/05/14","MGM","AIRPORT","AL","US","ASR",1,"0600-2300",""
"2026/05/14","MHT","AIRPORT","NH","US","ASR",1,"24",""
"2026/05/14","MIA","AIRPORT","FL","US","ASR",2,"24",""
"2026/05/14","MIB","AIRPORT","ND","US","ASR",2,"OPR 24 HRS FROM MON 1300Z++ THRU SAT 0500Z++ SAT AND SUN 1300-0500Z++.","(RADAR_TYPE) DIGITAL ASR NO-NOTAM MP 0600-1200Z++ MON-FRI (1500/3+1)."
"2026/05/14","MKE","AIRPORT","WI","US","ASR",1,"24",""
"2026/05/14","MKG","AIRPORT","MI","US","ASR",1,"0600-2300",""
"2026/05/14","MLI","AIRPORT","IL","US","ASR",1,"24",""
"2026/05/14","MLU","AIRPORT","LA","US","ASR",1,"0600-2200",""
"2026/05/14","MOB","AIRPORT","AL","US","ASR",1,"0600-2300",""
"2026/05/14","MRB","AIRPORT","WV","US","ASR",1,"24",""
"2026/05/14","MRY","AIRPORT","CA","US","ASR",1,"0600-2100","(RADAR_TYPE) ASR-11 ANTENNA LOCATED MARINA MUNI (OAR), REMOTED TO MONTEREY RGNL (MRY). ASR-11 SERVES MRY AND OAR."
"2026/05/14","MSN","AIRPORT","WI","US","ASR",1,"0600-2300",""
"2026/05/14","MSO","AIRPORT","MT","US","ASR",1,"0600-2320",""
"2026/05/14","MSP","AIRPORT","MN","US","ASR",1,"24",""
"2026/05/14","MSY","AIRPORT","LA","US","ASR",1,"24",""
"2026/05/14","MTC","AIRPORT","MI","US","ASR",2,"0730-2300",""
"2026/05/14","MUO","AIRPORT","ID","US","ASR",1,"24",""
"2026/05/14","MWH","AIRPORT","WA","US","ASR",1,"0600-2200",""
"2026/05/14","MYNN","AIRPORT","","BS","ASR",1,"24",""
