fromKey,toKey,magCourse,oppositeMagCourse,distanceNm,minEnrouteAltFt,minEnrouteAltOppositeFt,gpsMinEnrouteAltFt,minObstacleClearanceAltFt,minCrossingAltFt,minReceptionAltFt,maxAuthorizedAltFt,requiredNavPerformance,gapFlag,signalGapFlag,dogleg,artcc,stateCode,countryCode,icaoRegionCode,sourceCycle,sourceTable,sourceRowId
AWY_OCC:A517:C:10,AWY_OCC:A517:C:20,348.22,168.13,37.5,6000,,,,,,45000,,N,N,N,ZSU,PR,US,TJ,2026-05-14,AWY_SEG_ALT,98
AWY_OCC:A554:C:10,AWY_OCC:A554:C:20,189.99,9.97,49.28,,,,,,,,,N,N,N,ZNY,OA,US,K,2026-05-14,AWY_SEG_ALT,100
AWY_OCC:A554:C:20,AWY_OCC:A554:C:30,188.24,8.24,85.82,,,,,,,,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,101
AWY_OCC:A554:C:30,AWY_OCC:A554:C:40,233.89,53.56,32.42,,,,,,,,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,102
AWY_OCC:A554:C:40,AWY_OCC:A554:C:50,235.08,54.63,42.1,,,,,,,,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,103
AWY_OCC:A554:C:50,AWY_OCC:A554:C:60,230.07,49.95,29.42,,,,,,,,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,104
AWY_OCC:A554:C:60,AWY_OCC:A554:C:70,174.14,354.2,31.08,,,,,,,,,N,N,N,,,TC,,2026-05-14,AWY_SEG_ALT,105
AWY_OCC:A554:C:70,AWY_OCC:A554:C:80,173.23,353.3,33.04,,,,,,,,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,106
AWY_OCC:A555:C:10,AWY_OCC:A555:C:20,321.45,141.16,77.76,12000,,,,,,60000,,N,N,N,ZSU,OA,US,K,2026-05-14,AWY_SEG_ALT,108
AWY_OCC:A555:C:20,AWY_OCC:A555:C:30,321.19,140.99,52.23,6000,,,,,,60000,,N,N,N,ZSU,VI,US,TI,2026-05-14,AWY_SEG_ALT,109
AWY_OCC:A555:C:30,AWY_OCC:A555:C:40,292.43,112.16,51.9,6000,,,,,,60000,,N,N,N,ZSU,VI,US,,2026-05-14,AWY_SEG_ALT,110
AWY_OCC:A555:C:40,AWY_OCC:A555:C:50,292.16,112.07,17.53,6000,,,,,,60000,,N,N,N,ZSU,PR,US,TJ,2026-05-14,AWY_SEG_ALT,111
AWY_OCC:A555:C:50,AWY_OCC:A555:C:60,327.94,147.59,41.86,6000,,,,,,60000,,N,N,N,ZSU,PR,US,TJ,2026-05-14,AWY_SEG_ALT,112
AWY_OCC:A555:C:60,AWY_OCC:A555:C:70,317.91,137.04,84.37,2000,,,,,,60000,,N,N,N,ZSU,PR,US,,2026-05-14,AWY_SEG_ALT,113
AWY_OCC:A555:C:70,AWY_OCC:A555:C:80,314.96,134.57,80.22,2000,,,1300,,15000,60000,,N,N,N,ZSU,PR,US,TJ,2026-05-14,AWY_SEG_ALT,114
AWY_OCC:A555:C:80,AWY_OCC:A555:C:90,314.94,134.66,55.33,2000,,,1300,,,60000,,N,N,N,ZSU,PR,US,TJ,2026-05-14,AWY_SEG_ALT,115
AWY_OCC:A555:C:90,AWY_OCC:A555:C:100,314.47,134.44,7.23,2000,,,1300,,,60000,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,116
AWY_OCC:A555:C:100,AWY_OCC:A555:C:110,314.31,134.13,33.81,2000,,,,,,60000,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,117
AWY_OCC:A555:C:110,AWY_OCC:A555:C:120,314.16,134.01,27.62,2000,,,,,,60000,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,118
AWY_OCC:A555:C:120,AWY_OCC:A555:C:130,313.96,133.79,32.02,2000,,,1500,,,60000,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,119
