nodeKey,NAV_ID,NAV_TYPE,NAV_STATUS,NAME,CITY,STATE_CODE,COUNTRY_CODE,REGION_CODE,LAT_DECIMAL,LONG_DECIMAL,FREQ,OPER_HOURS,NAS_USE_FLAG,PUBLIC_USE_FLAG
NAVAID:CEW:VORTAC,CEW,VORTAC,OPERATIONAL RESTRICTED,CRESTVIEW,CRESTVIEW,FL,US,ASO,30.82617375,-86.67914327,115.9,24,Y,Y
NAVAID:CFB:VOR/DME,CFB,VOR/DME,OPERATIONAL RESTRICTED,BINGHAMTON,BINGHAMTON,NY,US,AEA,42.15749036,-76.13647161,112.2,24,Y,Y
NAVAID:CIM:VORTAC,CIM,VORTAC,OPERATIONAL RESTRICTED,CIMARRON,CIMARRON,NM,US,ASW,36.49139694,-104.87199972,116.4,24,Y,Y
NAVAID:CIP:DME,CIP,DME,OPERATIONAL IFR,CLARION,CLARION,PA,US,AEA,41.14629333,-79.45797386,113.85,24,Y,Y
NAVAID:CKB:VOR/DME,CKB,VOR/DME,OPERATIONAL RESTRICTED,CLARKSBURG,CLARKSBURG,WV,US,AEA,39.2532178,-80.26786161,112.6,24,Y,Y
NAVAID:CKW:VOR/DME,CKW,VOR/DME,OPERATIONAL RESTRICTED,CHEROKEE,CHEROKEE,WY,US,ANM,41.75570944,-107.58198222,115,24,Y,Y
NAVAID:CLL:VORTAC,CLL,VORTAC,OPERATIONAL RESTRICTED,COLLEGE STATION,COLLEGE STATION,TX,US,ASW,30.60500172,-96.42068075,113.3,24,Y,Y
NAVAID:CMA:VOR/DME,CMA,VOR/DME,OPERATIONAL RESTRICTED,CAMARILLO,CAMARILLO,CA,US,AWP,34.21252102,-119.09435519,116.85,24,Y,Y
NAVAID:CME:VORTAC,CME,VORTAC,OPERATIONAL RESTRICTED,CHISUM,ROSWELL,NM,US,ASW,33.33747477,-104.62124491,116.1,24,Y,Y
NAVAID:CMK:VOR/DME,CMK,VOR/DME,OPERATIONAL RESTRICTED,CARMEL,CARMEL,NY,US,AEA,41.28008941,-73.58132641,116.6,24,Y,Y
NAVAID:CNX:VORTAC,CNX,VORTAC,OPERATIONAL RESTRICTED,CORONA,CORONA,NM,US,ASW,34.36701527,-105.67800472,115.5,24,Y,Y
NAVAID:COL:VOR/DME,COL,VOR/DME,OPERATIONAL RESTRICTED,COLTS NECK,COLTS NECK,NJ,US,AEA,40.31162952,-74.15972847,115.4,24,Y,Y
NAVAID:CON:VOR/DME,CON,VOR/DME,OPERATIONAL RESTRICTED,CONCORD,CONCORD,NH,US,ANE,43.219787,-71.575453,112.9,24,Y,Y
