routeKey,ORIGIN_ID,DSTN_ID,PFR_TYPE_CODE,ROUTE_NO,ALT_DESCRIP,AIRCRAFT,HOURS,ROUTE_DIR_DESCRIP,DESIGNATOR,ROUTE_STRING,semanticStatus,searchProjectionStatus
ACK:HPN:TEC:1,ACK,HPN,TEC,1,10000,,,,,ACK V146 PVD V167 HFD T303 MAD EEGOR ALIXX RYMES,valid_semantic_route,projected
ACK:HPN:TEC:2,ACK,HPN,TEC,2,10000,,,,,MVY SEY T634 CREAM EEGOR ALIXX RYMES,valid_semantic_route,projected
ACK:IAD:H:1,ACK,IAD,H,1,,TURBOJETS ONLY,,,,LFV CELTS BAF HYPER9,valid_semantic_route,projected
ACK:ISP:TEC:1,ACK,ISP,TEC,1,10000,JETS AND PROPS GREATER THAN 250 KTS IAS,,,,ACK T216 SEY ORCHA CCC,valid_semantic_route,projected
ACK:ISP:TEC:2,ACK,ISP,TEC,2,10000,SINGLE ENGINE ONLY,,,,ACK V146 MVY V374 GON CCC,valid_semantic_route,projected
ACK:JFK:H:3,ACK,JFK,H,3,AOB FL220,TURBOJETS ONLY,,,,MVY JAWZZ Q220 SEY PARCH4,valid_semantic_route,projected
ACK:JFK:TEC:1,ACK,JFK,TEC,1,10000,JETS AND PROPS GREATER THAN 250 KTS IAS,,,,ACK T216 SEY ORCHA CCC V46 DPK,valid_semantic_route,projected
ACK:JFK:TEC:2,ACK,JFK,TEC,2,10000,,,,,ACK V146 MVY V374 GON CCC V46 DPK,valid_semantic_route,projected
ACK:LEB:TEC:1,ACK,LEB,TEC,1,10000,,,,,ACK V146 PVD T393 LBNON,valid_semantic_route,projected
ACK:LGA:L:2,ACK,LGA,L,2,120-160 INCL.,"RNAV1-DME/DME/IRU OR GPS, 250 KTS OR GREATER",,,,MVY V146 PUT NELIE VADDR1,valid_semantic_route,projected
ACK:LGA:TEC:1,ACK,LGA,TEC,1,10000,,,,,ACK V146 PVD V167 HFD T303 MAD EEGOR PRENO,valid_semantic_route,projected
ACK:MDW:H:1,ACK,MDW,H,1,,RNAV 1-DME/DME/IRU OR GPS,,,,LFV CELTS MANCH CAM Q822 GONZZ Q29 DORET DJB ASHEN PANGG7,valid_semantic_route,projected
ACK:MHT:TEC:1,ACK,MHT,TEC,1,10000,,,,,FREDO BOS MANCH,valid_semantic_route,projected
ACK:MMU:H:1,ACK,MMU,H,1,AOB FL220,,,,,MVY V146 BAF MOBBS T295 SAGES V489 COATE,valid_semantic_route,projected
