nodeKey,FIX_ID,ICAO_REGION_CODE,STATE_CODE,COUNTRY_CODE,LAT_DECIMAL,LONG_DECIMAL,FIX_USE_CODE,ARTCC_ID_HIGH,ARTCC_ID_LOW,COMPULSORY,CHARTS
FIX:CAMRN,CAMRN,K6,NJ,US,40.01730277,-73.86105833,RP,,ZNY,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,IAP,SID,STAR"
FIX:CANAN,CANAN,K6,NY,US,42.49283888,-73.44668611,RP,ZBW,ZBW,,"CONTROLLER LOW,ENROUTE LOW,IAP,SID,STAR"
FIX:CANDR,CANDR,K6,NJ,US,40.97098611,-74.95982777,RP,ZNY,ZNY,,"ENROUTE HIGH,SID"
FIX:CANOG,CANOG,K2,CA,US,34.22340277,-118.59410277,RP,ZLA,ZLA,,"CONTROLLER LOW,ENROUTE LOW,IAP"
FIX:CANTR,CANTR,K7,SC,US,33.37694444,-81.12328888,WP,ZJX,ZJX,,"CONTROLLER,ENROUTE HIGH,ENROUTE LOW"
FIX:CAPKO,CAPKO,K6,MD,US,38.7057,-76.74515,WP,ZDC,ZDC,,"CONTROLLER LOW,ENROUTE LOW,IAP,MILITARY STAR,STAR"
FIX:CAPPS,CAPPS,K7,FL,US,30.54533611,-83.90498055,WP,ZJX,ZJX,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID"
FIX:CARDI,CARDI,K2,CA,US,33.13656666,-117.42193055,RP,ZLA,ZLA,,"CONTROLLER,ENROUTE HIGH,ENROUTE LOW,SID,STAR"
FIX:CARIN,CARIN,K4,AR,US,34.45416111,-90.88695833,WP,ZME,ZME,,"CONTROLLER HIGH,ENROUTE HIGH"
FIX:CARLD,CARLD,K6,CT,US,41.369,-72.53613888,RP,,ZBW,,ENROUTE LOW
FIX:CARML,CARML,K6,VA,US,37.36181666,-77.96900277,RP,ZDC,ZDC,,"CONTROLLER LOW,ENROUTE LOW,SID"
FIX:CARNU,CARNU,K7,FL,US,25.13836944,-81.32558888,RP,ZMA,ZMA,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,IAP,STAR"
FIX:CAROL,CAROL,K5,IL,US,38.83921388,-88.97117222,RP,ZKC,ZKC,,"CONTROLLER HIGH,ENROUTE HIGH"
FIX:CARPX,CARPX,K,OA,US,30.40799444,-77.749975,WP,ZJX,ZJX,LOW/HIGH,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,WESTERN ATLANTIC ROUTE"
FIX:CARYN,CARYN,K5,IL,US,41.24972222,-87.8925,WP,ZAU,ZAU,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID"
FIX:CASHN,CASHN,K5,IL,US,39.95888888,-90.25944444,WP,ZKC,ZKC,,"ENROUTE HIGH,STAR"
FIX:CASIO,CASIO,K5,OH,US,40.92034444,-82.43071666,RP,ZOB,ZOB,,"ENROUTE HIGH,ENROUTE LOW"
FIX:CASSO,CASSO,K3,KS,US,38.19878888,-96.96531111,RP,ZKC,ZKC,,"AREA,ENROUTE LOW,MILITARY IAP"
FIX:CATAR,CATAR,K7,NC,US,35.83540277,-79.30018055,WP,ZDC,ZDC,,SID
FIX:CATHE,CATHE,K2,CA,US,37.09633888,-121.31585277,RP,ZOA,ZOA,,"CONTROLLER LOW,ENROUTE LOW,IAP"
FIX:CATLN,CATLN,K7,AL,US,31.30723055,-87.57993055,WP,ZHU,ZHU,,"CONTROLLER,ENROUTE HIGH"
FIX:CATTY,CATTY,K2,CA,US,37.64923333,-121.68897777,WP,ZOA,ZOA,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW"
FIX:CAVVS,CAVVS,K5,OH,US,40.6274,-82.29866388,WP,ZOB,ZOB,,SID
FIX:CCITY,CCITY,K7,FL,US,29.57247777,-83.0313,WP,ZJX,ZJX,,"CONTROLLER LOW,ENROUTE LOW,SECTIONAL"
FIX:CDOGG,CDOGG,K6,NH,US,43.46409444,-71.14105555,WP,ZBW,ZBW,,"CONTROLLER,STAR"
FIX:CEASE,CEASE,K7,TN,US,36.06527777,-85.85777777,WP,ZME,ZME,,"CONTROLLER,ENROUTE HIGH,SID,SPECIAL DP"
FIX:CEDES,CEDES,K2,CA,US,37.55082222,-121.62458611,RP,ZOA,ZOA,,"CONTROLLER,ENROUTE LOW,STAR"
FIX:CEDOR,CEDOR,K6,NY,US,42.74615555,-74.30837222,RP,ZBW,ZBW,,"CONTROLLER LOW,ENROUTE LOW,IAP,SID"
FIX:CEELY,CEELY,K7,SC,US,34.2152,-79.46583611,WP,ZJX,ZJX,,"CONTROLLER HIGH,ENROUTE HIGH"
FIX:CELTS,CELTS,K6,MA,US,42.213075,-70.81458333,RP,ZBW,ZBW,,"CONTROLLER LOW,ENROUTE LOW,IAP"
FIX:CEROL,CEROL,K6,VA,US,38.31642222,-78.79410277,RP,ZDC,ZDC,,"CONTROLLER LOW,ENROUTE LOW,IAP"
FIX:CESAN,CESAN,K4,TX,US,30.53876666,-94.20188055,WP,ZHU,ZHU,,"CONTROLLER,ENROUTE LOW,STAR"
FIX:CEWDA,CEWDA,K5,WI,US,44.80888888,-88.55,WP,ZMP,ZMP,,"CONTROLLER,ENROUTE HIGH,STAR"
FIX:CEXAN,CEXAN,K7,FL,US,26.93747777,-82.07894444,RP,ZMA,ZMA,,ENROUTE LOW
FIX:CHARO,CHARO,K7,FL,US,26.96075555,-82.09635555,RP,ZMA,ZMA,,"CONTROLLER LOW,ENROUTE LOW,IAP"
FIX:CHATY,CHATY,K2,CA,US,34.24241388,-118.583375,RP,ZLA,ZLA,,"CONTROLLER,ENROUTE LOW,SID,SPECIAL DP,SPECIAL IAP"
FIX:CHAZR,CHAZR,K6,DE,US,39.49115,-75.74114722,WP,ZDC,ZDC,,"AREA,CONTROLLER LOW,ENROUTE LOW,SECTIONAL,SID"
FIX:CHBLI,CHBLI,K2,CA,US,38.56397777,-122.53876388,WP,ZOA,ZOA,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR"
FIX:CHCLL,CHCLL,K5,KY,US,38.48046666,-84.97849444,WP,ZID,ZID,,"CONTROLLER LOW,ENROUTE LOW,SID"
FIX:CHECR,CHECR,K7,SC,US,32.71823888,-80.83048055,WP,ZJX,ZJX,,"CONTROLLER HIGH,ENROUTE HIGH,STAR"
FIX:CHEFS,CHEFS,K7,FL,US,27.370825,-80.76082222,WP,ZMA,ZMA,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID,STAR"
FIX:CHEHA,CHEHA,K7,AL,US,33.37499722,-86.19871944,WP,ZTL,ZTL,,"CONTROLLER,ENROUTE HIGH,ENROUTE LOW,SID"
FIX:CHIEZ,CHIEZ,K7,NC,US,34.51831388,-77.54048333,WP,ZDC,ZDC,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID"
FIX:CHISM,CHISM,K1,OR,US,45.06217222,-122.15246388,WP,ZSE,ZSE,,SID
FIX:CHLSE,CHLSE,K6,PA,US,40.6767,-76.24994166,RP,ZNY,ZNY,,"CONTROLLER LOW,ENROUTE LOW"
FIX:CHMPN,CHMPN,K5,IL,US,42.429875,-89.05880277,WP,ZAU,ZAU,,"CONTROLLER,ENROUTE LOW,STAR"
FIX:CHOPS,CHOPS,K6,MD,US,38.76161388,-75.96005,WP,ZDC,ZDC,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,IAP,SECTIONAL,STAR"
FIX:CHOPZ,CHOPZ,K7,GA,US,33.856725,-83.68839166,WP,ZTL,ZTL,,"CONTROLLER,ENROUTE HIGH,SID"
FIX:CHRGE,CHRGE,K,OG,US,27.81235555,-84.83220277,WP,ZMA,ZMA,,"CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR"
