fromKey,toKey,rawValue,normalizedValue,resolveMethod,resolveStatus,confidence,sourceCycle,sourceTable,sourceRowId
AWY_OCC:T346:H:100,POINT:FIX:KEAHO:PH,KEAHO,KEAHO,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7721
AWY_OCC:T346:H:110,POINT:FIX:MAKEN:PH,MAKEN,MAKEN,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7722
AWY_OCC:T346:H:120,POINT:FIX:NOWRA:PH,NOWRA,NOWRA,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7723
AWY_OCC:T346:H:130,POINT:FIX:PLACK:PH,PLACK,PLACK,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7724
AWY_OCC:T347:C:10,POINT:FIX:SHANC:K7,SHANC,SHANC,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7725
AWY_OCC:T347:C:20,POINT:FIX:BOBOE:K7,BOBOE,BOBOE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7726
AWY_OCC:T347:C:30,POINT:FIX:DURRY:K7,DURRY,DURRY,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7727
AWY_OCC:T347:C:40,POINT:FIX:CLEFF:K7,CLEFF,CLEFF,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7728
AWY_OCC:T347:C:50,POINT:FIX:BAIRN:K7,BAIRN,BAIRN,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7729
AWY_OCC:T347:C:60,POINT:FIX:ODDEL:K7,ODDEL,ODDEL,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7730
AWY_OCC:T347:C:70,POINT:FIX:SABOT:K7,SABOT,SABOT,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7731
AWY_OCC:T347:C:80,POINT:FIX:CROPY:K7,CROPY,CROPY,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7732
AWY_OCC:T347:C:90,POINT:FIX:KIZER:K7,KIZER,KIZER,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7733
