routeKey,ORIGIN_ID,DSTN_ID,PFR_TYPE_CODE,ROUTE_NO,rejectReason
EBONY:GSP:NAR:1,EBONY,GSP,NAR,1,origin_airport_not_found
EBONY:HOIST:NAR:1,EBONY,HOIST,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:HPN:NAR:1,EBONY,HPN,NAR,1,origin_airport_not_found
EBONY:IAD:NAR:1,EBONY,IAD,NAR,1,origin_airport_not_found
EBONY:IAH:NAR:1,EBONY,IAH,NAR,1,origin_airport_not_found
EBONY:IBERG:NAR:1,EBONY,IBERG,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:IRLOK:NAR:1,EBONY,IRLOK,NAR,1,origin_airport_not_found|destination_airport_not_found
EBONY:JANJO:NAR:1,EBONY,JANJO,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:JAROM:NAR:1,EBONY,JAROM,NAR,1,origin_airport_not_found|destination_airport_not_found
EBONY:JFK:NAR:1,EBONY,JFK,NAR,1,origin_airport_not_found
EBONY:JOOPY:NAR:1,EBONY,JOOPY,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:KODIK:NAR:1,EBONY,KODIK,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:LOMSI:NAR:1,EBONY,LOMSI,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:MCO:NAR:1,EBONY,MCO,NAR,1,origin_airport_not_found
EBONY:MELDI:NAR:1,EBONY,MELDI,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:MEM:NAR:1,EBONY,MEM,NAR,1,origin_airport_not_found
EBONY:MIA:NAR:1,EBONY,MIA,NAR,1,origin_airport_not_found
EBONY:MLB:NAR:1,EBONY,MLB,NAR,1,origin_airport_not_found
EBONY:MSY:NAR:1,EBONY,MSY,NAR,1,origin_airport_not_found
EBONY:MUSAK:NAR:1,EBONY,MUSAK,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EBONY:NEEKO:NAR:1,EBONY,NEEKO,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
