routeKey,ORIGIN_ID,DSTN_ID,PFR_TYPE_CODE,ROUTE_NO,ALT_DESCRIP,AIRCRAFT,HOURS,ROUTE_DIR_DESCRIP,DESIGNATOR,ROUTE_STRING
DCA:MDW:H:1,DCA,MDW,H,1,,TURBOJETS,,,,WYNGS5 RAMAY Q72 HACKS J149 FWA PANGG7
DCA:MEM:H:1,DCA,MEM,H,1,,TURBOJETS,1100-0300,,,REBLL5 OTTTO Q80 FAREV RAMRD BLUZZ5
DCA:MGM:H:1,DCA,MGM,H,1,,,,,,SCRAM6 GLANC COLZI Q52 CHOPZ MGMRY
DCA:MHT:H:1,DCA,MHT,H,1,,"JETS ONLY, RNAV 1 - DME/DME/IRU OR GPS",,,,SOOKI6 SWANN BROSS Q419 RBV Q22 LLUND SMYTH ROZZE2
DCA:MIA:H:2,DCA,MIA,H,2,,TURBOJETS,,,,AMEEE1 SCOOB PAACK Q97 DEBRL CSTAL3
DCA:MIA:H:4,DCA,MIA,H,4,,"JETS ONLY, EXCLUDES EA50, E50P, SF50, C510, C525",,WATER,,AMEEE1 SCOOB EARZZ SKARP Y313 HOAGG BNFSH3
DCA:MKE:H:1,DCA,MKE,H,1,,TURBOJETS,,,,HORTO4 BUFFR Q178 DJB J34 CRL PEGEE GETCH LYSTR SUDDS
DCA:MOB:H:1,DCA,MOB,H,1,,,,,,SCRAM6 GLANC COLZI Q52 CHOPZ MGMRY SJI
DCA:MSN:H:1,DCA,MSN,H,1,,,,,,HORTO4 BUFFR Q178 DJB J34 BAE
DCA:MSP:H:1,DCA,MSP,H,1,,TURBOJETS,,,,HORTO4 BUFFR Q178 DJB J34 VIO KAMMA KKILR4
DCA:MSY:H:1,DCA,MSY,H,1,,JETS ONLY: RNAV 1 - DME/DME/IRU OR GPS,,,,CLTCH3 MAULS Q40 NIOLA MERDN TRSSH2
DCA:MTP:L:1,DCA,MTP,L,1,,,,,,DOCTR5 AGARD WNSTN T320 ORCHA
DCA:MVY:H:3,DCA,MVY,H,3,,"JETS ONLY, RNAV 1 - DME/DME/IRU OR GPS",,,,SOOKI6 SWANN BROSS Q419 RBV Q430 FLAPE
DCA:MVY:L:1,DCA,MVY,L,1,90-170,,1100-0300,,,PALEO AGARD T287 WNSTN T320 ORCHA T705 FLAPE
DCA:MVY:L:2,DCA,MVY,L,2,5000,SINGLE ENGINE ONLY,,,,PALEO V312 GOLDA T358 ENO T224 JFK T315 EEGOR MAD CARLD V188 GON V374 MVY
DCA:MVY:L:3,DCA,MVY,L,3,7000,TWIN ENGINE,,,,PALEO V312 GOLDA T358 AVALO T320 ORCHA T705 FLAPE
DCA:MYR:H:1,DCA,MYR,H,1,,,,,,AMEEE1 SCOOB PAACK WYLMS
DCA:OGS:H:1,DCA,OGS,H,1,,,,,,HORTO4 JERES Q227 STUBN SYR ART
DCA:OKC:H:1,DCA,OKC,H,1,,,,,,REBLL5 OTTTO Q68 HVQ J78 FAM SGF DRLER MURAH3
DCA:OMA:H:1,DCA,OMA,H,1,,,,,,WYNGS5 RAMAY Q72 HACKS J149 EMPTY J80 SPI IRK LMN MARWI4
DCA:OPF:H:1,DCA,OPF,H,1,,,,,,AMEEE1 SCOOB PAACK Q97 PRMUS CUUDA3
DCA:OPF:H:2,DCA,OPF,H,2,,,,,,AMEEE1 SCOOB EARZZ CHIEZ Y291 MAJIK CUUDA3
DCA:ORD:H:1,DCA,ORD,H,1,,TURBOJETS,,,,WYNGS5 RAMAY Q72 HACKS J149 ROD WATSN4
DCA:ORF:L:1,DCA,ORF,L,1,70-170,JETS ONLY RNAV 1 - DME/DME/IRU OR GPS,,,,AMEEE1 COLIN OUTLA1
DCA:ORF:L:2,DCA,ORF,L,2,70-170,RNAV 1 - DME/DME/IRU OR GPS,,,,WHINO COLIN OUTLA1
DCA:ORL:H:1,DCA,ORL,H,1,,,,,,AMEEE1 SCOOB MOXXY Q85 LPERD TTHOR3
DCA:OSU:H:1,DCA,OSU,H,1,,,,,,WYNGS5 RAMAY Q72 HACKS SCRLT2
DCA:OXC:H:1,DCA,OXC,H,1,,,,,,DOCTR5 AGARD DONIL MAEVE SARDI1
DCA:PBI:H:1,DCA,PBI,H,1,,TURBOJETS,,,,AMEEE1 SCOOB PAACK Q97 KENLL CPTAN3
DCA:PBI:H:3,DCA,PBI,H,3,,JETS ONLY,,WATER,,AMEEE1 SCOOB EARZZ Q131 WAALT Y289 DULEE CLMNT2
DCA:PDK:H:1,DCA,PDK,H,1,,,,,,CLTCH3 FLASK VIEWS DEHAN3
DCA:PDX:H:1,DCA,PDX,H,1,,JETS: RNAV 1 - DME/DME/IRU OR GPS,,,,HORTO4 BUFFR Q178 DJB J34 BIL PDT JKNOX HHOOD6
DCA:PHL:L:1,DCA,PHL,L,1,110,JETS,,,,MITCH SWANN T356 ODESA DQO
DCA:PHL:L:2,DCA,PHL,L,2,,PROPS,1100-0300,,,PALEO V170 DQO
DCA:PHL:L:3,DCA,PHL,L,3,,TURBOJETS,1100-0400,,,DOCTR5 DOCTR DQO
DCA:PHL:TEC:1,DCA,PHL,TEC,1,7000,,,,,MITCH V123 SWANN T356 ODESA DQO
DCA:PHX:H:1,DCA,PHX,H,1,,,,,,REBLL5 OTTTO Q176 TOTOE FTI BUKKO ZUN EAGUL6
DCA:PIT:H:1,DCA,PIT,H,1,,TURBOJETS,,,,HORTO4 BUFFR Q178 LEJOY DEMME5
DCA:PNS:H:1,DCA,PNS,H,1,,"JETS ONLY , RNAV 1 - DME/DME/IRU OR GPS",,,,SCRAM6 GLANC COLZI Q52 CHOPZ MGMRY CEW PENSI
DCA:POU:H:1,DCA,POU,H,1,,"JETS ONLY, RNAV 1 - DME/DME/IRU OR GPS",,,,SOOKI6 SWANN BROSS Q419 DPK TRESA1
DCA:POU:L:1,DCA,POU,L,1,,GPS OR DME/DME OR IRU EQUIPPED,1100-0300,,,KRANT V265 EMI V457 LRP T295 PRNCE FILPS
DCA:PVD:H:1,DCA,PVD,H,1,,"JETS ONLY, RNAV 1 - DME/DME/IRU OR GPS",,,,SOOKI6 SWANN BROSS Q419 RBV Q430 CREEL ORCHA JORDN JORDN2
DCA:PVD:L:1,DCA,PVD,L,1,90-170,,1100-0300,,,PALEO AGARD T287 WNSTN T320 ORCHA JORDN MINNK
DCA:PVD:L:3,DCA,PVD,L,3,90-170,TURBOJETS. TURBOPROPS,1100-0300,,,PALEO AGARD T287 WNSTN T320 BEADS HTO JORDN2
DCA:PWM:H:3,DCA,PWM,H,3,,"JETS ONLY, RNAV 1 - DME/DME/IRU OR GPS",,,,SOOKI6 SWANN BROSS Q419 RBV Q22 LLUND BDR SCOGS3
DCA:RDU:H:1,DCA,RDU,H,1,AOB FL220,"JETS ONLY, RNAV 1 - DME/DME/IRU OR GPS",,,,AMEEE1 COLIN TAPPA HOUKY TAQLE3
DCA:RDU:H:2,DCA,RDU,H,2,AOB FL260,,,,,JDUBB4 MELTN ALDAN4
DCA:RIC:TEC:3,DCA,RIC,TEC,3,,DME/DME/IRU OR GPS,,,,OJAAY ZUNAR
DCA:RME:L:1,DCA,RME,L,1,,,1100-0300,,,KRANT V265 EMI V457 LRP T449 CFB LAMMS
DCA:ROC:H:1,DCA,ROC,H,1,,TURBOJETS,1100-0300,,,HORTO4 JERES Q227 STUBN GIBBE
DCA:RSW:H:1,DCA,RSW,H,1,,,,,,JDUBB4 RRSIN GSO Q75 SLOJO Q103 CYNTA SHFTY6
DCA:SAN:H:1,DCA,SAN,H,1,,,,,,REBLL5 OTTTO Q176 CIM J96 PKE LUCKI1
DCA:SAT:H:1,DCA,SAT,H,1,,,,,,CLTCH3 MAULS Q40 AEX CAAGE QERVO3
DCA:SAV:H:1,DCA,SAV,H,1,,,,,,AMEEE1 SCOOB GUILD Q409 SESUE SOOOP
DCA:SDF:H:1,DCA,SDF,H,1,,,,,,REBLL5 OTTTO Q68 YOCKY LEDDL1
DCA:SEA:H:1,DCA,SEA,H,1,,,,,,HORTO4 BUFFR Q178 DJB J34 RWF J90 MLS LWT MLP GLASR3
DCA:SFB:H:1,DCA,SFB,H,1,,,,,,AMEEE1 SCOOB MOXXY Q85 LPERD TTHOR3
DCA:SFO:H:1,DCA,SFO,H,1,,,,,,REBLL5 OTTTO Q176 STL J110 GCK J28 MLF J80 OAL INYOE DYAMD5
