edgeKey,fromNodeKey,toNodeKey,fromType,toType,directionType,sourceRouteCount,sourceRouteKeys
AIRPORT:ANC->FIX:NOEND,AIRPORT:ANC,FIX:NOEND,Airport,Fix,original,1,ANC:SEA:H:1
AIRPORT:APF->FIX:CHARO,AIRPORT:APF,FIX:CHARO,Airport,Fix,original,1,APF:TPA:L:2
AIRPORT:APF->FIX:CSHEL,AIRPORT:APF,FIX:CSHEL,Airport,Fix,original,2,APF:JAX:H:2|APF:MCO:H:1
AIRPORT:APF->FIX:DYLYN,AIRPORT:APF,FIX:DYLYN,Airport,Fix,original,1,APF:FPR:L:1
AIRPORT:APF->FIX:FERAL,AIRPORT:APF,FIX:FERAL,Airport,Fix,original,2,APF:TPA:H:3|APF:TPA:L:1
AIRPORT:APF->FIX:FORTL,AIRPORT:APF,FIX:FORTL,Airport,Fix,original,1,APF:FLL:L:1
AIRPORT:APF->FIX:FROGZ,AIRPORT:APF,FIX:FROGZ,Airport,Fix,original,2,APF:MIA:H:2|APF:MIA:L:3
AIRPORT:APF->FIX:LBELL,AIRPORT:APF,FIX:LBELL,Airport,Fix,original,1,APF:VRB:L:1
AIRPORT:APF->FIX:LUCYS,AIRPORT:APF,FIX:LUCYS,Airport,Fix,original,1,APF:PBI:L:1
AIRPORT:APF->FIX:MOANS,AIRPORT:APF,FIX:MOANS,Airport,Fix,original,4,APF:DAB:L:1|APF:JAX:L:1|APF:OCF:L:2|APF:ORL:L:1
AIRPORT:APF->FIX:PALMZ,AIRPORT:APF,FIX:PALMZ,Airport,Fix,original,1,APF:MIA:L:1
AIRPORT:APF->FIX:TEEKY,AIRPORT:APF,FIX:TEEKY,Airport,Fix,original,1,APF:FLL:L:2
AIRPORT:APF->FIX:TOLLZ,AIRPORT:APF,FIX:TOLLZ,Airport,Fix,original,3,APF:HPN:H:1|APF:MMU:H:1|APF:TEB:H:1
AIRPORT:APF->FIX:YELLZ,AIRPORT:APF,FIX:YELLZ,Airport,Fix,original,2,APF:GNV:L:1|APF:OCF:L:1
