airwayId,airwayLocation,airwayStringRaw,airwayStringTokens,orderedSegValues,tokenCount,pointRowCount,exactTokenMatch,normalizedTokenMatch,firstMismatchIndex,mismatchReason
AR19,C,MAJIK FLAMU RAZZL AAARG JRDAN SAGGY CHIEZ,MAJIK|FLAMU|RAZZL|AAARG|JRDAN|SAGGY|CHIEZ,MAJIK|FLAMU|RAZZL|AAARG|JRDAN|SAGGY|CHIEZ,7,7,true,true,,exact_match
AR22,C,HOAGG MEIGS DUUNK SPOOF IDOLS SKARP,HOAGG|MEIGS|DUUNK|SPOOF|IDOLS|SKARP,HOAGG|MEIGS|DUUNK|SPOOF|IDOLS|SKARP,6,6,true,true,,exact_match
AR23,C,URSUS ZFP CANIT OZENA,URSUS|ZFP|CANIT|OZENA,URSUS|ZFP|CANIT|OZENA,4,4,true,true,,exact_match
AR24,C,URSUS ZFP BRATZ OHLAA COACH TYCAL JAZZI,URSUS|ZFP|BRATZ|OHLAA|COACH|TYCAL|JAZZI,URSUS|ZFP|BRATZ|OHLAA|COACH|TYCAL|JAZZI,7,7,true,true,,exact_match
AR3,C,ZQA KURAY MELON HANKX BARTS ANGLL NUCAR CASPR SCOBY CARPX ADUCI JAZZI DIZNY FRRAM JRDAN KEEKS OSTNN GARIC,ZQA|KURAY|MELON|HANKX|BARTS|ANGLL|NUCAR|CASPR|SCOBY|CARPX|ADUCI|JAZZI|DIZNY|FRRAM|JRDAN|KEEKS|OSTNN|GARIC,ZQA|KURAY|MELON|HANKX|BARTS|ANGLL|NUCAR|CASPR|SCOBY|CARPX|ADUCI|JAZZI|DIZNY|FRRAM|JRDAN|KEEKS|OSTNN|GARIC,18,18,true,true,,exact_match
AR5,C,KOOKK FEMON JAWSS BAHAA SNABS OZENA OHLAA CARPX TROUT,KOOKK|FEMON|JAWSS|BAHAA|SNABS|OZENA|OHLAA|CARPX|TROUT,KOOKK|FEMON|JAWSS|BAHAA|SNABS|OZENA|OHLAA|CARPX|TROUT,9,9,true,true,,exact_match
AR6,C,ORL BITHO MALET APOLO PETEE HIBAC HALSS HOBEE,ORL|BITHO|MALET|APOLO|PETEE|HIBAC|HALSS|HOBEE,ORL|BITHO|MALET|APOLO|PETEE|HIBAC|HALSS|HOBEE,8,8,true,true,,exact_match
AR8,C,ECG OHPEA TOMMZ OXANA,ECG|OHPEA|TOMMZ|OXANA,ECG|OHPEA|TOMMZ|OXANA,4,4,true,true,,exact_match
AR9,C,ORF BAATT NAGGI FUMES MEYRA ATLIC OUTES ETMEY DELPP CUMBY CROAK ZIBUT,ORF|BAATT|NAGGI|FUMES|MEYRA|ATLIC|OUTES|ETMEY|DELPP|CUMBY|CROAK|ZIBUT,ORF|BAATT|NAGGI|FUMES|MEYRA|ATLIC|OUTES|ETMEY|DELPP|CUMBY|CROAK|ZIBUT,12,12,true,true,,exact_match
B200,C,BISOX ANJJE CARLS BENTS AMATT TONYS FICKY,BISOX|ANJJE|CARLS|BENTS|AMATT|TONYS|FICKY,BISOX|ANJJE|CARLS|BENTS|AMATT|TONYS|FICKY,7,7,true,true,,exact_match
B233,A,GAL SANGL KUTAL,GAL|SANGL|KUTAL,GAL|SANGL|KUTAL,3,3,true,true,,exact_match
B24,C,SIE FISSH DASHA CORNE JETER WICKE HAPVY DIAAN BOJAN AGUNE LYNUS AZEZU WEBBB,SIE|FISSH|DASHA|CORNE|JETER|WICKE|HAPVY|DIAAN|BOJAN|AGUNE|LYNUS|AZEZU|WEBBB,SIE|FISSH|DASHA|CORNE|JETER|WICKE|HAPVY|DIAAN|BOJAN|AGUNE|LYNUS|AZEZU|WEBBB,13,13,true,true,,exact_match
B240,A,ERNIK IDROD AVUBA ENM,ERNIK|IDROD|AVUBA|ENM,ERNIK|IDROD|AVUBA|ENM,4,4,true,true,,exact_match
B241,A,ENM ENEGU ROCET RUSOR,ENM|ENEGU|ROCET|RUSOR,ENM|ENEGU|ROCET|RUSOR,4,4,true,true,,exact_match
B244,A,FRENK OTZ,FRENK|OTZ,FRENK|OTZ,2,2,true,true,,exact_match
B326,C,CHOKO NIXEE NUTTO NAMIE NIXAM,CHOKO|NIXEE|NUTTO|NAMIE|NIXAM,CHOKO|NIXEE|NUTTO|NAMIE|NIXAM,5,5,true,true,,exact_match
B452,C,ATIGO KERRY KRONK KRASY DOHRT,ATIGO|KERRY|KRONK|KRASY|DOHRT,ATIGO|KERRY|KRONK|KRASY|DOHRT,5,5,true,true,,exact_match
B453,C,BOXER KYLLE KANUA VIDKU TAMRU SIMLU KURTT PETPA NAKBI METPA KATCH MDO,BOXER|KYLLE|KANUA|VIDKU|TAMRU|SIMLU|KURTT|PETPA|NAKBI|METPA|KATCH|MDO,BOXER|KYLLE|KANUA|VIDKU|TAMRU|SIMLU|KURTT|PETPA|NAKBI|METPA|KATCH|MDO,12,12,true,true,,exact_match
B454,C,UPNAR COMIR BORIC ARENS TONYS,UPNAR|COMIR|BORIC|ARENS|TONYS,UPNAR|COMIR|BORIC|ARENS|TONYS,5,5,true,true,,exact_match
B474,C,BARKR ADOWA ARVII ADISN ARTOP,BARKR|ADOWA|ARVII|ADISN|ARTOP,BARKR|ADOWA|ARVII|ADISN|ARTOP,5,5,true,true,,exact_match
B503,C,ENAMO RYDEL HODGY ZQA,ENAMO|RYDEL|HODGY|ZQA,ENAMO|RYDEL|HODGY|ZQA,4,4,true,true,,exact_match
B520,C,ANTEX BQN DDP MALIE STT PASIC LARPP JUICE PJM ELOPO ANU,ANTEX|BQN|DDP|MALIE|STT|PASIC|LARPP|JUICE|PJM|ELOPO|ANU,ANTEX|BQN|DDP|MALIE|STT|PASIC|LARPP|JUICE|PJM|ELOPO|ANU,11,11,true,true,,exact_match
B577,C,PASSA QUIGG SANTA CANOL BELAN AHNDO LENNA FICKY,PASSA|QUIGG|SANTA|CANOL|BELAN|AHNDO|LENNA|FICKY,PASSA|QUIGG|SANTA|CANOL|BELAN|AHNDO|LENNA|FICKY,8,8,true,true,,exact_match
B580,C,BARKR BOYES BESTY BAYUS BOILS,BARKR|BOYES|BESTY|BAYUS|BOILS,BARKR|BOYES|BESTY|BAYUS|BOILS,5,5,true,true,,exact_match
B581,C,WOOBY WACOS WOSLU WAYSE WINTY CAMOS BALKS AFONE WEDES FICKY,WOOBY|WACOS|WOSLU|WAYSE|WINTY|CAMOS|BALKS|AFONE|WEDES|FICKY,WOOBY|WACOS|WOSLU|WAYSE|WINTY|CAMOS|BALKS|AFONE|WEDES|FICKY,10,10,true,true,,exact_match
B586,C,OMLET TOESS WINZR UNZ ASADE KAPOK HUTEL NUTTI PIKOK,OMLET|TOESS|WINZR|UNZ|ASADE|KAPOK|HUTEL|NUTTI|PIKOK,OMLET|TOESS|WINZR|UNZ|ASADE|KAPOK|HUTEL|NUTTI|PIKOK,9,9,true,true,,exact_match
B589,C,MAJ ELNUR,MAJ|ELNUR,MAJ|ELNUR,2,2,true,true,,exact_match
B595,C,KOA TARDE TAKIE TARPP TENOR,KOA|TARDE|TAKIE|TARPP|TENOR,KOA|TARDE|TAKIE|TARPP|TENOR,5,5,true,true,,exact_match
B596,C,DOVRR RUDEE RAGDE RAYOR RAMIZ,DOVRR|RUDEE|RAGDE|RAYOR|RAMIZ,DOVRR|RUDEE|RAGDE|RAYOR|RAMIZ,5,5,true,true,,exact_match
B757,A,KATCH HMPTN GRIZZ CJAYY EHM ONEOX HOWRR NULUK,KATCH|HMPTN|GRIZZ|CJAYY|EHM|ONEOX|HOWRR|NULUK,KATCH|HMPTN|GRIZZ|CJAYY|EHM|ONEOX|HOWRR|NULUK,8,8,true,true,,exact_match
B760,C,ZBV LEEVI MENDL BORDO,ZBV|LEEVI|MENDL|BORDO,ZBV|LEEVI|MENDL|BORDO,4,4,true,true,,exact_match
B892,C,ANTEX MAZ,ANTEX|MAZ,ANTEX|MAZ,2,2,true,true,,exact_match
B932,A,BAMOK MORLY EPLOS KIVAK LESAD MCG,BAMOK|MORLY|EPLOS|KIVAK|LESAD|MCG,BAMOK|MORLY|EPLOS|KIVAK|LESAD|MCG,6,6,true,true,,exact_match
BR10L,C,ZFP FLINY HAANA MRRSH BNTTZ,ZFP|FLINY|HAANA|MRRSH|BNTTZ,ZFP|FLINY|HAANA|MRRSH|BNTTZ,5,5,true,true,,exact_match
BR1L,C,JOLTS ZFP BARTS MAMML DIAZZ LOGVN BRRGO AVNEY BENIE OREDE RAHAM STRUD BIKIN GTK,JOLTS|ZFP|BARTS|MAMML|DIAZZ|LOGVN|BRRGO|AVNEY|BENIE|OREDE|RAHAM|STRUD|BIKIN|GTK,JOLTS|ZFP|BARTS|MAMML|DIAZZ|LOGVN|BRRGO|AVNEY|BENIE|OREDE|RAHAM|STRUD|BIKIN|GTK,14,14,true,true,,exact_match
BR21V,C,ZFP ULAMA KIXAL WALIK PBI,ZFP|ULAMA|KIXAL|WALIK|PBI,ZFP|ULAMA|KIXAL|WALIK|PBI,5,5,true,true,,exact_match
BR22V,C,FLL DEKAL WIERS OYSTA CAREY MAJUR ZQA,FLL|DEKAL|WIERS|OYSTA|CAREY|MAJUR|ZQA,FLL|DEKAL|WIERS|OYSTA|CAREY|MAJUR|ZQA,7,7,true,true,,exact_match
BR2L,C,ZSJ DUKKY WRECK SOLEI TROTR PVN TOMAZ BURTZ GOVET JUELE,ZSJ|DUKKY|WRECK|SOLEI|TROTR|PVN|TOMAZ|BURTZ|GOVET|JUELE,ZSJ|DUKKY|WRECK|SOLEI|TROTR|PVN|TOMAZ|BURTZ|GOVET|JUELE,10,10,true,true,,exact_match
BR49V,C,DHP LUVLY JUNUR FOWEE LUCSS JERRE TINKY NICKO ZQA,DHP|LUVLY|JUNUR|FOWEE|LUCSS|JERRE|TINKY|NICKO|ZQA,DHP|LUVLY|JUNUR|FOWEE|LUCSS|JERRE|TINKY|NICKO|ZQA,9,9,true,true,,exact_match
BR53V,C,VKZ SKIPS LEEVI SWIMM WOOZE RAJAY PRUNE HINZY ZQA GUAVA BNTTZ,VKZ|SKIPS|LEEVI|SWIMM|WOOZE|RAJAY|PRUNE|HINZY|ZQA|GUAVA|BNTTZ,VKZ|SKIPS|LEEVI|SWIMM|WOOZE|RAJAY|PRUNE|HINZY|ZQA|GUAVA|BNTTZ,11,11,true,true,,exact_match
BR54V,C,PBI MRLIN PREDA ISAAC OYSTA CAREY MAJUR ZQA,PBI|MRLIN|PREDA|ISAAC|OYSTA|CAREY|MAJUR|ZQA,PBI|MRLIN|PREDA|ISAAC|OYSTA|CAREY|MAJUR|ZQA,8,8,true,true,,exact_match
