airwayId,airwayLocation,sourcePointRowCount,cleanOccurrenceCount,sourceExpectedAdjacentEdgeCount,cleanNextEdgeCount,sourceTerminalPoint,cleanTerminalPoint,pointCountMatches,edgeCountMatches,terminalPointMatches,coverageStatus
J13,C,16,16,15,15,U.S. CANADIAN BORDER-3,U.S. CANADIAN BORDER-3,true,true,true,gap_requires_policy
J131,C,11,11,10,10,PXV,PXV,true,true,true,exact_point_and_edge_coverage
J133,A,2,2,1,1,GAL,GAL,true,true,true,exact_point_and_edge_coverage
J134,C,23,23,22,22,FLM,FLM,true,true,true,gap_requires_policy
J135,A,2,2,1,1,UNK,UNK,true,true,true,exact_point_and_edge_coverage
J136,C,9,9,8,8,MBW,MBW,true,true,true,exact_point_and_edge_coverage
J137,C,5,5,4,4,LIT,LIT,true,true,true,exact_point_and_edge_coverage
J138,C,7,7,6,6,SJI,SJI,true,true,true,gap_requires_policy
J139,A,2,2,1,1,SCC,SCC,true,true,true,exact_point_and_edge_coverage
J14,C,11,11,10,10,VUZ,VUZ,true,true,true,exact_point_and_edge_coverage
J140,C,3,3,2,2,SSM,SSM,true,true,true,exact_point_and_edge_coverage
J141,C,4,4,3,3,U.S. MEXICAN BORDER-1,U.S. MEXICAN BORDER-1,true,true,true,exact_point_and_edge_coverage
J143,C,6,6,5,5,GEG,GEG,true,true,true,exact_point_and_edge_coverage
J144,C,2,2,1,1,DBQ,DBQ,true,true,true,exact_point_and_edge_coverage
J146,C,23,23,22,22,JFK,JFK,true,true,true,gap_requires_policy
J148,C,9,9,8,8,MCW,MCW,true,true,true,gap_requires_policy
J149,C,13,13,12,12,FWA,FWA,true,true,true,gap_requires_policy
J15,C,23,23,22,22,BTG,BTG,true,true,true,gap_requires_policy
J151,C,16,16,15,15,HIA,HIA,true,true,true,gap_requires_policy
J152,C,8,8,7,7,HAR,HAR,true,true,true,gap_requires_policy
J153,C,6,6,5,5,GEG,GEG,true,true,true,gap_requires_policy
J154,C,14,14,13,13,GCK,GCK,true,true,true,gap_requires_policy
J156,C,2,2,1,1,EKR,EKR,true,true,true,gap_requires_policy
J157,C,4,4,3,3,RAP,RAP,true,true,true,gap_requires_policy
J158,C,10,10,9,9,ABR,ABR,true,true,true,gap_requires_policy
J159,C,2,2,1,1,DSD,DSD,true,true,true,exact_point_and_edge_coverage
J16,C,18,18,17,17,BAE,BAE,true,true,true,gap_requires_policy
J160,A,4,4,3,3,ADREW,ADREW,true,true,true,exact_point_and_edge_coverage
J161,C,2,2,1,1,RSK,RSK,true,true,true,exact_point_and_edge_coverage
J162,C,9,9,8,8,MRB,MRB,true,true,true,gap_requires_policy
J163,C,6,6,5,5,CHE,CHE,true,true,true,exact_point_and_edge_coverage
J166,C,5,5,4,4,SPS,SPS,true,true,true,gap_requires_policy
J167,A,7,7,6,6,U.S. CANADIAN BORDER-2,U.S. CANADIAN BORDER-2,true,true,true,exact_point_and_edge_coverage
J168,C,2,2,1,1,LAA,LAA,true,true,true,gap_requires_policy
J169,C,8,8,7,7,TFD,TFD,true,true,true,exact_point_and_edge_coverage
J17,C,12,12,11,11,RAP,RAP,true,true,true,exact_point_and_edge_coverage
J170,C,3,3,2,2,MBW,MBW,true,true,true,exact_point_and_edge_coverage
J171,C,3,3,2,2,HGO,HGO,true,true,true,exact_point_and_edge_coverage
J173,C,3,3,2,2,EKR,EKR,true,true,true,exact_point_and_edge_coverage
J175,C,3,3,2,2,DBS,DBS,true,true,true,gap_requires_policy
J177,C,3,3,2,2,U.S. MEXICAN BORDER-1,U.S. MEXICAN BORDER-1,true,true,true,exact_point_and_edge_coverage
J178,C,3,3,2,2,APE,APE,true,true,true,exact_point_and_edge_coverage
J18,C,26,26,25,25,MZV,MZV,true,true,true,exact_point_and_edge_coverage
J180,C,3,3,2,2,FTZ,FTZ,true,true,true,exact_point_and_edge_coverage
J181,C,2,2,1,1,OKM,OKM,true,true,true,exact_point_and_edge_coverage
J182,C,8,8,7,7,RZC,RZC,true,true,true,exact_point_and_edge_coverage
J183,C,2,2,1,1,PEQ,PEQ,true,true,true,exact_point_and_edge_coverage
J187,C,4,4,3,3,FTZ,FTZ,true,true,true,exact_point_and_edge_coverage
J188,A,3,3,2,2,SQA,SQA,true,true,true,exact_point_and_edge_coverage
J189,C,8,8,7,7,SEA,SEA,true,true,true,gap_requires_policy
