airwayId,airwayLocation,pointSeq,currentSegValue,currentSegType,nextRowPointSeq,nextRowSegValue,nextSegRaw,nextSegMatchesNextRow,magCourse,oppMagCourse,magCourseDistance,gapFlag,signalGapFlag,dogleg,isTerminalPoint,segmentAttributePresent,sourceRowNumber
T391,C,60,FATUP,WP   ,70,SYR,SYR,true,335.13,154.99,10.12,N,N,Y,false,true,8210
T391,C,70,SYR,VORTAC,80,PAGER,PAGER,true,19.14,199.26,15.92,N,N,Y,false,true,8211
T391,C,80,PAGER,RP   ,90,BRUIN,BRUIN,true,19.26,199.36,14.68,N,N,Y,false,true,8212
T391,C,90,BRUIN,WP   ,100,ART,ART,true,19.35,199.47,17.29,N,N,Y,false,true,8213
T391,C,100,ART,VORTAC,110,WILRD,WILRD,true,45.1,225.5,22.2,N,N,Y,false,true,8214
T391,C,110,WILRD,WP   ,120,LETUS,LETUS,true,45.5,225.99,25.91,N,N,Y,false,true,8215
T391,C,120,LETUS,RP   ,130,SSENA,SSENA,true,73.05,254,35.79,N,N,Y,false,true,8216
T391,C,130,SSENA,WP   ,,,,,,,,N,N,Y,true,false,8217
T392,C,10,MZEEE,WP   ,20,KAATO,KAATO,true,44.09,224.57,20.96,N,N,Y,false,true,8218
T392,C,20,KAATO,WP   ,30,JAYGE,JAYGE,true,44.57,225.71,22.04,N,N,Y,false,true,8219
T392,C,30,JAYGE,WP   ,40,BERRG,BERRG,true,44.57,225.71,26.46,N,N,N,false,true,8220
T392,C,40,BERRG,WP   ,50,GRSIS,GRSIS,true,45.71,226.81,45,N,N,Y,false,true,8221
T392,C,50,GRSIS,WP   ,,,,,,,,N,N,Y,true,false,8222
T393,C,10,GAILS,RP   ,20,INNDY,INNDY,true,273.8,92.72,31.8,N,N,Y,false,true,8223
T393,C,20,INNDY,RP   ,30,PVD,PVD,true,273.8,92.72,15.13,N,N,N,false,true,8224
T393,C,30,PVD,VOR/DME,40,FOSTY,FOSTY,true,320.57,140.19,11.9,N,N,Y,false,true,8225
T393,C,40,FOSTY,RP   ,50,PUT,PUT,true,320.57,140.19,11.28,N,N,N,false,true,8226
T393,C,50,PUT,VOR/DME,60,GRIPE,GRIPE,true,358.61,178.48,11.2,N,N,Y,false,true,8227
T393,C,60,GRIPE,RP   ,70,GDM,GDM,true,358.61,178.48,25.48,N,N,N,false,true,8228
T393,C,70,GDM,VOR/DME,80,KEYNN,KEYNN,true,338.97,158.78,18.14,N,N,Y,false,true,8229
T393,C,80,KEYNN,WP   ,90,STRUM,STRUM,true,17.15,197.4,8.2,N,N,Y,false,true,8230
T393,C,90,STRUM,WP   ,100,UNKER,UNKER,true,17.15,197.4,25.11,N,N,N,false,true,8231
T393,C,100,UNKER,WP   ,110,MCADM,MCADM,true,17.15,197.4,11.85,N,N,N,false,true,8232
T393,C,110,MCADM,WP   ,120,LBNON,LBNON,true,17.15,197.4,8.01,N,N,N,false,true,8233
T393,C,120,LBNON,WP   ,130,ZIECH,ZIECH,true,351.34,171.18,9.99,N,N,Y,false,true,8234
T393,C,130,ZIECH,WP   ,140,DAVID,DAVID,true,351.34,171.18,5,N,N,N,false,true,8235
T393,C,140,DAVID,WP   ,150,MPV,MPV,true,351.34,171.18,11.41,N,N,N,false,true,8236
T393,C,150,MPV,VOR/DME,160,CEVIB,CEVIB,true,314.65,133.9,12.82,N,N,Y,false,true,8237
T393,C,160,CEVIB,WP   ,170,POROE,POROE,true,314.65,133.9,3.5,N,N,N,false,true,8238
T393,C,170,POROE,WP   ,180,BTV,BTV,true,314.65,133.9,20.43,N,N,N,false,true,8239
T393,C,180,BTV,VOR/DME,,,,,,,,N,N,Y,true,false,8240
T395,C,10,CON,VOR/DME,20,YECKA,YECKA,true,35.95,216.16,16.13,N,N,Y,false,true,8241
T395,C,20,YECKA,WP   ,30,GRUMP,GRUMP,true,36.15,216.22,5.35,N,N,Y,false,true,8242
T395,C,30,GRUMP,WP   ,40,LAROE,LAROE,true,36.22,216.37,12.83,N,N,Y,false,true,8243
T395,C,40,LAROE,WP   ,50,NOTTY,NOTTY,true,36.37,216.62,18.34,N,N,Y,false,true,8244
T395,C,50,NOTTY,WP   ,60,WYLIE,WYLIE,true,36.62,216.79,13.68,N,N,Y,false,true,8245
T395,C,60,WYLIE,WP   ,70,JOBBY,JOBBY,true,355.51,175.46,10.54,N,N,Y,false,true,8246
T395,C,70,JOBBY,WP   ,80,BRLIN,BRLIN,true,355.46,175.4,14.21,N,N,Y,false,true,8247
T395,C,80,BRLIN,WP   ,,,,,,,,N,N,Y,true,false,8248
T396,A,10,OME,VOR/DME,20,EZATY,EZATY,true,72.42,253.8,18,N,N,Y,false,true,8249
T396,A,20,EZATY,RP   ,30,HALUS,HALUS,true,72.42,253.8,65.35,N,N,N,false,true,8250
T396,A,30,HALUS,WP   ,40,JAYQE,JAYQE,true,77.63,260,33.22,N,N,Y,false,true,8251
T396,A,40,JAYQE,RP   ,50,JAGGU,JAGGU,true,77.63,260,78.97,N,N,N,false,true,8252
T396,A,50,JAGGU,RP   ,60,DIBVY,DIBVY,true,77.63,260,4,N,N,N,false,true,8253
T396,A,60,DIBVY,RP   ,70,GAL,GAL,true,77.63,260,20,N,N,N,false,true,8254
T396,A,70,GAL,VOR/DME,,,,,,,,N,N,Y,true,false,8255
T397,C,10,ARG,VORTAC,20,JENKN,JENKN,true,345.11,164.22,54.15,N,N,Y,false,true,8256
T397,C,20,JENKN,WP   ,30,BABLE,BABLE,true,345.11,164.22,8.04,N,N,N,false,true,8257
T397,C,30,BABLE,WP   ,40,VIH,VIH,true,345.11,164.22,65.53,N,N,N,false,true,8258
T397,C,40,VIH,VOR/DME,50,HLV,HLV,true,341.98,160.89,60.83,N,N,Y,false,true,8259
T397,C,50,HLV,VORTAC,60,LEWRP,LEWRP,true,341.98,160.89,64.9,N,N,N,false,true,8260
T397,C,60,LEWRP,WP   ,70,LOREY,LOREY,true,329.03,148.31,25.66,N,N,Y,false,true,8261
T397,C,70,LOREY,WP   ,80,OHGEE,OHGEE,true,329.03,148.31,22.39,N,N,N,false,true,8262
T397,C,80,OHGEE,RP   ,90,LACON,LACON,true,328.32,147.98,22.67,N,N,Y,false,true,8263
T397,C,90,LACON,RP   ,100,DSM,DSM,true,327.97,147.64,21.04,N,N,Y,false,true,8264
T397,C,100,DSM,VORTAC,110,BOOLA,BOOLA,true,39.03,220.85,37.19,N,N,Y,false,true,8265
T397,C,110,BOOLA,WP   ,120,AGETY,AGETY,true,39.03,220.85,13.97,N,N,N,false,true,8266
T397,C,120,AGETY,WP   ,130,ALO,ALO,true,39.03,220.85,36.19,N,N,N,false,true,8267
T397,C,130,ALO,VOR/DME,,,,,,,,N,N,Y,true,false,8268
T398,C,10,RRORY,WP   ,20,WIMES,WIMES,true,117.83,298.65,20.25,N,N,Y,false,true,8269
T398,C,20,WIMES,WP   ,30,MERIC,MERIC,true,117.83,298.65,20.01,N,N,N,false,true,8270
T398,C,30,MERIC,WP   ,40,JAXAB,JAXAB,true,73.43,255.18,6.92,N,N,Y,false,true,8271
T398,C,40,JAXAB,WP   ,50,OSUYE,OSUYE,true,73.43,255.18,18.07,N,N,N,false,true,8272
T398,C,50,OSUYE,WP   ,60,SLOTH,SLOTH,true,73.43,255.18,51.21,N,N,N,false,true,8273
T398,C,60,SLOTH,WP   ,70,WASHO,WASHO,true,51.12,232.22,26.53,N,N,Y,false,true,8274
T398,C,70,WASHO,RP   ,80,MUFRE,MUFRE,true,51.12,232.22,30.04,N,N,N,false,true,8275
T398,C,80,MUFRE,RP   ,90,CANEY,CANEY,true,54.15,235.4,10.41,N,N,Y,false,true,8276
T398,C,90,CANEY,RP   ,100,MALVE,MALVE,true,54.15,235.4,19.29,N,N,N,false,true,8277
T398,C,100,MALVE,WP   ,110,BAUDE,BAUDE,true,54.15,235.4,12.67,N,N,N,false,true,8278
T398,C,110,BAUDE,RP   ,120,LITTR,LITTR,true,54.15,235.4,18.38,N,N,N,false,true,8279
T398,C,120,LITTR,WP   ,130,QITXO,QITXO,true,94.69,276.56,11.99,N,N,Y,false,true,8280
T398,C,130,QITXO,WP   ,140,ATERS,ATERS,true,94.69,276.56,4,N,N,N,false,true,8281
T398,C,140,ATERS,RP   ,150,BILLI,BILLI,true,94.69,276.56,14.99,N,N,N,false,true,8282
T398,C,150,BILLI,RP   ,160,DRAST,DRAST,true,94.69,276.56,6.27,N,N,N,false,true,8283
T398,C,160,DRAST,WP   ,170,EMEEY,EMEEY,true,94.69,276.56,37.58,N,N,N,false,true,8284
T398,C,170,EMEEY,WP   ,180,JEPOB,JEPOB,true,79.75,261.23,19.99,N,N,Y,false,true,8285
T398,C,180,JEPOB,RP   ,190,WSTON,WSTON,true,79.75,261.23,15.09,N,N,N,false,true,8286
T398,C,190,WSTON,RP   ,200,YUGPU,YUGPU,true,79.75,261.23,14.36,N,N,N,false,true,8287
T398,C,200,YUGPU,RP   ,210,GOINS,GOINS,true,79.75,261.23,10.01,N,N,N,false,true,8288
T398,C,210,GOINS,WP   ,220,NUJLE,NUJLE,true,93.84,276.35,9.99,N,N,Y,false,true,8289
T398,C,220,NUJLE,WP   ,230,SULLY,SULLY,true,93.84,276.35,9.84,N,N,N,false,true,8290
T398,C,230,SULLY,WP   ,240,KERMI,KERMI,true,93.84,276.35,46.55,N,N,N,false,true,8291
T398,C,240,KERMI,WP   ,250,BRADS,BRADS,true,93.84,276.35,14.83,N,N,N,false,true,8292
T398,C,250,BRADS,WP   ,260,TILVY,TILVY,true,93.84,276.35,6,N,N,N,false,true,8293
T398,C,260,TILVY,WP   ,270,AYOTE,AYOTE,true,93.84,276.35,5.76,N,N,N,false,true,8294
T398,C,270,AYOTE,WP   ,280,HAGIE,HAGIE,true,93.84,276.35,6.24,N,N,N,false,true,8295
T398,C,280,HAGIE,WP   ,290,TINCA,TINCA,true,86.11,267.18,12,N,N,Y,false,true,8296
T398,C,290,TINCA,WP   ,300,TANNE,TANNE,true,86.11,267.18,13.14,N,N,N,false,true,8297
T398,C,300,TANNE,RP   ,310,MARZZ,MARZZ,true,86.11,267.18,6.8,N,N,N,false,true,8298
T398,C,310,MARZZ,WP   ,320,FILUN,FILUN,true,86.11,267.18,10.82,N,N,N,false,true,8299
T398,C,320,FILUN,WP   ,330,PRONE,PRONE,true,86.4,268.3,15.89,N,N,Y,false,true,8300
