airwayKey,airwayPathKey,anyGapActive,gapFlagRaw,signalGapFlagRaw,doglegRaw,sourceTable,rowCount,sampleFromPointKeys,sampleToPointKeys,sampleSourceRowIds
AIRWAY:J569,AIRWAY_PATH:J569:C,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:DORSE:K1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,2199
AIRWAY:J599,AIRWAY_PATH:J599:C,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:CFRBZ:K1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-3,2244
AIRWAY:J64,AIRWAY_PATH:J64:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:NAVAID:HLC:VORTAC:US:KS:HILL_CITY,POINT:NAVAID:FWA:VORTAC:US:IN:FORT_WAYNE,2349
AIRWAY:J65,AIRWAY_PATH:J65:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:NAVAID:EHF:VORTAC:US:CA:BAKERSFIELD,POINT:NAVAID:SAC:VORTAC:US:CA:SACRAMENTO,2377
AIRWAY:J7,AIRWAY_PATH:J7:C,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:GGRBI:K1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,2419
AIRWAY:J70,AIRWAY_PATH:J70:C,false,N,N,N,AWY_SEG_ALT,2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3,POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:FIX:BEWEL:K5,2441|2442
AIRWAY:J70,AIRWAY_PATH:J70:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:FIX:CFGFT:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,2440
AIRWAY:J8,AIRWAY_PATH:J8:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:NAVAID:FTI:VORTAC:US:NM:LAS_VEGAS,POINT:NAVAID:SGF:VORTAC:US:MO:SPRINGFIELD,2541
AIRWAY:J82,AIRWAY_PATH:J82:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:NAVAID:FSD:VORTAC:US:SD:SIOUX_FALLS,POINT:NAVAID:DBQ:VORTAC:US:IA:DUBUQUE,2595
AIRWAY:J92,AIRWAY_PATH:J92:C,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:VYLLA:K2,POINT:BOUNDARY:U.S._MEXICAN_BORDER-2,2745
AIRWAY:J93,AIRWAY_PATH:J93:C,false,N,N,N,AWY_SEG_ALT,1,POINT:BOUNDARY:U.S._MEXICAN_BORDER-2,POINT:FIX:ASUTA:K2,2747
AIRWAY:J94,AIRWAY_PATH:J94:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:NAVAID:ONL:VORTAC:US:NE:O_NEILL,POINT:NAVAID:DBQ:VORTAC:US:IA:DUBUQUE,2759
AIRWAY:J96,AIRWAY_PATH:J96:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:NAVAID:CIM:VORTAC:US:NM:CIMARRON,POINT:NAVAID:GCK:VORTAC:US:KS:GARDEN_CITY,2783
AIRWAY:M348,AIRWAY_PATH:M348:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:FIX:ALBBE:K7,POINT:FIX:KATOK:TJ,3226
