procedureKey,procedureType,variantCount,matchedVariantCount,connectedMatchedVariantCount,notConnectedMatchedVariantCount,uniqueInterfacePointCount,connectedInterfacePointCount,hasAnyMatchedVariant,hasAnyConnectedMatchedVariant,allMatchedVariantsUnconnected,onlyIncompleteVariants
PROCEDURE:DP:BXK4.BXK,DP,4,4,4,0,4,4,true,true,false,false
PROCEDURE:DP:BYTER1.BYTER,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:BZN6.BZN,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CABOT1.CABOT,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CADKI1.CADKI,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CAMBA4.CAMBA,DP,2,2,2,0,2,2,true,true,false,false
PROCEDURE:DP:CANBY2.CANBY,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CANOG3.IPIHO,DP,3,3,3,0,3,3,true,true,false,false
PROCEDURE:DP:CAP2.CEP,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CARYN8.CARYN,DP,1,1,0,1,1,0,true,false,true,false
PROCEDURE:DP:CASCD4.CHISM,DP,8,8,8,0,4,4,true,true,false,false
PROCEDURE:DP:CASEL7.CASEL,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CATH1.PSP,DP,2,0,0,0,2,0,false,false,false,true
PROCEDURE:DP:CAVVS5.CAVVS,DP,3,3,3,0,1,1,true,true,false,false
PROCEDURE:DP:CBAIN1.CBAIN,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CCOBB3.CCOBB,DP,3,3,0,3,1,0,true,false,true,false
PROCEDURE:DP:CELTK7.CELTK,DP,6,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CENTR1.ARD,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CETK6.ANN,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CEZ2.CEZ,DP,4,4,4,0,2,2,true,true,false,false
PROCEDURE:DP:CGULL1.CGULL,DP,2,2,2,0,2,2,true,true,false,false
PROCEDURE:DP:CHACO1.CHACO,DP,1,1,1,0,1,1,true,true,false,false
PROCEDURE:DP:CHADM4.CHADM,DP,3,3,0,3,1,0,true,false,true,false
PROCEDURE:DP:CHANL3.SXC,DP,3,3,3,0,3,3,true,true,false,false
PROCEDURE:DP:CHATT6.CHATT,DP,2,2,1,1,2,1,true,true,false,false
PROCEDURE:DP:CHATY5.CHATY,DP,4,4,4,0,4,4,true,true,false,false
PROCEDURE:DP:CHCLL6.CHCLL,DP,21,21,7,14,3,1,true,true,false,false
PROCEDURE:DP:CHIEF9.MCI,DP,2,0,0,0,2,2,false,false,false,true
PROCEDURE:DP:CHILY4.CHILY,DP,4,4,3,1,4,3,true,true,false,false
PROCEDURE:DP:CHISM4.CHISM,DP,12,12,10,2,6,5,true,true,false,false
PROCEDURE:DP:CHLDR5.CHLDR,DP,3,3,0,3,1,0,true,false,true,false
PROCEDURE:DP:CHOII3.CHOII,DP,8,8,7,1,8,7,true,true,false,false
PROCEDURE:DP:CHOIR3.CHOIR,DP,2,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CHOTT1.CHOTT,DP,2,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CHRRO1.CHRRO,DP,15,15,12,3,5,4,true,true,false,false
PROCEDURE:DP:CHUNA2.CHUNA,DP,2,2,2,0,1,1,true,true,false,false
PROCEDURE:DP:CHUUC6.CHUUC,DP,10,10,5,5,2,1,true,true,false,false
PROCEDURE:DP:CHUWY1.CHUWY,DP,5,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CIE1.CIE,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CIITY3.CIITY,DP,18,18,12,6,6,4,true,true,false,false
PROCEDURE:DP:CILAC3.CILAC,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CISPU1.CISPU,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CLSSY3.CLSSY,DP,5,5,2,3,5,2,true,true,false,false
PROCEDURE:DP:CLT4.CLT,DP,6,0,0,0,6,2,false,false,false,true
PROCEDURE:DP:CLTCH3.CLTCH,DP,6,6,3,3,2,1,true,true,false,false
PROCEDURE:DP:CLVIN3.CLVIN,DP,6,6,0,6,1,0,true,false,true,false
PROCEDURE:DP:CMA6.CMA,DP,3,3,3,0,3,3,true,true,false,false
PROCEDURE:DP:CNDEL5.CNDEL,DP,5,5,1,4,5,1,true,true,false,false
PROCEDURE:DP:COAST9.MCKEY,DP,4,4,4,0,4,4,true,true,false,false
PROCEDURE:DP:COE2.COE,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:COLD2.CDB,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:COLIN8.COLIN,DP,2,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CONLE5.CONLE,DP,10,10,10,0,2,2,true,true,false,false
PROCEDURE:DP:CONNR8.CONNR,DP,2,2,0,2,1,0,true,false,true,false
PROCEDURE:DP:CONRA4.CONRA,DP,2,2,2,0,2,2,true,true,false,false
PROCEDURE:DP:CONUK1.CONUK,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:COOLI6.COOLI,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:COORZ7.COORZ,DP,2,2,2,0,1,1,true,true,false,false
PROCEDURE:DP:COULT7.COULT,DP,1,1,1,0,1,1,true,true,false,false
PROCEDURE:DP:CRATR1.LMT,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CRBN2.NEDAE,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CREPE3.CREPE,DP,3,3,3,0,3,3,true,true,false,false
PROCEDURE:DP:CRIED1.CRIED,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CRISI2.CRISI,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CROLI1.CROLI,DP,3,3,3,0,3,3,true,true,false,false
PROCEDURE:DP:CRONA1.CNX,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:CROSB2.CROSB,DP,1,1,0,1,1,0,true,false,true,false
PROCEDURE:DP:CROWD8.CROWD,DP,1,1,1,0,1,1,true,true,false,false
PROCEDURE:DP:CRSON7.CRSON,DP,3,3,0,3,1,0,true,false,true,false
PROCEDURE:DP:CSHEL8.CSHEL,DP,12,12,10,2,6,5,true,true,false,false
PROCEDURE:DP:CTRUS4.CTRUS,DP,9,9,5,4,9,5,true,true,false,false
PROCEDURE:DP:CURLO6.CURLO,DP,24,24,15,9,8,5,true,true,false,false
PROCEDURE:DP:CUTTN2.CUTTN,DP,5,5,0,5,1,0,true,false,true,false
PROCEDURE:DP:CWARD2.CWARD,DP,2,2,2,0,2,2,true,true,false,false
PROCEDURE:DP:CWK8.CWK,DP,6,0,0,0,6,6,false,false,false,true
PROCEDURE:DP:CYOTE4.TTT,DP,8,0,0,0,8,7,false,false,false,true
PROCEDURE:DP:DAG1.DAG,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:DALL4.TTT,DP,4,0,0,0,4,3,false,false,false,true
PROCEDURE:DP:DALLS1.LTJ,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:DANLS4.DANLS,DP,3,3,0,3,1,0,true,false,true,false
PROCEDURE:DP:DARCY8.DARCY,DP,2,2,1,1,2,1,true,true,false,false
