fromPointKind,toPointKind,containsBoundaryPoint,anyGapActive,doglegActive,airwayPrefix,awyLocation,rowCount,airwayCount,airwayPathCount,sampleAirwayKeys,sampleFromPointKeys,sampleToPointKeys,sampleSourceRowIds
FIX,BOUNDARY_POINT,true,false,true,T,A,1,1,1,AIRWAY:T372,POINT:FIX:OLARU:PA,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,8055
FIX,BOUNDARY_POINT,true,false,true,T,C,11,11,11,AIRWAY:T331|AIRWAY:T407|AIRWAY:T487|AIRWAY:T645|AIRWAY:T675|AIRWAY:T698|AIRWAY:T705|AIRWAY:T739|AIRWAY:T765|AIRWAY:T768,POINT:FIX:BEKRR:K3|POINT:FIX:ZOMTA:K3|POINT:FIX:DISCO:K1|POINT:FIX:IKLIT:K1|POINT:FIX:RUXDU:K5|POINT:FIX:ACTON:K6|POINT:FIX:MUTNA:K6|POINT:FIX:DANOL:K6|POINT:FIX:CALDU:K3|POINT:FIX:ARBBY:K3,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S.CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._CANADIAN_BORDER-6|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,7564|8455|9220|9400|9411|9416|9451|9471|9492|9497
FIX,BOUNDARY_POINT,true,true,false,J,A,1,1,1,AIRWAY:J507,POINT:FIX:CFXBV:PA,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,2065
FIX,BOUNDARY_POINT,true,true,false,J,C,3,3,3,AIRWAY:J523|AIRWAY:J554|AIRWAY:J70,POINT:FIX:CFSKH:K1|POINT:FIX:CFHFC:K5|POINT:FIX:CFGFT:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,2123|2182|2440
FIX,BOUNDARY_POINT,true,true,false,Q,C,8,7,7,AIRWAY:Q440|AIRWAY:Q812|AIRWAY:Q816|AIRWAY:Q818|AIRWAY:Q822|AIRWAY:Q917|AIRWAY:Q935,POINT:FIX:CFJHV:K5|POINT:FIX:CFPXT:K5|POINT:FIX:CFRCN:K5|POINT:FIX:CFSMW:K5|POINT:FIX:CFSMW:K5|POINT:FIX:CFNBP:K5|POINT:FIX:CFPWF:K5|POINT:FIX:CFRCN:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,4424|4836|4851|4861|4884|5076|5080|5130
FIX,BOUNDARY_POINT,true,true,true,Q,A,3,2,2,AIRWAY:Q801|AIRWAY:Q902,POINT:FIX:CYVIC:K1|POINT:FIX:HIGHE:PA|POINT:FIX:AYZOL:PA,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4792|5053|5043
FIX,BOUNDARY_POINT,true,true,true,Q,C,7,6,6,AIRWAY:Q186|AIRWAY:Q190|AIRWAY:Q436|AIRWAY:Q438|AIRWAY:Q907|AIRWAY:Q951,POINT:FIX:STUNK:K5|POINT:FIX:RONZY:K5|POINT:FIX:CFGCQ:K5|POINT:FIX:CFJHV:K5|POINT:FIX:GADAV:K5|POINT:FIX:TALNO:K6|POINT:FIX:GADAV:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-5|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4,4008|4040|4359|4385|5065|5161|5155
FIX,BOUNDARY_POINT,true,true,true,T,C,8,6,6,AIRWAY:T608|AIRWAY:T675|AIRWAY:T765|AIRWAY:T776|AIRWAY:T781|AIRWAY:T810,POINT:FIX:CFSKT:K5|POINT:FIX:BBIGG:K5|POINT:FIX:BBLUE:K5|POINT:FIX:KORTY:K3|POINT:FIX:KMNGO:K5|POINT:FIX:RRBEE:K5|POINT:FIX:CFKMG:K5|POINT:FIX:JEORG:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,9333|9407|9482|9488|9501|9506|9517|9529
FIX,FIX,false,true,false,M,C,1,1,1,AIRWAY:M348,POINT:FIX:ALBBE:K7,POINT:FIX:KATOK:TJ,3226
FIX,FIX,false,true,false,V,C,9,9,9,AIRWAY:V115|AIRWAY:V165|AIRWAY:V209|AIRWAY:V228|AIRWAY:V23|AIRWAY:V259|AIRWAY:V356|AIRWAY:V415|AIRWAY:V97,POINT:FIX:BOAZE:K7|POINT:FIX:EXTRA:K2|POINT:FIX:YARBO:K7|POINT:FIX:BESIE:K5|POINT:FIX:FRAME:K2|POINT:FIX:HUSTN:K7|POINT:FIX:FIDLE:K2|POINT:FIX:HEFIN:K7|POINT:FIX:PRATZ:K7,POINT:FIX:DUBBS:K7|POINT:FIX:MARRI:K2|POINT:FIX:EUTAW:K7|POINT:FIX:FARMM:K5|POINT:FIX:EBTUW:K2|POINT:FIX:MOPED:K7|POINT:FIX:ELORE:K2|POINT:FIX:NELLO:K7|POINT:FIX:NELLO:K7,9976|11290|12346|12745|12782|13372|14785|15476|18837
FIX,FIX,false,true,true,V,C,1,1,1,AIRWAY:V93,POINT:FIX:LAAYK:K6,POINT:FIX:HELON:K6,18724
FIX,NAVAID,false,true,false,V,C,8,8,8,AIRWAY:V103|AIRWAY:V154|AIRWAY:V187|AIRWAY:V278|AIRWAY:V3|AIRWAY:V365|AIRWAY:V38|AIRWAY:V417,POINT:FIX:MAYOS:K7|POINT:FIX:TIROE:K7|POINT:FIX:THICK:K1|POINT:FIX:HAMPT:K4|POINT:FIX:OWENS:K7|POINT:FIX:SABAT:K1|POINT:FIX:WINES:K5|POINT:FIX:NELLO:K7,POINT:NAVAID:EKN:VORTAC:US:WV:ELKINS|POINT:NAVAID:DBN:VORTAC:US:GA:DUBLIN|POINT:NAVAID:OLM:VORTAC:US:WA:OLYMPIA|POINT:NAVAID:GLH:VOR/DME:US:MS:GREENVILLE|POINT:NAVAID:FLO:VORTAC:US:SC:FLORENCE|POINT:NAVAID:LVM:VOR/DME:US:MT:LIVINGSTON|POINT:NAVAID:JPU:VOR/DME:US:WV:PARKERSBURG|POINT:NAVAID:AHN:VOR/DME:US:GA:ATHENS,9714|10874|11808|13773|14138|14869|15039|15492
NAVAID,FIX,false,true,false,V,C,5,5,5,AIRWAY:V10|AIRWAY:V266|AIRWAY:V325|AIRWAY:V35|AIRWAY:V454,POINT:NAVAID:BRL:VOR/DME:US:IA:BURLINGTON|POINT:NAVAID:SBV:VORTAC:US:VA:SOUTH_BOSTON|POINT:NAVAID:AHN:VOR/DME:US:GA:ATHENS|POINT:NAVAID:PIE:VORTAC:US:FL:ST_PETERSBURG-CLEARWATER|POINT:NAVAID:MVC:VORTAC:US:AL:MONROEVILLE,POINT:FIX:NILES:K5|POINT:FIX:SUNNS:K7|POINT:FIX:DALAS:K7|POINT:FIX:SINCA:K7|POINT:FIX:GIZMO:K7,9641|13512|14528|14727|16097
NAVAID,FIX,false,true,false,V,H,2,2,2,AIRWAY:V17|AIRWAY:V7,POINT:NAVAID:OGG:VORTAC:US:HI:KAHULUI|POINT:NAVAID:MKK:VORTAC:US:HI:KAUNAKAKAI,POINT:FIX:STAIT:PH|POINT:FIX:JOELE:P,11468|18081
NAVAID,NAVAID,false,true,false,J,C,14,14,14,AIRWAY:J100|AIRWAY:J101|AIRWAY:J128|AIRWAY:J134|AIRWAY:J138|AIRWAY:J20|AIRWAY:J24|AIRWAY:J52|AIRWAY:J64|AIRWAY:J65,POINT:NAVAID:SNY:VOR/DME:US:NE:SIDNEY|POINT:NAVAID:SPI:VORTAC:US:IL:SPRINGFIELD|POINT:NAVAID:HCT:VORTAC:US:NE:HAYES_CENTER|POINT:NAVAID:CIM:VORTAC:US:NM:CIMARRON|POINT:NAVAID:SAT:VORTAC:US:TX:SAN_ANTONIO|POINT:NAVAID:LAA:VOR/DME:US:CO:LAMAR|POINT:NAVAID:CHE:VOR/DME:US:CO:HAYDEN|POINT:NAVAID:LAA:VOR/DME:US:CO:LAMAR|POINT:NAVAID:HLC:VORTAC:US:KS:HILL_CITY|POINT:NAVAID:EHF:VORTAC:US:CA:BAKERSFIELD,POINT:NAVAID:DBQ:VORTAC:US:IA:DUBUQUE|POINT:NAVAID:OBK:VOR/DME:US:IL:NORTHBROOK|POINT:NAVAID:DBQ:VORTAC:US:IA:DUBUQUE|POINT:NAVAID:ICT:VORTAC:US:KS:WICHITA|POINT:NAVAID:LCH:VORTAC:US:LA:LAKE_CHARLES|POINT:NAVAID:IRW:VORTAC:US:OK:OKLAHOMA_CITY|POINT:NAVAID:HGO:VOR/DME:US:CO:HUGO|POINT:NAVAID:ADM:VORTAC:US:OK:ARDMORE|POINT:NAVAID:FWA:VORTAC:US:IN:FORT_WAYNE|POINT:NAVAID:SAC:VORTAC:US:CA:SACRAMENTO,833|848|1079|1123|1157|1541|1660|2106|2349|2377
NAVAID,NAVAID,false,true,false,V,C,95,74,74,AIRWAY:V1|AIRWAY:V100|AIRWAY:V108|AIRWAY:V113|AIRWAY:V114|AIRWAY:V115|AIRWAY:V12|AIRWAY:V13|AIRWAY:V132|AIRWAY:V138,POINT:NAVAID:ISO:VORTAC:US:NC:KINSTON|POINT:NAVAID:ONL:VORTAC:US:NE:O_NEILL|POINT:NAVAID:LIN:VOR/DME:US:CA:LINDEN|POINT:NAVAID:PRB:VORTAC:US:CA:PASO_ROBLES|POINT:NAVAID:BYP:VORTAC:US:TX:BONHAM|POINT:NAVAID:VXV:VORTAC:US:TN:KNOXVILLE|POINT:NAVAID:MMB:VORTAC:US:OK:GAGE|POINT:NAVAID:SHB:VOR/DME:US:IN:SHELBYVILLE|POINT:NAVAID:RZC:VORTAC:US:AR:FAYETTEVILLE|POINT:NAVAID:HUT:VOR/DME:US:KS:HUTCHINSON,POINT:NAVAID:ATR:VOR/DME:US:DE:WATERLOO|POINT:NAVAID:ALO:VOR/DME:US:IA:WATERLOO|POINT:NAVAID:EKR:VOR/DME:US:CO:MEEKER|POINT:NAVAID:PXN:VORTAC:US:CA:PANOCHE|POINT:NAVAID:GGG:VORTAC:US:TX:LONGVIEW|POINT:NAVAID:HVQ:VOR/DME:US:WV:CHARLESTON|POINT:NAVAID:ICT:VORTAC:US:KS:WICHITA|POINT:NAVAID:AGC:VOR/DME:US:PA:PITTSBURGH|POINT:NAVAID:BUM:VORTAC:US:MO:BUTLER|POINT:NAVAID:SGF:VORTAC:US:MO:SPRINGFIELD,9572|9659|9795|9886|9931|9980|10045|10076|10343|10392
NAVAID,NAVAID,false,true,true,V,C,1,1,1,AIRWAY:V20,POINT:NAVAID:MGM:VORTAC:US:AL:MONTGOMERY,POINT:NAVAID:AHN:VOR/DME:US:GA:ATHENS,12199
