fromKey,toKey,rawValue,normalizedValue,resolveMethod,resolveStatus,confidence,sourceCycle,sourceTable,sourceRowId
TEMPLATE:PFR:ACK:PNE:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,92
TEMPLATE:PFR:ACK:PNE:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,93
TEMPLATE:PFR:ACK:PSM:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,94
TEMPLATE:PFR:ACK:PVD:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,95
TEMPLATE:PFR:ACK:PWM:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,96
TEMPLATE:PFR:ACK:RIC:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,97
TEMPLATE:PFR:ACK:RIC:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,98
TEMPLATE:PFR:ACK:SWF:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,99
TEMPLATE:PFR:ACK:SYR:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,100
TEMPLATE:PFR:ACK:TEB:H:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,101
TEMPLATE:PFR:ACK:TTN:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,102
TEMPLATE:PFR:ACK:TTN:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,103
TEMPLATE:PFR:ACK:WRI:TEC:1,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,104
TEMPLATE:PFR:ACK:WRI:TEC:2,AIRPORT:ACK,ACK,ACK,airport_id,resolved,high,2026-05-14,PFR_BASE,105
TEMPLATE:PFR:ACY:ABE:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,106
TEMPLATE:PFR:ACY:ABE:TEC:2,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,107
TEMPLATE:PFR:ACY:ACK:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,108
TEMPLATE:PFR:ACY:ADW:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,109
TEMPLATE:PFR:ACY:ATL:H:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,110
TEMPLATE:PFR:ACY:BDL:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,111
TEMPLATE:PFR:ACY:BDR:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,112
TEMPLATE:PFR:ACY:BDR:TEC:2,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,113
TEMPLATE:PFR:ACY:BGR:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,114
TEMPLATE:PFR:ACY:BHB:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,115
TEMPLATE:PFR:ACY:BOS:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,116
TEMPLATE:PFR:ACY:BOS:TEC:2,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,117
TEMPLATE:PFR:ACY:BOS:TEC:3,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,118
TEMPLATE:PFR:ACY:BWI:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,119
