airwayOccurrenceKey,airwayPathKey,awyId,awyLocation,pointSeq,rawFromPoint,rawFromPointType,rawToPoint,rawNextMeaPoint,resolvedPointKey,resolveStatus,occurrenceRole,sourceCycle,sourceTable,sourceRowId
AWY_OCC:A315:C:60,AIRWAY_PATH:A315:C,A315,C,60,HODGY,RP,AMBIS,AMBIS,POINT:FIX:HODGY:MY,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,38
AWY_OCC:A315:C:70,AIRWAY_PATH:A315:C,A315,C,70,AMBIS,RP,DUNNO,DUNNO,POINT:FIX:AMBIS:MY,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,39
AWY_OCC:A315:C:80,AIRWAY_PATH:A315:C,A315,C,80,DUNNO,WP,ACMEE,ACMEE,POINT:FIX:DUNNO:K7,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,40
AWY_OCC:A315:C:90,AIRWAY_PATH:A315:C,A315,C,90,ACMEE,RP,KNSLY,KNSLY,POINT:FIX:ACMEE:K,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,41
AWY_OCC:A315:C:100,AIRWAY_PATH:A315:C,A315,C,100,KNSLY,WP,JOSES,JOSES,POINT:FIX:KNSLY:K,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,42
AWY_OCC:A315:C:110,AIRWAY_PATH:A315:C,A315,C,110,JOSES,WP,,,POINT:FIX:JOSES:K,resolved_fix,END,2026-05-14,AWY_SEG_ALT,43
AWY_OCC:A331:C:10,AIRWAY_PATH:A331:C,A331,C,10,ZIGIE,RP,ZOULU,ZOULU,POINT:FIX:ZIGIE:P,resolved_fix,START,2026-05-14,AWY_SEG_ALT,44
AWY_OCC:A331:C:20,AIRWAY_PATH:A331:C,A331,C,20,ZOULU,WP,ZEMOM,ZEMOM,POINT:FIX:ZOULU:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,45
AWY_OCC:A331:C:30,AIRWAY_PATH:A331:C,A331,C,30,ZEMOM,WP,ZINNO,ZINNO,POINT:FIX:ZEMOM:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,46
AWY_OCC:A331:C:40,AIRWAY_PATH:A331:C,A331,C,40,ZINNO,WP,ZAGER,ZAGER,POINT:FIX:ZINNO:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,47
AWY_OCC:A331:C:50,AIRWAY_PATH:A331:C,A331,C,50,ZAGER,WP,ZANNG,ZANNG,POINT:FIX:ZAGER:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,48
AWY_OCC:A331:C:60,AIRWAY_PATH:A331:C,A331,C,60,ZANNG,WP,SEDAR,SEDAR,POINT:FIX:ZANNG:P,resolved_fix,INTERMEDIATE,2026-05-14,AWY_SEG_ALT,49
AWY_OCC:A331:C:70,AIRWAY_PATH:A331:C,A331,C,70,SEDAR,WP,,,POINT:FIX:SEDAR:P,resolved_fix,END,2026-05-14,AWY_SEG_ALT,50
AWY_OCC:A332:C:10,AIRWAY_PATH:A332:C,A332,C,10,AUNTI,WP,HALLI,HALLI,POINT:FIX:AUNTI:P,resolved_fix,START,2026-05-14,AWY_SEG_ALT,51
