fromKey,toKey,sourceCycle,sourceTable,sourceRowId,resolveStatus,confidence
TEMPLATE:PFR:ACK:FRG:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:FRG:TEC:1:MAIN,2026-05-14,PFR_BASE,64,resolved,high
TEMPLATE:PFR:ACK:FRG:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:FRG:TEC:2:MAIN,2026-05-14,PFR_BASE,65,resolved,high
TEMPLATE:PFR:ACK:GON:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:GON:TEC:1:MAIN,2026-05-14,PFR_BASE,66,resolved,high
TEMPLATE:PFR:ACK:HFD:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:HFD:TEC:2:MAIN,2026-05-14,PFR_BASE,67,resolved,high
TEMPLATE:PFR:ACK:HPN:H:3,TEMPLATE_PATH:TEMPLATE:PFR:ACK:HPN:H:3:MAIN,2026-05-14,PFR_BASE,68,resolved,high
TEMPLATE:PFR:ACK:HPN:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:HPN:TEC:1:MAIN,2026-05-14,PFR_BASE,69,resolved,high
TEMPLATE:PFR:ACK:HPN:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:HPN:TEC:2:MAIN,2026-05-14,PFR_BASE,70,resolved,high
TEMPLATE:PFR:ACK:IAD:H:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:IAD:H:1:MAIN,2026-05-14,PFR_BASE,71,resolved,high
TEMPLATE:PFR:ACK:ISP:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:ISP:TEC:1:MAIN,2026-05-14,PFR_BASE,72,resolved,high
TEMPLATE:PFR:ACK:ISP:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:ISP:TEC:2:MAIN,2026-05-14,PFR_BASE,73,resolved,high
TEMPLATE:PFR:ACK:JFK:H:3,TEMPLATE_PATH:TEMPLATE:PFR:ACK:JFK:H:3:MAIN,2026-05-14,PFR_BASE,74,resolved,high
TEMPLATE:PFR:ACK:JFK:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:JFK:TEC:1:MAIN,2026-05-14,PFR_BASE,75,resolved,high
TEMPLATE:PFR:ACK:JFK:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:JFK:TEC:2:MAIN,2026-05-14,PFR_BASE,76,resolved,high
TEMPLATE:PFR:ACK:LEB:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:LEB:TEC:1:MAIN,2026-05-14,PFR_BASE,77,resolved,high
TEMPLATE:PFR:ACK:LGA:L:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:LGA:L:2:MAIN,2026-05-14,PFR_BASE,78,resolved,high
TEMPLATE:PFR:ACK:LGA:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:LGA:TEC:1:MAIN,2026-05-14,PFR_BASE,79,resolved,high
TEMPLATE:PFR:ACK:MDW:H:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:MDW:H:1:MAIN,2026-05-14,PFR_BASE,80,resolved,high
TEMPLATE:PFR:ACK:MHT:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:MHT:TEC:1:MAIN,2026-05-14,PFR_BASE,81,resolved,high
TEMPLATE:PFR:ACK:MMU:H:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:MMU:H:1:MAIN,2026-05-14,PFR_BASE,82,resolved,high
TEMPLATE:PFR:ACK:ORD:H:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:ORD:H:1:MAIN,2026-05-14,PFR_BASE,83,resolved,high
TEMPLATE:PFR:ACK:ORH:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:ORH:TEC:2:MAIN,2026-05-14,PFR_BASE,84,resolved,high
TEMPLATE:PFR:ACK:OWD:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:OWD:TEC:1:MAIN,2026-05-14,PFR_BASE,85,resolved,high
TEMPLATE:PFR:ACK:PBI:H:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:PBI:H:1:MAIN,2026-05-14,PFR_BASE,86,resolved,high
TEMPLATE:PFR:ACK:PBI:H:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:PBI:H:2:MAIN,2026-05-14,PFR_BASE,87,resolved,high
TEMPLATE:PFR:ACK:PHL:H:3,TEMPLATE_PATH:TEMPLATE:PFR:ACK:PHL:H:3:MAIN,2026-05-14,PFR_BASE,88,resolved,high
TEMPLATE:PFR:ACK:PHL:H:4,TEMPLATE_PATH:TEMPLATE:PFR:ACK:PHL:H:4:MAIN,2026-05-14,PFR_BASE,89,resolved,high
TEMPLATE:PFR:ACK:PHL:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:PHL:TEC:1:MAIN,2026-05-14,PFR_BASE,90,resolved,high
TEMPLATE:PFR:ACK:PHL:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:PHL:TEC:2:MAIN,2026-05-14,PFR_BASE,91,resolved,high
TEMPLATE:PFR:ACK:PNE:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:PNE:TEC:1:MAIN,2026-05-14,PFR_BASE,92,resolved,high
TEMPLATE:PFR:ACK:PNE:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:PNE:TEC:2:MAIN,2026-05-14,PFR_BASE,93,resolved,high
TEMPLATE:PFR:ACK:PSM:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:PSM:TEC:1:MAIN,2026-05-14,PFR_BASE,94,resolved,high
TEMPLATE:PFR:ACK:PVD:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:PVD:TEC:1:MAIN,2026-05-14,PFR_BASE,95,resolved,high
TEMPLATE:PFR:ACK:PWM:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:PWM:TEC:1:MAIN,2026-05-14,PFR_BASE,96,resolved,high
TEMPLATE:PFR:ACK:RIC:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:RIC:TEC:1:MAIN,2026-05-14,PFR_BASE,97,resolved,high
TEMPLATE:PFR:ACK:RIC:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:RIC:TEC:2:MAIN,2026-05-14,PFR_BASE,98,resolved,high
TEMPLATE:PFR:ACK:SWF:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:SWF:TEC:1:MAIN,2026-05-14,PFR_BASE,99,resolved,high
TEMPLATE:PFR:ACK:SYR:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:SYR:TEC:1:MAIN,2026-05-14,PFR_BASE,100,resolved,high
TEMPLATE:PFR:ACK:TEB:H:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:TEB:H:1:MAIN,2026-05-14,PFR_BASE,101,resolved,high
TEMPLATE:PFR:ACK:TTN:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:TTN:TEC:1:MAIN,2026-05-14,PFR_BASE,102,resolved,high
TEMPLATE:PFR:ACK:TTN:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:TTN:TEC:2:MAIN,2026-05-14,PFR_BASE,103,resolved,high
TEMPLATE:PFR:ACK:WRI:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACK:WRI:TEC:1:MAIN,2026-05-14,PFR_BASE,104,resolved,high
TEMPLATE:PFR:ACK:WRI:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACK:WRI:TEC:2:MAIN,2026-05-14,PFR_BASE,105,resolved,high
TEMPLATE:PFR:ACY:ABE:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:ABE:TEC:1:MAIN,2026-05-14,PFR_BASE,106,resolved,high
TEMPLATE:PFR:ACY:ABE:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACY:ABE:TEC:2:MAIN,2026-05-14,PFR_BASE,107,resolved,high
TEMPLATE:PFR:ACY:ACK:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:ACK:TEC:1:MAIN,2026-05-14,PFR_BASE,108,resolved,high
TEMPLATE:PFR:ACY:ADW:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:ADW:TEC:1:MAIN,2026-05-14,PFR_BASE,109,resolved,high
TEMPLATE:PFR:ACY:ATL:H:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:ATL:H:1:MAIN,2026-05-14,PFR_BASE,110,resolved,high
TEMPLATE:PFR:ACY:BDL:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:BDL:TEC:1:MAIN,2026-05-14,PFR_BASE,111,resolved,high
TEMPLATE:PFR:ACY:BDR:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:BDR:TEC:1:MAIN,2026-05-14,PFR_BASE,112,resolved,high
TEMPLATE:PFR:ACY:BDR:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACY:BDR:TEC:2:MAIN,2026-05-14,PFR_BASE,113,resolved,high
TEMPLATE:PFR:ACY:BGR:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:BGR:TEC:1:MAIN,2026-05-14,PFR_BASE,114,resolved,high
TEMPLATE:PFR:ACY:BHB:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:BHB:TEC:1:MAIN,2026-05-14,PFR_BASE,115,resolved,high
TEMPLATE:PFR:ACY:BOS:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:BOS:TEC:1:MAIN,2026-05-14,PFR_BASE,116,resolved,high
TEMPLATE:PFR:ACY:BOS:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACY:BOS:TEC:2:MAIN,2026-05-14,PFR_BASE,117,resolved,high
TEMPLATE:PFR:ACY:BOS:TEC:3,TEMPLATE_PATH:TEMPLATE:PFR:ACY:BOS:TEC:3:MAIN,2026-05-14,PFR_BASE,118,resolved,high
TEMPLATE:PFR:ACY:BWI:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:BWI:TEC:1:MAIN,2026-05-14,PFR_BASE,119,resolved,high
TEMPLATE:PFR:ACY:CXY:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:CXY:TEC:1:MAIN,2026-05-14,PFR_BASE,120,resolved,high
TEMPLATE:PFR:ACY:DCA:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:DCA:TEC:1:MAIN,2026-05-14,PFR_BASE,121,resolved,high
TEMPLATE:PFR:ACY:ELM:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:ELM:TEC:1:MAIN,2026-05-14,PFR_BASE,122,resolved,high
TEMPLATE:PFR:ACY:EWB:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:EWB:TEC:1:MAIN,2026-05-14,PFR_BASE,123,resolved,high
TEMPLATE:PFR:ACY:EWR:TEC:3,TEMPLATE_PATH:TEMPLATE:PFR:ACY:EWR:TEC:3:MAIN,2026-05-14,PFR_BASE,124,resolved,high
TEMPLATE:PFR:ACY:FLL:H:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:FLL:H:1:MAIN,2026-05-14,PFR_BASE,125,resolved,high
TEMPLATE:PFR:ACY:FLL:H:2,TEMPLATE_PATH:TEMPLATE:PFR:ACY:FLL:H:2:MAIN,2026-05-14,PFR_BASE,126,resolved,high
TEMPLATE:PFR:ACY:FLL:H:3,TEMPLATE_PATH:TEMPLATE:PFR:ACY:FLL:H:3:MAIN,2026-05-14,PFR_BASE,127,resolved,high
TEMPLATE:PFR:ACY:GON:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:GON:TEC:1:MAIN,2026-05-14,PFR_BASE,128,resolved,high
TEMPLATE:PFR:ACY:HFD:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:HFD:TEC:1:MAIN,2026-05-14,PFR_BASE,129,resolved,high
TEMPLATE:PFR:ACY:HPN:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:HPN:TEC:1:MAIN,2026-05-14,PFR_BASE,130,resolved,high
TEMPLATE:PFR:ACY:HPN:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACY:HPN:TEC:2:MAIN,2026-05-14,PFR_BASE,131,resolved,high
TEMPLATE:PFR:ACY:HYA:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:HYA:TEC:1:MAIN,2026-05-14,PFR_BASE,132,resolved,high
TEMPLATE:PFR:ACY:IAD:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:IAD:TEC:1:MAIN,2026-05-14,PFR_BASE,133,resolved,high
TEMPLATE:PFR:ACY:IAD:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACY:IAD:TEC:2:MAIN,2026-05-14,PFR_BASE,134,resolved,high
TEMPLATE:PFR:ACY:ISP:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:ISP:TEC:1:MAIN,2026-05-14,PFR_BASE,135,resolved,high
TEMPLATE:PFR:ACY:ISP:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACY:ISP:TEC:2:MAIN,2026-05-14,PFR_BASE,136,resolved,high
TEMPLATE:PFR:ACY:JFK:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:JFK:TEC:1:MAIN,2026-05-14,PFR_BASE,137,resolved,high
TEMPLATE:PFR:ACY:JFK:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACY:JFK:TEC:2:MAIN,2026-05-14,PFR_BASE,138,resolved,high
TEMPLATE:PFR:ACY:LGA:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:LGA:TEC:1:MAIN,2026-05-14,PFR_BASE,139,resolved,high
TEMPLATE:PFR:ACY:LGA:TEC:2,TEMPLATE_PATH:TEMPLATE:PFR:ACY:LGA:TEC:2:MAIN,2026-05-14,PFR_BASE,140,resolved,high
TEMPLATE:PFR:ACY:LGA:TEC:3,TEMPLATE_PATH:TEMPLATE:PFR:ACY:LGA:TEC:3:MAIN,2026-05-14,PFR_BASE,141,resolved,high
TEMPLATE:PFR:ACY:LNS:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:LNS:TEC:1:MAIN,2026-05-14,PFR_BASE,142,resolved,high
TEMPLATE:PFR:ACY:MCO:H:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:MCO:H:1:MAIN,2026-05-14,PFR_BASE,143,resolved,high
TEMPLATE:PFR:ACY:MCO:H:2,TEMPLATE_PATH:TEMPLATE:PFR:ACY:MCO:H:2:MAIN,2026-05-14,PFR_BASE,144,resolved,high
TEMPLATE:PFR:ACY:MCO:H:3,TEMPLATE_PATH:TEMPLATE:PFR:ACY:MCO:H:3:MAIN,2026-05-14,PFR_BASE,145,resolved,high
TEMPLATE:PFR:ACY:MDT:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:MDT:TEC:1:MAIN,2026-05-14,PFR_BASE,146,resolved,high
TEMPLATE:PFR:ACY:MHT:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:MHT:TEC:1:MAIN,2026-05-14,PFR_BASE,147,resolved,high
TEMPLATE:PFR:ACY:MMK:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:MMK:TEC:1:MAIN,2026-05-14,PFR_BASE,148,resolved,high
TEMPLATE:PFR:ACY:MVY:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:MVY:TEC:1:MAIN,2026-05-14,PFR_BASE,149,resolved,high
TEMPLATE:PFR:ACY:MYR:H:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:MYR:H:1:MAIN,2026-05-14,PFR_BASE,150,resolved,high
TEMPLATE:PFR:ACY:OQU:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:OQU:TEC:1:MAIN,2026-05-14,PFR_BASE,151,resolved,high
TEMPLATE:PFR:ACY:ORH:TEC:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:ORH:TEC:1:MAIN,2026-05-14,PFR_BASE,152,resolved,high
TEMPLATE:PFR:ACY:PBI:H:1,TEMPLATE_PATH:TEMPLATE:PFR:ACY:PBI:H:1:MAIN,2026-05-14,PFR_BASE,153,resolved,high
